VARIABLES = "y","u'u'_nok","v'v'_nok","w'w'_nok"
ZONE T="SA, X=0.97008"
 9.926789062E-05 6.675733744E-08 -6.681105447E-08 5.372267561E-11
 1.023831865E-04 7.189046158E-08 -7.195249907E-08 6.204162878E-11
 1.055937319E-04 7.726432472E-08 -7.733512319E-08 7.079167808E-11
 1.089025172E-04 8.287808129E-08 -8.295790366E-08 7.982822736E-11
 1.123126131E-04 8.873074364E-08 -8.882013702E-08 8.939341628E-11
 1.158271916E-04 9.482078411E-08 -9.492025299E-08 9.946988372E-11
 1.194495271E-04 1.011463766E-07 -1.012563686E-07 1.099879562E-10
 1.231829810E-04 1.077059579E-07 -1.078271197E-07 1.211633710E-10
 1.270310458E-04 1.144974391E-07 -1.146300406E-07 1.325985294E-10
 1.309972722E-04 1.215191077E-07 -1.216631489E-07 1.440247088E-10
 1.350853854E-04 1.287704521E-07 -1.289264446E-07 1.559907342E-10
 1.392991544E-04 1.362507902E-07 -1.364192457E-07 1.684567624E-10
 1.436425227E-04 1.439600652E-07 -1.441413957E-07 1.813325462E-10
 1.481195213E-04 1.518989166E-07 -1.520935626E-07 1.946329348E-10
 1.527343265E-04 1.600687369E-07 -1.602770681E-07 2.083209993E-10
 1.574912167E-04 1.684717432E-07 -1.686941431E-07 2.224108675E-10
 1.623946155E-04 1.771110192E-07 -1.773479994E-07 2.369885954E-10
 1.674490923E-04 1.859904302E-07 -1.862424597E-07 2.520217646E-10
 1.726593473E-04 1.951147937E-07 -1.953823698E-07 2.675734356E-10
 1.780302409E-04 2.044896945E-07 -2.047732721E-07 2.835895963E-10
 1.835667499E-04 2.141217124E-07 -2.144219309E-07 3.002267324E-10
 1.892740256E-04 2.240180095E-07 -2.243352810E-07 3.172768159E-10
 1.951573940E-04 2.341871550E-07 -2.345223464E-07 3.351868505E-10
 2.012223267E-04 2.446378176E-07 -2.449914973E-07 3.536581306E-10
 2.074744407E-04 2.553790637E-07 -2.557510754E-07 3.720012631E-10
 2.139195858E-04 2.664231147E-07 -2.668151069E-07 3.919835290E-10
 2.205637284E-04 2.777802024E-07 -2.781927151E-07 4.125252084E-10
 2.274130820E-04 2.894618660E-07 -2.898952118E-07 4.333263748E-10
 2.344739914E-04 3.014817480E-07 -3.019370354E-07 4.553273036E-10
 2.417530341E-04 3.138524960E-07 -3.143304070E-07 4.779217577E-10
 2.492569620E-04 3.265885198E-07 -3.270900208E-07 5.014929028E-10
 2.569928183E-04 3.397042292E-07 -3.402301161E-07 5.258734004E-10
 2.649677335E-04 3.532150572E-07 -3.537663247E-07 5.512670875E-10
 2.731891291E-04 3.671367779E-07 -3.677143354E-07 5.775363521E-10
 2.816647175E-04 3.814861600E-07 -3.820911445E-07 6.049847290E-10
 2.904023277E-04 3.962799724E-07 -3.969132365E-07 6.332564473E-10
 2.994100796E-04 4.115366607E-07 -4.121996824E-07 6.630380134E-10
 3.086963843E-04 4.272742444E-07 -4.279682173E-07 6.939719910E-10
 3.182698856E-04 4.435107712E-07 -4.442358090E-07 7.250588463E-10
 3.281394893E-04 4.602682964E-07 -4.610269855E-07 7.586958284E-10
 3.383143339E-04 4.775656066E-07 -4.783589702E-07 7.933575463E-10
 3.488039365E-04 4.954237056E-07 -4.962527100E-07 8.289999243E-10
 3.596180177E-04 5.138653023E-07 -5.147318234E-07 8.665579365E-10
 3.707666765E-04 5.329119972E-07 -5.338173423E-07 9.053353622E-10
 3.822602448E-04 5.525876077E-07 -5.535335958E-07 9.459388828E-10
 3.941094328E-04 5.729157806E-07 -5.739037761E-07 9.880000151E-10
 4.063252709E-04 5.939216976E-07 -5.949536899E-07 1.032027352E-09
 4.189191386E-04 6.156302561E-07 -6.167078368E-07 1.077571032E-09
 4.319027066E-04 6.380688546E-07 -6.391942975E-07 1.125435634E-09
 4.452880821E-04 6.612641528E-07 -6.624393905E-07 1.175249120E-09
 4.590877215E-04 6.852433216E-07 -6.864693205E-07 1.226024948E-09
 4.733144306E-04 7.100377957E-07 -7.113180800E-07 1.280226036E-09
 4.879814805E-04 7.356762239E-07 -7.370126127E-07 1.336396438E-09
 5.031024921E-04 7.621893587E-07 -7.635837846E-07 1.394468319E-09
 5.186916096E-04 7.896101692E-07 -7.910656450E-07 1.455446985E-09
 5.347632105E-04 8.179710562E-07 -8.194896850E-07 1.518663972E-09
 5.513323122E-04 8.473066941E-07 -8.488915455E-07 1.584773979E-09
 5.684143398E-04 8.776520986E-07 -8.793055599E-07 1.653449155E-09
 5.860251840E-04 9.090440471E-07 -9.107692449E-07 1.725242171E-09
 6.041811430E-04 9.415196587E-07 -9.433194350E-07 1.799757010E-09
 6.228992715E-04 9.751186099E-07 -9.769963754E-07 1.877833888E-09
 6.421967992E-04 1.009880521E-06 -1.011839686E-06 1.959177709E-09
 6.620918284E-04 1.045845693E-06 -1.047888532E-06 2.042814362E-09
 6.826028111E-04 1.083059260E-06 -1.085190434E-06 2.131282262E-09
 7.037487812E-04 1.121563741E-06 -1.123787001E-06 2.223204509E-09
 7.255495293E-04 1.161404271E-06 -1.163722800E-06 2.318559789E-09
 7.480251952E-04 1.202628710E-06 -1.205047170E-06 2.418384382E-09
 7.711967919E-04 1.245284579E-06 -1.247806608E-06 2.522133169E-09
 7.950857980E-04 1.289421903E-06 -1.292052389E-06 2.630441198E-09
 8.197145071E-04 1.335091611E-06 -1.337834760E-06 2.743183014E-09
 8.451058529E-04 1.382346454E-06 -1.385207270E-06 2.860771398E-09
 8.712833514E-04 1.431240548E-06 -1.434223805E-06 2.983219227E-09
 8.982714498E-04 1.481829713E-06 -1.484940640E-06 3.110900870E-09
 9.260951774E-04 1.534170792E-06 -1.537414846E-06 3.243990410E-09
 9.547804948E-04 1.588322561E-06 -1.591704972E-06 3.382492064E-09
 9.843540611E-04 1.644345048E-06 -1.647871954E-06 3.526894998E-09
 1.014843350E-03 1.702300210E-06 -1.705977638E-06 3.677419480E-09
 1.046276768E-03 1.762250804E-06 -1.766085006E-06 3.834173867E-09
 1.078683534E-03 1.824261517E-06 -1.828258974E-06 3.997549847E-09
 1.112093800E-03 1.888398288E-06 -1.892565933E-06 4.167697298E-09
 1.146538649E-03 1.954728532E-06 -1.959073415E-06 4.345016791E-09
 1.182050211E-03 2.023320576E-06 -2.027850087E-06 4.529637554E-09
 1.218661433E-03 2.094244564E-06 -2.098966661E-06 4.722067626E-09
 1.256406307E-03 2.167571438E-06 -2.172493851E-06 4.922295016E-09
 1.295320108E-03 2.243373729E-06 -2.248504643E-06 5.131141290E-09
 1.335438923E-03 2.321723969E-06 -2.327072480E-06 5.348589127E-09
 1.376800123E-03 2.402695600E-06 -2.408269893E-06 5.574339212E-09
 1.419442124E-03 2.486364792E-06 -2.492175327E-06 5.810464998E-09
 1.463404740E-03 2.572805442E-06 -2.578861086E-06 6.055568491E-09
 1.508728717E-03 2.662093721E-06 -2.668404022E-06 6.310404643E-09
 1.555456314E-03 2.754305797E-06 -2.760881898E-06 6.576218237E-09
 1.603630953E-03 2.849517159E-06 -2.856369520E-06 6.852601153E-09
 1.653297455E-03 2.947803750E-06 -2.954944193E-06 7.140612546E-09
 1.704502036E-03 3.049239922E-06 -3.056680043E-06 7.439996175E-09
 1.757292310E-03 3.153900479E-06 -3.161651875E-06 7.751085107E-09
 1.811717520E-03 3.261858637E-06 -3.269933359E-06 8.074650282E-09
 1.867828076E-03 3.373186246E-06 -3.381597708E-06 8.411336516E-09
 1.925676246E-03 3.487952426E-06 -3.496714044E-06 8.761392500E-09
 1.985315932E-03 3.606225391E-06 -3.615350806E-06 9.125300515E-09
 2.046802780E-03 3.728069032E-06 -3.737572570E-06 9.503401621E-09
 2.110193484E-03 3.853544513E-06 -3.863440270E-06 9.895899211E-09
 2.175547648E-03 3.982709131E-06 -3.993012797E-06 1.030363617E-08
 2.242925344E-03 4.115615866E-06 -4.126342901E-06 1.072714273E-08
 2.312389901E-03 4.252311555E-06 -4.263478331E-06 1.116674042E-08
 2.384005813E-03 4.392837582E-06 -4.404460924E-06 1.162326768E-08
 2.457839437E-03 4.537227596E-06 -4.549324331E-06 1.209660550E-08
 2.533959458E-03 4.685507975E-06 -4.698094926E-06 1.258702742E-08
 2.612437122E-03 4.837695997E-06 -4.850790901E-06 1.309561970E-08
 2.693345072E-03 4.993798484E-06 -5.007420896E-06 1.362270474E-08
 2.776758745E-03 5.153810889E-06 -5.167979452E-06 1.416861917E-08
 2.862755442E-03 5.317716386E-06 -5.332450201E-06 1.473378752E-08
 2.951415488E-03 5.485484508E-06 -5.500803127E-06 1.531854998E-08
 3.042821307E-03 5.657067049E-06 -5.672990028E-06 1.592326093E-08
 3.137057880E-03 5.832399438E-06 -5.848947239E-06 1.654830406E-08
 3.234212985E-03 6.011398000E-06 -6.028591542E-06 1.719391385E-08
 3.334376728E-03 6.193956324E-06 -6.211816981E-06 1.786036030E-08
 3.437642707E-03 6.379945717E-06 -6.398493497E-06 1.854776244E-08
 3.544106614E-03 6.569208836E-06 -6.588465567E-06 1.925634230E-08
 3.653867636E-03 6.761562418E-06 -6.781548564E-06 1.998592936E-08
 3.767027752E-03 6.956788638E-06 -6.977525118E-06 2.073688243E-08
 3.883692669E-03 7.154635568E-06 -7.176144209E-06 2.150852296E-08
 4.003970418E-03 7.354813079E-06 -7.377113889E-06 2.230055962E-08
 4.127973225E-03 7.556989658E-06 -7.580103556E-06 2.311363545E-08
 4.255816340E-03 7.760786502E-06 -7.784732588E-06 2.394602561E-08
 4.387618508E-03 7.965776604E-06 -7.990573977E-06 2.479746009E-08
 4.523502663E-03 8.171476111E-06 -8.197142961E-06 2.566725676E-08
 4.663594998E-03 8.377343875E-06 -8.403897482E-06 2.655406384E-08
 4.808025900E-03 8.582773262E-06 -8.610229088E-06 2.745669470E-08
 4.956929944E-03 8.787087609E-06 -8.815461115E-06 2.837354174E-08
 5.110444967E-03 8.989535672E-06 -9.018837773E-06 2.930269360E-08
 5.268714856E-03 9.189282537E-06 -9.219524145E-06 3.024205242E-08
 5.431886297E-03 9.385408703E-06 -9.416597095E-06 3.118895719E-08
 5.600110628E-03 9.576896446E-06 -9.609037079E-06 3.214062616E-08
 5.773545243E-03 9.762629816E-06 -9.795723599E-06 3.309357410E-08
 5.952350795E-03 9.941382814E-06 -9.975426110E-06 3.404366211E-08
 6.136693992E-03 1.011181575E-05 -1.014680311E-05 3.498703194E-08
 6.326746196E-03 1.027246526E-05 -1.030838303E-05 3.591831899E-08
 6.522683892E-03 1.042174063E-05 -1.045857243E-05 3.683194549E-08
 6.724690087E-03 1.055791563E-05 -1.059563783E-05 3.772177948E-08
 6.932952441E-03 1.067912308E-05 -1.071770293E-05 3.858048814E-08
 7.147664204E-03 1.078334935E-05 -1.082274957E-05 3.940044735E-08
 7.369025610E-03 1.086843258E-05 -1.090860496E-05 4.017256217E-08
 7.597242948E-03 1.093205992E-05 -1.097294717E-05 4.088747829E-08
 7.832527161E-03 1.097176755E-05 -1.101330236E-05 4.153411126E-08
 8.075099438E-03 1.098494613E-05 -1.102704664E-05 4.210111726E-08
 8.325182833E-03 1.096884444E-05 -1.101142061E-05 4.257530151E-08
 8.583012037E-03 1.092059392E-05 -1.096353753E-05 4.294268408E-08
 8.848825470E-03 1.083721054E-05 -1.088039971E-05 4.318824409E-08
 9.122870862E-03 1.071564020E-05 -1.075893670E-05 4.329614356E-08
 9.405404329E-03 1.055278699E-05 -1.059603528E-05 4.324797231E-08
 9.696686640E-03 1.034557317E-05 -1.038860046E-05 4.302734880E-08
 9.996990673E-03 1.009100015E-05 -1.013361361E-05 4.261266895E-08
 1.030659489E-02 9.786252122E-06 -9.828239854E-06 4.198771464E-08
 1.062578708E-02 9.428793419E-06 -9.469922588E-06 4.112840202E-08
 1.095486525E-02 9.016543117E-06 -9.056563613E-06 4.002090748E-08
 1.129413396E-02 8.548031474E-06 -8.586671356E-06 3.863970832E-08
 1.164390985E-02 8.022674592E-06 -8.059652828E-06 3.697761031E-08
 1.200451888E-02 7.441027719E-06 -7.476037808E-06 3.501004642E-08
 1.237629540E-02 6.805198154E-06 -6.837940418E-06 3.274231730E-08
 1.275958586E-02 6.119249065E-06 -6.149406090E-06 3.015687255E-08
 1.315474603E-02 5.389812031E-06 -5.417094144E-06 2.728171289E-08
 1.356214564E-02 4.626662758E-06 -4.650777555E-06 2.411463740E-08
 1.398216095E-02 3.843606919E-06 -3.864329756E-06 2.072298422E-08
 1.441518404E-02 3.059235269E-06 -3.076369694E-06 1.713459241E-08
 1.486161817E-02 2.298013442E-06 -2.311492153E-06 1.347876122E-08
 1.532187872E-02 1.590857323E-06 -1.600697601E-06 9.840142923E-09
 1.579639316E-02 9.751635162E-07 -9.816131978E-07 6.449663470E-09
 1.628560200E-02 4.913900398E-07 -4.949053505E-07 3.515360003E-09
 1.678996161E-02 1.730204531E-07 -1.744229934E-07 1.402545746E-09
 1.730994321E-02 2.559737489E-08 -2.589018244E-08 2.928101372E-10
 1.784602553E-02 -1.495421342E-09 1.466050392E-09 2.937098828E-11
 1.839871332E-02 -1.092956947E-09 1.086109758E-09 6.847235886E-12
 1.896851510E-02 -6.991930923E-10 6.940731878E-10 5.119920113E-12
 1.955596358E-02 -4.307171009E-10 4.262513675E-10 4.465755023E-12
 2.016160637E-02 -2.975890923E-10 2.931145882E-10 4.474490656E-12
 2.078600600E-02 -2.821947120E-10 2.777912345E-10 4.403491460E-12
 2.142974176E-02 -3.124781267E-10 3.079425048E-10 4.535631419E-12
 2.209341526E-02 -3.381251112E-10 3.336067811E-10 4.518357043E-12
 2.277764119E-02 -3.468096921E-10 3.422329642E-10 4.576716176E-12
 2.348305658E-02 -3.450807695E-10 3.405332683E-10 4.547504734E-12
 2.421032079E-02 -3.422911399E-10 3.377165492E-10 4.574594609E-12
 2.496010624E-02 -3.416774641E-10 3.371099788E-10 4.567475304E-12
 2.573311329E-02 -3.426652295E-10 3.380749847E-10 4.590265234E-12
 2.653006092E-02 -3.440992491E-10 3.395067838E-10 4.592452287E-12
 2.735168859E-02 -3.452510222E-10 3.406424032E-10 4.608633353E-12
 2.819876187E-02 -3.461373133E-10 3.415238092E-10 4.613504023E-12
 2.907206863E-02 -3.468843546E-10 3.422587214E-10 4.625644052E-12
 2.997242101E-02 -3.476173793E-10 3.429854178E-10 4.631958445E-12
 3.090065904E-02 -3.483325572E-10 3.436904927E-10 4.642078822E-12
 3.185764328E-02 -3.490278344E-10 3.443787755E-10 4.649021619E-12
 3.284426406E-02 -3.496836154E-10 3.450258412E-10 4.657771131E-12
 3.386143968E-02 -3.503075330E-10 3.456427644E-10 4.664784618E-12
 3.491012007E-02 -3.508970614E-10 3.462244380E-10 4.672611256E-12
 3.599127382E-02 -3.514567248E-10 3.467773013E-10 4.679391423E-12
 3.710591421E-02 -3.519838865E-10 3.472971633E-10 4.686743181E-12
 3.825507313E-02 -3.524802950E-10 3.477870214E-10 4.693299568E-12
 3.943981975E-02 -3.529469772E-10 3.482470146E-10 4.699984759E-12
