Experimental data for Smits, Young, Bradshaw - JFM 94(2):209-242, 1979
Convex wall (30 deg turn)
*TENTATIVE CORRECTION FILE* November 2012

Note that some inconsistencies were discovered in the experimental data 
as posted from Oct 30, 1981, in comparison with JFM (1979).  The data were 
revisited with the help of the original author (Lex Smits) during 
Oct-Nov 2012. The corrected data appear below.  (Note that higher-order
moments were NOT looked at; it is unknown whether those posted data are
valid or not.)

In particular:
  (1) the reference velocity (Uref) (at a point just prior to the end 
      of the upstream contraction) = 31.9 m/s
  (2) local Ue and delta values were posted incorrectly

Note that "s" given in the following files are streamwise lengths along the
convex wall, with s=0 at the end of the curve; "d" is distance across
the channel from the convex wall (normal to the wall).
Similarly, the u, uu, vv, and uv values in the experimental data
are aligned with the local wall directions.

If one aligns the downstream channel with the x-axis (with x=0 y=0
at the end of the curve on the convex wall), then no translations are
necessary when comparing CFD with the downstream data (s>=0).  
However, the upstream channel will be canted at a 30 deg angle relative 
to the x-axis.  To translate upstream s to (absolute) x:
  if s<-0.066497, then x=-0.0635+[(s+0.0665)*cos(30)]
    0.2901229E-01    0.3522106E+02
 zone, t="exp, s= 0.335m"
    0.5845286E-03    0.1703989E+02
    0.6381361E-03    0.1726039E+02
    0.7453508E-03    0.1760648E+02
    0.9340079E-03    0.1815156E+02
    0.1121635E-02    0.1859997E+02
    0.1202044E-02    0.1888114E+02
    0.1336064E-02    0.1911929E+02
    0.1443279E-02    0.1939341E+02
    0.1604100E-02    0.1962556E+02
    0.1819563E-02    0.1997977E+02
    0.2007187E-02    0.2019391E+02
    0.2517490E-02    0.2095984E+02
    0.3026758E-02    0.2152855E+02
    0.3510257E-02    0.2207999E+02
    0.4395811E-02    0.2305054E+02
    0.5550427E-02    0.2401791E+02
    0.6892687E-02    0.2531234E+02
    0.8315342E-02    0.2655736E+02
    0.1011325E-01    0.2813085E+02
    0.1269052E-01    0.3006561E+02
    0.1548226E-01    0.3176470E+02
    0.1915950E-01    0.3337700E+02
    0.2375015E-01    0.3467247E+02
    0.2933255E-01    0.3523413E+02
    0.3497060E-01    0.3528494E+02
 zone, t="exp, s= 0.635m"
    0.6175152E-03    0.1837751E+02
    0.6719696E-03    0.1819166E+02
    0.7525623E-03    0.1839574E+02
    0.8342442E-03    0.1872026E+02
    0.9148369E-03    0.1903798E+02
    0.1077110E-02    0.1954442E+02
    0.1104338E-02    0.1935178E+02
    0.1266613E-02    0.1985000E+02
    0.1456115E-02    0.2033892E+02
    0.1672845E-02    0.2055908E+02
    0.1807890E-02    0.2095902E+02
    0.2592036E-02    0.2203907E+02
    0.3106082E-02    0.2247438E+02
    0.4025269E-02    0.2339827E+02
    0.4945567E-02    0.2409877E+02
    0.5838603E-02    0.2482715E+02
    0.7271843E-02    0.2587791E+02
    0.9489229E-02    0.2735469E+02
    0.1143761E-01    0.2872818E+02
    0.1403402E-01    0.3029145E+02
    0.1706279E-01    0.3201196E+02
    0.2163478E-01    0.3394729E+02
    0.2642241E-01    0.3523429E+02
    0.3299615E-01    0.3574179E+02
 zone, t="exp, s= 0.940m"
    0.5879913E-03    0.1861314E+02
    0.6149064E-03    0.1872805E+02
    0.6418215E-03    0.1872626E+02
    0.7225665E-03    0.1918844E+02
    0.8022763E-03    0.1926004E+02
    0.8291915E-03    0.1944978E+02
    0.9099368E-03    0.1985038E+02
    0.9906814E-03    0.1999752E+02
    0.1071428E-02    0.2013285E+02
    0.1097306E-02    0.2006733E+02
    0.1178053E-02    0.2063297E+02
    0.1312628E-02    0.2091150E+02
    0.1419253E-02    0.2116819E+02
    0.1553829E-02    0.2134396E+02
    0.1688404E-02    0.2165327E+02
    0.1714282E-02    0.2175280E+02
    0.1875776E-02    0.2193250E+02
    0.2412005E-02    0.2290483E+02
    0.2841609E-02    0.2350844E+02
    0.3619042E-02    0.2419435E+02
    0.4478251E-02    0.2493792E+02
    0.5577628E-02    0.2570619E+02
    0.6865416E-02    0.2641575E+02
    0.8502038E-02    0.2726564E+02
    0.1016458E-01    0.2815814E+02
    0.1247204E-01    0.2927367E+02
    0.1536852E-01    0.3048513E+02
    0.1958071E-01    0.3215305E+02
    0.2336229E-01    0.3354137E+02
    0.2875462E-01    0.3503316E+02
    0.3605167E-01    0.3575882E+02
    0.4015625E-01    0.3580000E+02
 zone, t="exp, s= 1.250m"
    0.5861394E-03    0.1856580E+02
    0.6625025E-03    0.1884674E+02
    0.7904627E-03    0.1966454E+02
    0.8678577E-03    0.1992953E+02
    0.9958175E-03    0.2026556E+02
    0.1073214E-02    0.2070454E+02
    0.1175376E-02    0.2092095E+02
    0.1201173E-02    0.2092095E+02
    0.1329132E-02    0.2152162E+02
    0.1457091E-02    0.2186708E+02
    0.1610852E-02    0.2190153E+02
    0.1662446E-02    0.2217375E+02
    0.2097926E-02    0.2290602E+02
    0.2610794E-02    0.2371004E+02
    0.3201062E-02    0.2436508E+02
    0.3816096E-02    0.2503788E+02
    0.4944018E-02    0.2588939E+02
    0.5866565E-02    0.2633236E+02
    0.7738495E-02    0.2726036E+02
    0.9045963E-02    0.2793135E+02
    0.1176405E-01    0.2916422E+02
    0.1391667E-01    0.3009619E+02
    0.1712186E-01    0.3122539E+02
    0.2165928E-01    0.3274172E+02
    0.2670957E-01    0.3432439E+02
    0.3281143E-01    0.3562940E+02
