variables= "X","Y","Z","Cp","u_Cp"
#
# Notes: This data is for the ceiling position of Case B (ceiling configuration 13) - Smaller separation case.
#
# Reference conditions:  All reference conditions listed below are given per zone and were taken once per day with temperature, atmospheric pressure, and relative humidity being measured and the remaining values being calculated.
#   M=0.2, via pitot tube located at X = -0.97 [m], Y  = 0.58 [m], Z = 0.19 [m]
#   U_inf=69 [m/s], via pitot tube located at X = -0.97 [m], Y  = 0.58 [m], Z = 0.19 [m]
#   T_inf=296 [K], lab measurement
#   P_atm=99200 [Pa], lab measurement
#   RH=68 [%], lab measurement
#   Density=1.159 [kg/m^3], lab measurement
#   Re=8.39e+05 based on ramp height
# 
# Ramp Geometry: Y(X) = a1 + a2*X^3 + a3*X^4 + a4*X^5 [m]
#   Ramp length: L1 = 0.9 [m]
#   Ramp height: H1 = 0.2 [m]
#   Parameters: a1 = (H1 + 0.152), a2 = -10H1/L1^3, a3 = 15H1/L1^4, a4 = -6H1/L1^5
#   Domain: [0 < X < 0.9] [m]
#
# Definition of variables and [units]:
#   The global, tunnel, coordinate system (X,Y,Z) is used to represent the physical geometry.
#   X = x-location in global coordinates, pointing downstream, [m]
#   Y = y-location in global coordinates, pointing up, [m]
#   Z = z-location in global coordinates, pointing right (when facing downstream), [m]
#       Note: (X,Y,Z)=(0,0,0) has its origin at the start of the ramp, and bottom and mid-span of the test section.
#   Cp = pressure coefficient = (P_i - P_inf)/(P_T - P_inf), [dimensionless]
#	P_i = local pressure, via surface pressure tap
#	P_inf = freestream static pressure, via pitot tube located at X = -0.97 [m], Y  = 0.58 [m], Z = 0.19 [m]
#	P_T = freestream total pressure, via pitot tube located at X = -0.97 [m], Y  = 0.58 [m], Z = 0.19 [m]
#   u_Cp = uncertainty in pressure coefficient, [dimensionless]
#
Zone, T="Centerline"
  0.3900   0.2771   0.0840   0.1015   0.0062
  0.3900   0.2771   0.1680   0.1069   0.0062
  0.6100   0.1911  -0.1680   0.2648   0.0062
  0.6100   0.1911  -0.0840   0.2702   0.0062
  0.6100   0.1911   0.0840   0.2767   0.0062
  0.6100   0.1911   0.1680   0.2701   0.0062
  0.7900   0.1554  -0.1680   0.3417   0.0063
  0.7900   0.1554  -0.0840   0.3563   0.0063
  0.7900   0.1554   0.0840   0.3642   0.0063
  0.7900   0.1554   0.1680   0.3591   0.0063
  0.9599   0.1524  -0.1680   0.3555   0.0063
  0.9599   0.1524   0.0840   0.3637   0.0063
  0.9599   0.1524   0.1680   0.3593   0.0063
  1.1397   0.1524  -0.1680   0.2857   0.0062
  1.1397   0.1524  -0.0840   0.2940   0.0062
  1.1397   0.1524   0.0840   0.2987   0.0062
  1.1397   0.1524   0.1680   0.2969   0.0062
