VARIABLES = "X"
"Y"
"Mu_tOverMu_inf"
ZONE T="CFL3D x=29.2468"
 2.924682999E+01 1.001251936E+00 3.514067688E+02
 2.924682999E+01 1.001999736E+00 3.512971802E+02
 2.924682999E+01 1.002735257E+00 3.511892090E+02
 2.924682999E+01 1.003471375E+00 3.510809326E+02
 2.924682999E+01 1.004227161E+00 3.509695740E+02
 2.924682999E+01 1.005003214E+00 3.508550110E+02
 2.924682999E+01 1.005800247E+00 3.507370911E+02
 2.924682999E+01 1.006619096E+00 3.506157227E+02
 2.924682999E+01 1.007460237E+00 3.504907532E+02
 2.924682999E+01 1.008324623E+00 3.503620300E+02
 2.924682999E+01 1.009212971E+00 3.502294617E+02
 2.924682999E+01 1.010126352E+00 3.500927734E+02
 2.924682999E+01 1.011065245E+00 3.499519348E+02
 2.924682999E+01 1.012030721E+00 3.498067017E+02
 2.924682999E+01 1.013023734E+00 3.496569214E+02
 2.924682999E+01 1.014045238E+00 3.495024109E+02
 2.924682999E+01 1.015096068E+00 3.493429565E+02
 2.924682999E+01 1.016177177E+00 3.491784363E+02
 2.924682999E+01 1.017289758E+00 3.490085449E+02
 2.924682999E+01 1.018434882E+00 3.488331299E+02
 2.924682999E+01 1.019613743E+00 3.486519470E+02
 2.924682999E+01 1.020827293E+00 3.484647522E+02
 2.924682999E+01 1.022076726E+00 3.482713013E+02
 2.924682999E+01 1.023363590E+00 3.480713196E+02
 2.924682999E+01 1.024688840E+00 3.478645630E+02
 2.924682999E+01 1.026053905E+00 3.476507568E+02
 2.924682999E+01 1.027459979E+00 3.474295959E+02
 2.924682999E+01 1.028908730E+00 3.472007446E+02
 2.924682999E+01 1.030401587E+00 3.469638977E+02
 2.924682999E+01 1.031939864E+00 3.467187195E+02
 2.924682999E+01 1.033525229E+00 3.464648438E+02
 2.924682999E+01 1.035159469E+00 3.462019043E+02
 2.924682999E+01 1.036844015E+00 3.454816589E+02
 2.924682999E+01 1.038580537E+00 3.434616089E+02
 2.924682999E+01 1.040371060E+00 3.397739258E+02
 2.924682999E+01 1.042217255E+00 3.347781067E+02
 2.924682999E+01 1.044121146E+00 3.290589294E+02
 2.924682999E+01 1.046084523E+00 3.231027527E+02
 2.924682999E+01 1.048109651E+00 3.172845459E+02
 2.924682999E+01 1.050198555E+00 3.118716736E+02
 2.924682999E+01 1.052353382E+00 3.070330200E+02
 2.924682999E+01 1.054576278E+00 3.028542480E+02
 2.924682999E+01 1.056869864E+00 2.993529358E+02
 2.924682999E+01 1.059236288E+00 2.964958496E+02
 2.924682999E+01 1.061678171E+00 2.942125854E+02
 2.924682999E+01 1.064198136E+00 2.924092712E+02
 2.924682999E+01 1.066798687E+00 2.909799805E+02
 2.924682999E+01 1.069482565E+00 2.898162231E+02
 2.924682999E+01 1.072252870E+00 2.888146362E+02
