VARIABLES = "y" "uuprime" "wwprime" "vvprime"
ZONE T="CFL3D, SA-RC-QCR2013"
 1.123126131E-04 3.520678496E-03 2.839185996E-03 2.157693030E-03
 1.158271916E-04 3.556482494E-03 2.868055133E-03 2.179627540E-03
 1.194495271E-04 3.589661792E-03 2.894807607E-03 2.199953189E-03
 1.231829810E-04 3.620417090E-03 2.919605002E-03 2.218792681E-03
 1.270310458E-04 3.648938145E-03 2.942600520E-03 2.236262430E-03
 1.309972722E-04 3.675403772E-03 2.963938052E-03 2.252471866E-03
 1.350853854E-04 3.699980909E-03 2.983752405E-03 2.267523669E-03
 1.392991544E-04 3.722824622E-03 3.002168844E-03 2.281512599E-03
 1.436425227E-04 3.744078800E-03 3.019303083E-03 2.294527134E-03
 1.481195213E-04 3.763875924E-03 3.035262227E-03 2.306648064E-03
 1.527343265E-04 3.782337997E-03 3.050144529E-03 2.317950595E-03
 1.574912167E-04 3.799576545E-03 3.064039862E-03 2.328502480E-03
 1.623946155E-04 3.815693548E-03 3.077030182E-03 2.338366583E-03
 1.674490923E-04 3.830781672E-03 3.089191159E-03 2.347599948E-03
 1.726593473E-04 3.844925901E-03 3.100590315E-03 2.356254263E-03
 1.780302409E-04 3.858203068E-03 3.111290280E-03 2.364376793E-03
 1.835667499E-04 3.870683024E-03 3.121347167E-03 2.372010611E-03
 1.892740256E-04 3.882429097E-03 3.130811965E-03 2.379193902E-03
 1.951573940E-04 3.893498797E-03 3.139730776E-03 2.385962056E-03
 2.012223267E-04 3.903943580E-03 3.148145741E-03 2.392346738E-03
 2.074744407E-04 3.913810477E-03 3.156094346E-03 2.398377052E-03
 2.139195858E-04 3.923142329E-03 3.163611051E-03 2.404078841E-03
 2.205637284E-04 3.931977320E-03 3.170726821E-03 2.409475390E-03
 2.274130820E-04 3.940349445E-03 3.177469363E-03 2.414588118E-03
 2.344739914E-04 3.948290832E-03 3.183864290E-03 2.419436118E-03
 2.417530341E-04 3.955829889E-03 3.189933952E-03 2.424036851E-03
 2.492569620E-04 3.962991294E-03 3.195699304E-03 2.428405685E-03
 2.569928183E-04 3.969799262E-03 3.201178974E-03 2.432557056E-03
 2.649677335E-04 3.976273816E-03 3.206389491E-03 2.436503768E-03
 2.731891291E-04 3.982434515E-03 3.211346455E-03 2.440256998E-03
 2.816647175E-04 3.988297656E-03 3.216063604E-03 2.443827689E-03
 2.904023277E-04 3.993879538E-03 3.220553044E-03 2.447224921E-03
 2.994100796E-04 3.999193665E-03 3.224826418E-03 2.450457308E-03
 3.086963843E-04 4.004252609E-03 3.228893736E-03 2.453532768E-03
 3.182698856E-04 4.009068012E-03 3.232764313E-03 2.456458053E-03
 3.281394893E-04 4.013651051E-03 3.236446530E-03 2.459239913E-03
 3.383143339E-04 4.018009640E-03 3.239947837E-03 2.461883705E-03
 3.488039365E-04 4.022153094E-03 3.243275220E-03 2.464394551E-03
 3.596180177E-04 4.026089795E-03 3.246434731E-03 2.466777340E-03
 3.707666765E-04 4.029825330E-03 3.249432193E-03 2.469036262E-03
 3.822602448E-04 4.033366684E-03 3.252272261E-03 2.471175278E-03
 3.941094328E-04 4.036719445E-03 3.254959825E-03 2.473197412E-03
 4.063252709E-04 4.039888736E-03 3.257499076E-03 2.475106157E-03
 4.189191386E-04 4.042879213E-03 3.259893274E-03 2.476904076E-03
 4.319027066E-04 4.045695066E-03 3.262145910E-03 2.478593728E-03
 4.452880821E-04 4.048339557E-03 3.264260013E-03 2.480177209E-03
 4.590877215E-04 4.050816409E-03 3.266238142E-03 2.481656615E-03
 4.733144306E-04 4.053127952E-03 3.268082626E-03 2.483033575E-03
 4.879814805E-04 4.055276979E-03 3.269795096E-03 2.484309487E-03
 5.031024921E-04 4.057265818E-03 3.271377645E-03 2.485485747E-03
 5.186916096E-04 4.059095867E-03 3.272831673E-03 2.486563288E-03
 5.347632105E-04 4.060768988E-03 3.274158109E-03 2.487543039E-03
 5.513323122E-04 4.062286578E-03 3.275358351E-03 2.488425700E-03
 5.684143398E-04 4.063648637E-03 3.276432632E-03 2.489211736E-03
 5.860251840E-04 4.064856563E-03 3.277381649E-03 2.489901613E-03
 6.041811430E-04 4.065910820E-03 3.278205637E-03 2.490495332E-03
 6.228992715E-04 4.066810943E-03 3.278904594E-03 2.490992891E-03
 6.421967992E-04 4.067557398E-03 3.279478522E-03 2.491394291E-03
 6.620918284E-04 4.068149254E-03 3.279926954E-03 2.491699066E-03
 6.826028111E-04 4.068585578E-03 3.280249191E-03 2.491906751E-03
 7.037487812E-04 4.068866372E-03 3.280444536E-03 2.492016647E-03
 7.255495293E-04 4.068989772E-03 3.280512057E-03 2.492028056E-03
 7.480251952E-04 4.068953916E-03 3.280450357E-03 2.491939813E-03
 7.711967919E-04 4.068757873E-03 3.280258039E-03 2.491750754E-03
 7.950857980E-04 4.068399779E-03 3.279933473E-03 2.491459949E-03
 8.197145071E-04 4.067876376E-03 3.279474797E-03 2.491065534E-03
