variables="u","y"
zone,t="x=     0.97008"
   0.741723E+00   0.238401E-02
   0.744742E+00   0.245784E-02
   0.747772E+00   0.253396E-02
   0.750814E+00   0.261244E-02
   0.753870E+00   0.269335E-02
   0.756939E+00   0.277676E-02
   0.760024E+00   0.286276E-02
   0.763124E+00   0.295142E-02
   0.766241E+00   0.304282E-02
   0.769377E+00   0.313706E-02
   0.772532E+00   0.323421E-02
   0.775708E+00   0.333438E-02
   0.778907E+00   0.343764E-02
   0.782130E+00   0.354411E-02
   0.785378E+00   0.365387E-02
   0.788654E+00   0.376703E-02
   0.791960E+00   0.388369E-02
   0.795296E+00   0.400397E-02
   0.798667E+00   0.412797E-02
   0.802074E+00   0.425582E-02
   0.805520E+00   0.438762E-02
   0.809007E+00   0.452350E-02
   0.812539E+00   0.466359E-02
   0.816119E+00   0.480803E-02
   0.819752E+00   0.495693E-02
   0.823440E+00   0.511044E-02
   0.827189E+00   0.526871E-02
   0.831004E+00   0.543189E-02
   0.834891E+00   0.560011E-02
   0.838855E+00   0.577355E-02
   0.842905E+00   0.595235E-02
   0.847049E+00   0.613669E-02
   0.851298E+00   0.632675E-02
   0.855667E+00   0.652268E-02
   0.860172E+00   0.672469E-02
   0.864841E+00   0.693295E-02
   0.869712E+00   0.714766E-02
   0.874833E+00   0.736903E-02
   0.880265E+00   0.759724E-02
   0.886061E+00   0.783253E-02
   0.892241E+00   0.807510E-02
   0.898777E+00   0.832518E-02
   0.905586E+00   0.858301E-02
   0.912560E+00   0.884883E-02
   0.919598E+00   0.912287E-02
   0.926622E+00   0.940540E-02
   0.933585E+00   0.969669E-02
   0.940407E+00   0.999699E-02
   0.946959E+00   0.103066E-01
   0.953187E+00   0.106258E-01
   0.959168E+00   0.109549E-01
   0.964999E+00   0.112941E-01
   0.970738E+00   0.116439E-01
   0.976391E+00   0.120045E-01
   0.981895E+00   0.123763E-01
   0.987090E+00   0.127596E-01
   0.991659E+00   0.131547E-01
   0.995157E+00   0.135621E-01
   0.997280E+00   0.139822E-01
   0.998201E+00   0.144152E-01
   0.998456E+00   0.148616E-01
   0.998495E+00   0.153219E-01
   0.998497E+00   0.157964E-01
   0.998497E+00   0.162856E-01
   0.998497E+00   0.167900E-01
   0.998496E+00   0.173099E-01
   0.998496E+00   0.178460E-01
   0.998496E+00   0.183987E-01
   0.998496E+00   0.189685E-01
   0.998496E+00   0.195560E-01
   0.998496E+00   0.201616E-01
   0.998495E+00   0.207860E-01
   0.998495E+00   0.214297E-01
   0.998495E+00   0.220934E-01
   0.998495E+00   0.227776E-01
   0.998495E+00   0.234831E-01
   0.998495E+00   0.242103E-01
   0.998494E+00   0.249601E-01
   0.998494E+00   0.257331E-01
   0.998494E+00   0.265301E-01
   0.998494E+00   0.273517E-01
   0.998493E+00   0.281988E-01
   0.998493E+00   0.290721E-01
   0.998493E+00   0.299724E-01
   0.998493E+00   0.309007E-01
   0.998492E+00   0.318576E-01
   0.998492E+00   0.328443E-01
   0.998492E+00   0.338614E-01
   0.998492E+00   0.349101E-01
   0.998491E+00   0.359913E-01
   0.998491E+00   0.371059E-01
   0.998491E+00   0.382551E-01
   0.998490E+00   0.394398E-01
   0.998490E+00   0.406613E-01
   0.998489E+00   0.419205E-01
   0.998489E+00   0.432188E-01
   0.998489E+00   0.445573E-01
   0.998488E+00   0.459372E-01
   0.998488E+00   0.473599E-01
   0.998487E+00   0.488266E-01
   0.998487E+00   0.503387E-01
   0.998487E+00   0.518977E-01
   0.998486E+00   0.535049E-01
   0.998486E+00   0.551620E-01
   0.998485E+00   0.568703E-01
   0.998485E+00   0.586316E-01
   0.998484E+00   0.604474E-01
   0.998484E+00   0.623194E-01
   0.998483E+00   0.642494E-01
   0.998482E+00   0.662392E-01
   0.998482E+00   0.682906E-01
   0.998481E+00   0.704056E-01
   0.998481E+00   0.725860E-01
   0.998480E+00   0.748340E-01
   0.998479E+00   0.771516E-01
   0.998479E+00   0.795409E-01
   0.998478E+00   0.820043E-01
   0.998477E+00   0.845439E-01
   0.998477E+00   0.871622E-01
   0.998476E+00   0.898616E-01
   0.998475E+00   0.926446E-01
   0.998474E+00   0.955138E-01
   0.998473E+00   0.984718E-01
   0.998473E+00   0.101521E+00
   0.998471E+00   0.104666E+00
   0.998471E+00   0.107907E+00
   0.998470E+00   0.111249E+00
   0.998469E+00   0.114694E+00
   0.998468E+00   0.118246E+00
   0.998467E+00   0.121908E+00
   0.998466E+00   0.125684E+00
   0.998465E+00   0.129576E+00
   0.998464E+00   0.133589E+00
   0.998463E+00   0.137726E+00
   0.998462E+00   0.141992E+00
   0.998460E+00   0.146389E+00
   0.998459E+00   0.150923E+00
   0.998458E+00   0.155597E+00
   0.998457E+00   0.160415E+00
   0.998455E+00   0.165383E+00
   0.998454E+00   0.170505E+00
   0.998453E+00   0.175786E+00
   0.998451E+00   0.181230E+00
   0.998450E+00   0.186843E+00
   0.998449E+00   0.192629E+00
   0.998447E+00   0.198595E+00
   0.998446E+00   0.204745E+00
   0.998444E+00   0.211086E+00
   0.998442E+00   0.217623E+00
   0.998441E+00   0.224363E+00
   0.998439E+00   0.231311E+00
   0.998438E+00   0.238475E+00
   0.998436E+00   0.245860E+00
   0.998434E+00   0.253475E+00
   0.998432E+00   0.261325E+00
   0.998430E+00   0.269418E+00
   0.998428E+00   0.277762E+00
   0.998427E+00   0.286364E+00
   0.998425E+00   0.295232E+00
   0.998422E+00   0.304376E+00
   0.998420E+00   0.313802E+00
   0.998418E+00   0.323521E+00
   0.998416E+00   0.333540E+00
   0.998414E+00   0.343869E+00
   0.998412E+00   0.354519E+00
   0.998410E+00   0.365498E+00
   0.998407E+00   0.376818E+00
   0.998405E+00   0.388488E+00
   0.998403E+00   0.400519E+00
   0.998400E+00   0.412923E+00
   0.998398E+00   0.425711E+00
   0.998395E+00   0.438895E+00
   0.998392E+00   0.452488E+00
   0.998390E+00   0.466501E+00
   0.998387E+00   0.480948E+00
   0.998384E+00   0.495843E+00
   0.998381E+00   0.511199E+00
   0.998378E+00   0.527031E+00
   0.998375E+00   0.543353E+00
   0.998372E+00   0.560180E+00
   0.998369E+00   0.577529E+00
   0.998366E+00   0.595415E+00
   0.998362E+00   0.613855E+00
   0.998359E+00   0.632866E+00
   0.998355E+00   0.652465E+00
   0.998351E+00   0.672672E+00
   0.998347E+00   0.693504E+00
   0.998343E+00   0.714982E+00
   0.998338E+00   0.737125E+00
   0.998334E+00   0.759953E+00
   0.998329E+00   0.783489E+00
   0.998324E+00   0.807753E+00
   0.998318E+00   0.832769E+00
   0.998312E+00   0.858560E+00
   0.998305E+00   0.885149E+00
   0.998299E+00   0.912562E+00
   0.998286E+00   0.940824E+00
   0.998286E+00   0.969961E+00
   0.998298E+00   0.100000E+01
zone,t="x=     1.90334"
   0.000000E+00   0.000000E+00
   0.305089E-02   0.500000E-06
   0.610462E-02   0.100047E-05
   0.916402E-02   0.150186E-05
   0.122319E-01   0.200465E-05
   0.153112E-01   0.250931E-05
   0.184047E-01   0.301630E-05
   0.215153E-01   0.352610E-05
   0.246458E-01   0.403918E-05
   0.277991E-01   0.455602E-05
   0.309780E-01   0.507709E-05
   0.341855E-01   0.560289E-05
   0.374244E-01   0.613390E-05
   0.406975E-01   0.667062E-05
   0.440078E-01   0.721354E-05
   0.473581E-01   0.776318E-05
   0.507513E-01   0.832003E-05
   0.541903E-01   0.888463E-05
   0.576778E-01   0.945749E-05
   0.612167E-01   0.100392E-04
   0.648098E-01   0.106302E-04
   0.684598E-01   0.112310E-04
   0.721695E-01   0.118424E-04
   0.759415E-01   0.124647E-04
   0.797784E-01   0.130987E-04
   0.836827E-01   0.137448E-04
   0.876569E-01   0.144037E-04
   0.917032E-01   0.150761E-04
   0.958238E-01   0.157624E-04
   0.100021E+00   0.164634E-04
   0.104296E+00   0.171798E-04
   0.108651E+00   0.179121E-04
   0.113087E+00   0.186610E-04
   0.117606E+00   0.194274E-04
   0.122209E+00   0.202118E-04
   0.126896E+00   0.210150E-04
   0.131667E+00   0.218378E-04
   0.136522E+00   0.226808E-04
   0.141462E+00   0.235450E-04
   0.146485E+00   0.244311E-04
   0.151589E+00   0.253399E-04
   0.156774E+00   0.262723E-04
   0.162037E+00   0.272291E-04
   0.167375E+00   0.282113E-04
   0.172785E+00   0.292197E-04
   0.178263E+00   0.302553E-04
   0.183805E+00   0.313190E-04
   0.189407E+00   0.324119E-04
   0.195062E+00   0.335349E-04
   0.200766E+00   0.346891E-04
   0.206512E+00   0.358756E-04
   0.212294E+00   0.370955E-04
   0.218105E+00   0.383499E-04
   0.223938E+00   0.396399E-04
   0.229786E+00   0.409669E-04
   0.235642E+00   0.423319E-04
   0.241497E+00   0.437363E-04
   0.247346E+00   0.451814E-04
   0.253180E+00   0.466686E-04
   0.258993E+00   0.481991E-04
   0.264778E+00   0.497746E-04
   0.270529E+00   0.513963E-04
   0.276239E+00   0.530658E-04
   0.281905E+00   0.547847E-04
   0.287519E+00   0.565545E-04
   0.293079E+00   0.583770E-04
   0.298579E+00   0.602538E-04
   0.304018E+00   0.621866E-04
   0.309391E+00   0.641773E-04
   0.314697E+00   0.662277E-04
   0.319933E+00   0.683397E-04
   0.325099E+00   0.705153E-04
   0.330194E+00   0.727565E-04
   0.335217E+00   0.750654E-04
   0.340169E+00   0.774441E-04
   0.345049E+00   0.798948E-04
   0.349859E+00   0.824199E-04
   0.354598E+00   0.850216E-04
   0.359269E+00   0.877025E-04
   0.363873E+00   0.904649E-04
   0.368411E+00   0.933115E-04
   0.372885E+00   0.962449E-04
   0.377297E+00   0.992679E-04
   0.381647E+00   0.102383E-03
   0.385939E+00   0.105594E-03
   0.390174E+00   0.108903E-03
   0.394354E+00   0.112313E-03
   0.398480E+00   0.115827E-03
   0.402555E+00   0.119450E-03
   0.406580E+00   0.123183E-03
   0.410558E+00   0.127031E-03
   0.414489E+00   0.130997E-03
