variables="log(y+)","u+"
zone,t="x=     0.97008"
   0.264993E+01   0.202307E+02
   0.266318E+01   0.203130E+02
   0.267642E+01   0.203956E+02
   0.268967E+01   0.204786E+02
   0.270292E+01   0.205620E+02
   0.271616E+01   0.206458E+02
   0.272941E+01   0.207300E+02
   0.274265E+01   0.208147E+02
   0.275590E+01   0.208999E+02
   0.276915E+01   0.209856E+02
   0.278239E+01   0.210719E+02
   0.279564E+01   0.211588E+02
   0.280888E+01   0.212463E+02
   0.282213E+01   0.213346E+02
   0.283538E+01   0.214235E+02
   0.284862E+01   0.215133E+02
   0.286187E+01   0.216040E+02
   0.287511E+01   0.216955E+02
   0.288836E+01   0.217881E+02
   0.290161E+01   0.218817E+02
   0.291485E+01   0.219764E+02
   0.292810E+01   0.220724E+02
   0.294134E+01   0.221696E+02
   0.295459E+01   0.222683E+02
   0.296784E+01   0.223685E+02
   0.298108E+01   0.224703E+02
   0.299433E+01   0.225740E+02
   0.300757E+01   0.226796E+02
   0.302082E+01   0.227872E+02
   0.303407E+01   0.228973E+02
   0.304731E+01   0.230098E+02
   0.306056E+01   0.231253E+02
   0.307380E+01   0.232439E+02
   0.308705E+01   0.233663E+02
   0.310030E+01   0.234932E+02
   0.311354E+01   0.236255E+02
   0.312679E+01   0.237646E+02
   0.314003E+01   0.239121E+02
   0.315328E+01   0.240696E+02
   0.316653E+01   0.242375E+02
   0.317977E+01   0.244150E+02
   0.319302E+01   0.246000E+02
   0.320626E+01   0.247894E+02
   0.321951E+01   0.249806E+02
   0.323276E+01   0.251714E+02
   0.324600E+01   0.253605E+02
   0.325925E+01   0.255459E+02
   0.327249E+01   0.257239E+02
   0.328574E+01   0.258930E+02
   0.329898E+01   0.260555E+02
   0.331223E+01   0.262139E+02
   0.332548E+01   0.263698E+02
   0.333872E+01   0.265234E+02
   0.335197E+01   0.266729E+02
   0.336521E+01   0.268140E+02
   0.337846E+01   0.269381E+02
   0.339171E+01   0.270331E+02
   0.340495E+01   0.270908E+02
   0.341820E+01   0.271158E+02
   0.343144E+01   0.271228E+02
   0.344469E+01   0.271238E+02
   0.345794E+01   0.271239E+02
   0.347118E+01   0.271239E+02
   0.348443E+01   0.271239E+02
   0.349767E+01   0.271239E+02
   0.351092E+01   0.271238E+02
   0.352417E+01   0.271238E+02
   0.353741E+01   0.271238E+02
   0.355066E+01   0.271238E+02
   0.356390E+01   0.271238E+02
   0.357715E+01   0.271238E+02
   0.359039E+01   0.271238E+02
   0.360364E+01   0.271238E+02
   0.361689E+01   0.271238E+02
   0.363013E+01   0.271238E+02
   0.364338E+01   0.271238E+02
   0.365662E+01   0.271238E+02
   0.366987E+01   0.271238E+02
   0.368312E+01   0.271238E+02
   0.369636E+01   0.271238E+02
   0.370961E+01   0.271238E+02
   0.372285E+01   0.271238E+02
   0.373610E+01   0.271238E+02
   0.374935E+01   0.271237E+02
   0.376259E+01   0.271237E+02
   0.377584E+01   0.271237E+02
   0.378908E+01   0.271237E+02
   0.380233E+01   0.271237E+02
   0.381557E+01   0.271237E+02
   0.382882E+01   0.271237E+02
   0.384207E+01   0.271237E+02
   0.385531E+01   0.271237E+02
   0.386856E+01   0.271237E+02
   0.388180E+01   0.271237E+02
   0.389505E+01   0.271236E+02
   0.390830E+01   0.271236E+02
   0.392154E+01   0.271236E+02
   0.393479E+01   0.271236E+02
   0.394803E+01   0.271236E+02
   0.396128E+01   0.271236E+02
   0.397453E+01   0.271236E+02
   0.398777E+01   0.271236E+02
   0.400102E+01   0.271236E+02
   0.401426E+01   0.271235E+02
   0.402751E+01   0.271235E+02
   0.404076E+01   0.271235E+02
   0.405400E+01   0.271235E+02
   0.406725E+01   0.271235E+02
   0.408049E+01   0.271235E+02
   0.409374E+01   0.271235E+02
   0.410698E+01   0.271234E+02
   0.412023E+01   0.271234E+02
   0.413348E+01   0.271234E+02
   0.414672E+01   0.271234E+02
   0.415997E+01   0.271234E+02
   0.417321E+01   0.271233E+02
   0.418646E+01   0.271233E+02
   0.419971E+01   0.271233E+02
   0.421295E+01   0.271233E+02
   0.422620E+01   0.271233E+02
   0.423944E+01   0.271232E+02
   0.425269E+01   0.271232E+02
   0.426594E+01   0.271232E+02
