#Actuator Data by Phase
VARIABLES = "Phase(deg)","Disp(mm)","Pressure(psi)","Voltage"
 8.249643707E+01 7.564030290E-01 4.758310020E-01 -3.661200032E-02
 8.346052551E+01 7.545850277E-01 4.682730138E-01 -3.239800036E-02
 8.454398346E+01 7.582979798E-01 4.593589902E-01 -2.761900052E-02
 8.547862244E+01 7.627469897E-01 4.514609873E-01 -2.352299914E-02
 8.652873993E+01 7.569460273E-01 4.399389923E-01 -1.887599938E-02
 8.748407745E+01 7.605090141E-01 4.311110079E-01 -1.466200035E-02
 8.845492554E+01 7.578070164E-01 4.186410010E-01 -1.038799994E-02
 8.956395721E+01 7.582259774E-01 4.060690105E-01 -5.466000177E-03
 9.049860382E+01 7.593290210E-01 3.944509923E-01 -1.363000018E-03
 9.152547455E+01 7.551810145E-01 3.811230063E-01 3.195999889E-03
 9.248354340E+01 7.554990053E-01 3.696559966E-01 7.424999960E-03
 9.346456146E+01 7.537019849E-01 3.558050096E-01 1.174400002E-02
 9.454955292E+01 7.504100204E-01 3.417150080E-01 1.654399931E-02
 9.546787262E+01 7.478380203E-01 3.290979862E-01 2.056800015E-02
 9.654617310E+01 7.480430007E-01 3.138970137E-01 2.531800047E-02
 9.747823334E+01 7.447689772E-01 3.018940091E-01 2.940100059E-02
 9.847338867E+01 7.430719733E-01 2.872799933E-01 3.375200182E-02
 9.955467987E+01 7.393509746E-01 2.724010050E-01 3.849299997E-02
 1.004628677E+02 7.337359786E-01 2.605940104E-01 4.241700098E-02
 1.015194321E+02 7.296940088E-01 2.462520003E-01 4.702299833E-02
 1.024645233E+02 7.262840271E-01 2.342869937E-01 5.109100044E-02
 1.035028381E+02 7.207279801E-01 2.205889970E-01 5.556200072E-02
 1.045622940E+02 7.162839770E-01 2.062309980E-01 6.012599915E-02
 1.054759064E+02 7.111589909E-01 1.950480044E-01 6.400500238E-02
 1.065349655E+02 7.069180012E-01 1.807750016E-01 6.852100044E-02
 1.074609909E+02 7.049369812E-01 1.700810045E-01 7.240500301E-02
 1.084850616E+02 6.968759894E-01 1.575369984E-01 7.674200088E-02
 1.094645615E+02 6.913750172E-01 1.458130032E-01 8.082500100E-02
 1.104561157E+02 6.870939732E-01 1.347739995E-01 8.493900299E-02
 1.115578995E+02 6.747779846E-01 1.210580021E-01 8.949500322E-02
 1.124944611E+02 6.692579985E-01 1.112909988E-01 9.330800176E-02
 1.135367737E+02 6.591299772E-01 9.926199913E-02 9.758000076E-02
 1.144783249E+02 6.580650210E-01 9.042599797E-02 1.013609990E-01
 1.154632034E+02 6.498889923E-01 8.021800220E-02 1.053109989E-01
 1.165452652E+02 6.426039934E-01 7.043199986E-02 1.096170023E-01
 1.174637985E+02 6.334969997E-01 6.274099648E-02 1.132109985E-01
 1.185453873E+02 6.293920279E-01 5.396499857E-02 1.174549982E-01
 1.194875336E+02 6.185439825E-01 4.748599976E-02 1.210860014E-01
 1.204944458E+02 6.145009995E-01 4.001099989E-02 1.249419972E-01
 1.215716019E+02 6.038370132E-01 3.259199858E-02 1.290290058E-01
 1.224630966E+02 5.958250165E-01 2.700800076E-02 1.323509961E-01
 1.235230103E+02 5.876839757E-01 2.045099996E-02 1.362940073E-01
 1.244685898E+02 5.803909898E-01 1.573199965E-02 1.397490054E-01
 1.255056000E+02 5.715939999E-01 9.188000113E-03 1.435009986E-01
 1.265433121E+02 5.621500015E-01 5.665000062E-03 1.472280025E-01
 1.274608154E+02 5.564330220E-01 -6.099999882E-05 1.504440010E-01
 1.285097351E+02 5.469229817E-01 -5.080999807E-03 1.541260034E-01
 1.294543762E+02 5.392389894E-01 -8.919999935E-03 1.573359966E-01
 1.305131226E+02 5.293539762E-01 -1.439199969E-02 1.609379947E-01
 1.315221252E+02 5.183789730E-01 -1.782800071E-02 1.643069983E-01
 1.324482574E+02 5.107870102E-01 -2.405600064E-02 1.673420072E-01
 1.335216827E+02 4.986650050E-01 -2.828500047E-02 1.708229929E-01
 1.344873962E+02 4.891650081E-01 -3.260799870E-02 1.738660038E-01
 1.355232849E+02 4.788509905E-01 -3.833099827E-02 1.771309972E-01
 1.365129242E+02 4.717479944E-01 -4.127199948E-02 1.801660061E-01
 1.374755859E+02 4.635080099E-01 -4.859200120E-02 1.830530018E-01
 1.385527496E+02 4.523090124E-01 -5.173999816E-02 1.862519979E-01
 1.394744720E+02 4.427379966E-01 -5.740400031E-02 1.889030039E-01
 1.405104370E+02 4.289110005E-01 -6.328099966E-02 1.918720007E-01
 1.414568329E+02 4.210979939E-01 -6.651400030E-02 1.944849938E-01
 1.424610901E+02 4.125080109E-01 -7.428900152E-02 1.972279996E-01
 1.435514679E+02 3.969990015E-01 -7.914700359E-02 2.001329958E-01
 1.444767914E+02 3.881709874E-01 -8.497200161E-02 2.025219947E-01
 1.455354309E+02 3.747789860E-01 -9.148000181E-02 2.052260041E-01
 1.465181427E+02 3.666920066E-01 -9.694299847E-02 2.076340020E-01
 1.475219574E+02 3.556779921E-01 -1.041250005E-01 2.100570053E-01
