VARIABLES = "X","Y","mu_t"
ZONE T="CFL3D, SA-QCR2000, x=0.75"
 7.500000000E-01 5.011617392E-02 4.989111900E+00
 7.500000000E-01 5.011859536E-02 5.190932274E+00
 7.500000000E-01 5.012106150E-02 5.396811485E+00
 7.500000000E-01 5.012357607E-02 5.606497765E+00
 7.500000000E-01 5.012614280E-02 5.820142746E+00
 7.500000000E-01 5.012876168E-02 6.037847996E+00
 7.500000000E-01 5.013142899E-02 6.259099007E+00
 7.500000000E-01 5.013415590E-02 6.484472752E+00
 7.500000000E-01 5.013693124E-02 6.712986946E+00
 7.500000000E-01 5.013976619E-02 6.945347309E+00
 7.500000000E-01 5.014265701E-02 7.180977345E+00
 7.500000000E-01 5.014560372E-02 7.419956684E+00
 7.500000000E-01 5.014861375E-02 7.662655354E+00
 7.500000000E-01 5.015167966E-02 7.908070564E+00
 7.500000000E-01 5.015481263E-02 8.157190323E+00
 7.500000000E-01 5.015800521E-02 8.409132004E+00
 7.500000000E-01 5.016126111E-02 8.664120674E+00
 7.500000000E-01 5.016458407E-02 8.922128677E+00
 7.500000000E-01 5.016797408E-02 9.183285713E+00
 7.500000000E-01 5.017143115E-02 9.447129250E+00
 7.500000000E-01 5.017495900E-02 9.713906288E+00
 7.500000000E-01 5.017855763E-02 9.983586311E+00
 7.500000000E-01 5.018223077E-02 1.025642014E+01
 7.500000000E-01 5.018597469E-02 1.053191090E+01
 7.500000000E-01 5.018979684E-02 1.081053829E+01
 7.500000000E-01 5.019369721E-02 1.109194851E+01
 7.500000000E-01 5.019767210E-02 1.137603569E+01
 7.500000000E-01 5.020173267E-02 1.166347694E+01
 7.500000000E-01 5.020587146E-02 1.195341873E+01
 7.500000000E-01 5.021009594E-02 1.224641132E+01
 7.500000000E-01 5.021440238E-02 1.254221439E+01
 7.500000000E-01 5.021880195E-02 1.284138012E+01
 7.500000000E-01 5.022328719E-02 1.314328480E+01
 7.500000000E-01 5.022786185E-02 1.344820690E+01
 7.500000000E-01 5.023252964E-02 1.375627613E+01
 7.500000000E-01 5.023729429E-02 1.406744862E+01
 7.500000000E-01 5.024215579E-02 1.438175488E+01
 7.500000000E-01 5.024711415E-02 1.469922733E+01
 7.500000000E-01 5.025217310E-02 1.502006435E+01
 7.500000000E-01 5.025733262E-02 1.534393215E+01
 7.500000000E-01 5.026260018E-02 1.567133522E+01
 7.500000000E-01 5.026797205E-02 1.600205231E+01
 7.500000000E-01 5.027345568E-02 1.633617401E+01
 7.500000000E-01 5.027904734E-02 1.667350197E+01
 7.500000000E-01 5.028475448E-02 1.701467133E+01
 7.500000000E-01 5.029057711E-02 1.735917854E+01
 7.500000000E-01 5.029651895E-02 1.770728302E+01
 7.500000000E-01 5.030258000E-02 1.805902100E+01
 7.500000000E-01 5.030876398E-02 1.841446686E+01
 7.500000000E-01 5.031507462E-02 1.877367210E+01
 7.500000000E-01 5.032151192E-02 1.913665009E+01
 7.500000000E-01 5.032807961E-02 1.950332069E+01
 7.500000000E-01 5.033478141E-02 1.987401199E+01
 7.500000000E-01 5.034162104E-02 2.024870491E+01
 7.500000000E-01 5.034859851E-02 2.062719536E+01
 7.500000000E-01 5.035571754E-02 2.100980377E+01
 7.500000000E-01 5.036298186E-02 2.139642143E+01
 7.500000000E-01 5.037039518E-02 2.178709793E+01
 7.500000000E-01 5.037795752E-02 2.218185616E+01
 7.500000000E-01 5.038567260E-02 2.258069229E+01
 7.500000000E-01 5.039354786E-02 2.298386955E+01
 7.500000000E-01 5.040157959E-02 2.339100838E+01
 7.500000000E-01 5.040977523E-02 2.380235481E+01
 7.500000000E-01 5.041813850E-02 2.421801567E+01
 7.500000000E-01 5.042667314E-02 2.463801575E+01
 7.500000000E-01 5.043537915E-02 2.506219482E+01
 7.500000000E-01 5.044426396E-02 2.549075699E+01
 7.500000000E-01 5.045332760E-02 2.592353630E+01
 7.500000000E-01 5.046257749E-02 2.636072922E+01
 7.500000000E-01 5.047201365E-02 2.680216980E+01
 7.500000000E-01 5.048164353E-02 2.724804306E+01
 7.500000000E-01 5.049146712E-02 2.769812393E+01
 7.500000000E-01 5.050149187E-02 2.815259552E+01
 7.500000000E-01 5.051172152E-02 2.861150932E+01
 7.500000000E-01 5.052215979E-02 2.907468987E+01
 7.500000000E-01 5.053281039E-02 2.954231834E+01
 7.500000000E-01 5.054367334E-02 3.001398087E+01
 7.500000000E-01 5.055476353E-02 3.049029160E+01
 7.500000000E-01 5.056607723E-02 3.097072601E+01
 7.500000000E-01 5.057761818E-02 3.145534897E+01
 7.500000000E-01 5.058939755E-02 3.194433784E+01
 7.500000000E-01 5.060141534E-02 3.243747711E+01
 7.500000000E-01 5.061367899E-02 3.293483734E+01
 7.500000000E-01 5.062619224E-02 3.343654251E+01
 7.500000000E-01 5.063895881E-02 3.394219971E+01
 7.500000000E-01 5.065198615E-02 3.445194626E+01
 7.500000000E-01 5.066527799E-02 3.496581650E+01
 7.500000000E-01 5.067883804E-02 3.548353195E+01
 7.500000000E-01 5.069267750E-02 3.600532532E+01
 7.500000000E-01 5.070680007E-02 3.653113174E+01
 7.500000000E-01 5.072120577E-02 3.706062317E+01
 7.500000000E-01 5.073590949E-02 3.759403992E+01
 7.500000000E-01 5.075091124E-02 3.813127899E+01
 7.500000000E-01 5.076621473E-02 3.867191696E+01
 7.500000000E-01 5.078183487E-02 3.921639252E+01
 7.500000000E-01 5.079777166E-02 3.976426697E+01
 7.500000000E-01 5.081402883E-02 4.031556702E+01
 7.500000000E-01 5.083062127E-02 4.087035751E+01
 7.500000000E-01 5.084755272E-02 4.142840576E+01
 7.500000000E-01 5.086482689E-02 4.198958588E+01
 7.500000000E-01 5.088245124E-02 4.255374908E+01
 7.500000000E-01 5.090043694E-02 4.312104034E+01
 7.500000000E-01 5.091878772E-02 4.369124222E+01
 7.500000000E-01 5.093751475E-02 4.426425934E+01
 7.500000000E-01 5.095662177E-02 4.483997345E+01
 7.500000000E-01 5.097611621E-02 4.541828156E+01
 7.500000000E-01 5.099600926E-02 4.599897766E+01
 7.500000000E-01 5.101630464E-02 4.658201981E+01
 7.500000000E-01 5.103701726E-02 4.716741562E+01
 7.500000000E-01 5.105815083E-02 4.775482941E+01
