VARIABLES = "X","Y","Z","cp"
 7.514388561E-01 -2.343750000E-01 4.582770541E-02 -4.300734699E-01
 7.654208541E-01 -2.500000000E-01 4.582770541E-02 -4.342204630E-01
 7.808439732E-01 -2.656250000E-01 4.582770541E-02 -4.395476282E-01
 7.975389361E-01 -2.812500000E-01 4.582770541E-02 -4.458657205E-01
 8.152834773E-01 -2.968750000E-01 4.582770541E-02 -4.529944360E-01
 8.338068724E-01 -3.125000000E-01 4.582770541E-02 -4.607668817E-01
 8.527964950E-01 -3.281250000E-01 4.582770541E-02 -4.689923227E-01
 8.719057441E-01 -3.437500000E-01 4.582770541E-02 -4.774442613E-01
 8.907639980E-01 -3.593750000E-01 4.582770541E-02 -4.858604372E-01
 9.089868665E-01 -3.750000000E-01 4.582770541E-02 -4.939189851E-01
 9.261883497E-01 -3.906250000E-01 4.582770541E-02 -5.013159513E-01
 9.419919252E-01 -4.062500000E-01 4.582770541E-02 -5.077711344E-01
 9.560429454E-01 -4.218750000E-01 4.582770541E-02 -5.131117105E-01
 9.680193067E-01 -4.375000000E-01 4.582770541E-02 -5.172661543E-01
 9.776419997E-01 -4.531250000E-01 4.582770541E-02 -5.202821493E-01
 9.846841097E-01 -4.687500000E-01 4.582770541E-02 -5.222818851E-01
 9.889780283E-01 -4.843750000E-01 4.582770541E-02 -5.234084129E-01
 9.904208779E-01 -5.000000000E-01 4.582770541E-02 -5.237690210E-01
ZONE T="CFL3D, grid 3"
 6.904208660E-01 0.000000000E+00 4.582770541E-02 -4.711059034E-01
 6.904485226E-01 -3.125000000E-02 4.582770541E-02 -4.683402479E-01
 6.908554435E-01 -6.250000000E-02 4.582770541E-02 -4.606107175E-01
 6.925510168E-01 -9.375000000E-02 4.582770541E-02 -4.495838583E-01
 6.968548298E-01 -1.250000000E-01 4.582770541E-02 -4.378727376E-01
 7.052347064E-01 -1.562500000E-01 4.582770541E-02 -4.285529554E-01
 7.190018296E-01 -1.875000000E-01 4.582770541E-02 -4.243138731E-01
 7.390118241E-01 -2.187500000E-01 4.582770541E-02 -4.265073240E-01
 7.654208541E-01 -2.500000000E-01 4.582770541E-02 -4.346588552E-01
 7.975389361E-01 -2.812500000E-01 4.582770541E-02 -4.469111860E-01
 8.338068724E-01 -3.125000000E-01 4.582770541E-02 -4.611543119E-01
 8.719057441E-01 -3.437500000E-01 4.582770541E-02 -4.758671224E-01
 9.089868665E-01 -3.750000000E-01 4.582770541E-02 -4.900887907E-01
 9.419919252E-01 -4.062500000E-01 4.582770541E-02 -5.028251410E-01
 9.680193067E-01 -4.375000000E-01 4.582770541E-02 -5.128315687E-01
 9.846841097E-01 -4.687500000E-01 4.582770541E-02 -5.190995932E-01
