VARIABLES = "N","h=(1/N)^(1/3)","mu_t"
ZONE T="CFL3D SA-neg, 2nd order turb"
 5.767168000E+07 2.588290023E-03 9.569349976E+02
 7.208960000E+06 5.176569801E-03 9.459140015E+02
 9.011200000E+05 1.035309955E-02 9.006599731E+02
 1.126400000E+05 2.070629969E-02 8.268920288E+02
