VARIABLES = "N","h=(1/N)^(1/3)","mu_t"
ZONE T="FUN3D SA-neg"
 1.290330000E+05 1.978899911E-02 7.799912109E+02
 9.661610000E+05 1.011500042E-02 8.791025391E+02
 7.468065000E+06 5.115999840E-03 9.344102783E+02
 5.870598400E+07 2.573000034E-03 9.521970825E+02
