VARIABLES = "X","Y","mut"
ZONE T="CFL3D"
 7.500000000E-01 5.003795028E-02 2.322567999E-01
 7.500000000E-01 5.003887415E-02 2.541500032E-01
 7.500000000E-01 5.003981292E-02 2.774612904E-01
 7.500000000E-01 5.004076660E-02 3.022254109E-01
 7.500000000E-01 5.004172772E-02 3.284746110E-01
 7.500000000E-01 5.004271865E-02 3.562391996E-01
 7.500000000E-01 5.004371703E-02 3.855473101E-01
 7.500000000E-01 5.004473776E-02 4.164251983E-01
 7.500000000E-01 5.004577339E-02 4.488972127E-01
 7.500000000E-01 5.004683137E-02 4.829863012E-01
 7.500000000E-01 5.004790425E-02 5.187140107E-01
 7.500000000E-01 5.004900694E-02 5.561004877E-01
 7.500000000E-01 5.005011708E-02 5.951656103E-01
 7.500000000E-01 5.005125701E-02 6.359276772E-01
 7.500000000E-01 5.005240440E-02 6.784049869E-01
 7.500000000E-01 5.005358905E-02 7.226154804E-01
 7.500000000E-01 5.005478859E-02 7.685766220E-01
 7.500000000E-01 5.005601048E-02 8.163059950E-01
 7.500000000E-01 5.005725473E-02 8.658211231E-01
 7.500000000E-01 5.005852133E-02 9.171398282E-01
 7.500000000E-01 5.005981028E-02 9.702802896E-01
 7.500000000E-01 5.006112903E-02 1.025261045E+00
 7.500000000E-01 5.006247014E-02 1.082100987E+00
 7.500000000E-01 5.006383359E-02 1.140820026E+00
 7.500000000E-01 5.006523430E-02 1.201437950E+00
 7.500000000E-01 5.006664991E-02 1.263975978E+00
 7.500000000E-01 5.006809533E-02 1.328454971E+00
 7.500000000E-01 5.006957054E-02 1.394896984E+00
 7.500000000E-01 5.007107556E-02 1.463325977E+00
 7.500000000E-01 5.007259548E-02 1.533764958E+00
 7.500000000E-01 5.007416010E-02 1.606238008E+00
 7.500000000E-01 5.007575452E-02 1.680770993E+00
 7.500000000E-01 5.007737875E-02 1.757388949E+00
 7.500000000E-01 5.007902533E-02 1.836119056E+00
 7.500000000E-01 5.008071661E-02 1.916988969E+00
 7.500000000E-01 5.008243024E-02 2.000025988E+00
 7.500000000E-01 5.008418113E-02 2.085258007E+00
 7.500000000E-01 5.008596182E-02 2.172717094E+00
 7.500000000E-01 5.008778721E-02 2.262432098E+00
 7.500000000E-01 5.008964241E-02 2.354433060E+00
 7.500000000E-01 5.009153485E-02 2.448753119E+00
 7.500000000E-01 5.009346455E-02 2.545423031E+00
 7.500000000E-01 5.009543896E-02 2.644475937E+00
 7.500000000E-01 5.009743571E-02 2.745944977E+00
 7.500000000E-01 5.009949207E-02 2.849864960E+00
 7.500000000E-01 5.010157824E-02 2.956269979E+00
 7.500000000E-01 5.010370165E-02 3.065195084E+00
 7.500000000E-01 5.010586977E-02 3.176676035E+00
 7.500000000E-01 5.010809004E-02 3.290747881E+00
 7.500000000E-01 5.011034012E-02 3.407449007E+00
 7.500000000E-01 5.011264980E-02 3.526815891E+00
 7.500000000E-01 5.011498928E-02 3.648885965E+00
 7.500000000E-01 5.011738837E-02 3.773698092E+00
 7.500000000E-01 5.011983216E-02 3.901288986E+00
 7.500000000E-01 5.012232065E-02 4.031700134E+00
 7.500000000E-01 5.012486875E-02 4.164968014E+00
 7.500000000E-01 5.012746155E-02 4.301135063E+00
 7.500000000E-01 5.013009906E-02 4.440238953E+00
 7.500000000E-01 5.013279617E-02 4.582322121E+00
 7.500000000E-01 5.013555288E-02 4.727424145E+00
 7.500000000E-01 5.013835430E-02 4.875586987E+00
 7.500000000E-01 5.014121532E-02 5.026850224E+00
 7.500000000E-01 5.014413595E-02 5.181255817E+00
 7.500000000E-01 5.014711618E-02 5.338848114E+00
 7.500000000E-01 5.015015602E-02 5.499666214E+00
 7.500000000E-01 5.015325546E-02 5.663753986E+00
 7.500000000E-01 5.015641451E-02 5.831151962E+00
 7.500000000E-01 5.015963316E-02 6.001904011E+00
 7.500000000E-01 5.016292632E-02 6.176053047E+00
 7.500000000E-01 5.016627908E-02 6.353641033E+00
 7.500000000E-01 5.016970634E-02 6.534709930E+00
 7.500000000E-01 5.017320067E-02 6.719305038E+00
 7.500000000E-01 5.017676204E-02 6.907465935E+00
 7.500000000E-01 5.018039793E-02 7.099236965E+00
 7.500000000E-01 5.018410832E-02 7.294661045E+00
 7.500000000E-01 5.018789321E-02 7.493779182E+00
 7.500000000E-01 5.019175261E-02 7.696634769E+00
 7.500000000E-01 5.019569397E-02 7.903271198E+00
 7.500000000E-01 5.019970238E-02 8.113727570E+00
 7.500000000E-01 5.020380765E-02 8.328046799E+00
 7.500000000E-01 5.020798743E-02 8.546270370E+00
 7.500000000E-01 5.021224916E-02 8.768440247E+00
 7.500000000E-01 5.021660775E-02 8.994595528E+00
 7.500000000E-01 5.022104830E-02 9.224777222E+00
 7.500000000E-01 5.022557825E-02 9.459023476E+00
 7.500000000E-01 5.023020506E-02 9.697374344E+00
