# Planar shear case, k-kL-MEAH2015, x=95.501
VARIABLES = "X"
"Y"
"U Velocity"
ZONE T="CFL3D"
 9.550102234E+01 1.561260462E+00 3.048551381E-01
 9.550102234E+01 1.580323696E+00 3.044089377E-01
 9.550102234E+01 1.599443316E+00 3.039608896E-01
 9.550102234E+01 1.618618965E+00 3.035110831E-01
 9.550102234E+01 1.637850046E+00 3.030595481E-01
 9.550102234E+01 1.657136202E+00 3.026062846E-01
 9.550102234E+01 1.676476717E+00 3.021513224E-01
 9.550102234E+01 1.695871353E+00 3.016948104E-01
 9.550102234E+01 1.715319753E+00 3.012366891E-01
 9.550102234E+01 1.734821081E+00 3.007771075E-01
 9.550102234E+01 1.754375219E+00 3.003159761E-01
 9.550102234E+01 1.773981452E+00 2.998534441E-01
 9.550102234E+01 1.793639541E+00 2.993895113E-01
 9.550102234E+01 1.813348770E+00 2.989242375E-01
 9.550102234E+01 1.833109260E+00 2.984576821E-01
 9.550102234E+01 1.852920055E+00 2.979908586E-01
 9.550102234E+01 1.872613549E+00 2.975257337E-01
 9.550102234E+01 1.892190099E+00 2.970634103E-01
 9.550102234E+01 1.911649585E+00 2.966038883E-01
 9.550102234E+01 1.930992603E+00 2.961471975E-01
 9.550102234E+01 1.950219035E+00 2.956933379E-01
 9.550102234E+01 1.969329119E+00 2.952423692E-01
 9.550102234E+01 1.988323092E+00 2.947942913E-01
 9.550102234E+01 2.007201195E+00 2.943491042E-01
 9.550102234E+01 2.025963545E+00 2.939068973E-01
 9.550102234E+01 2.044610739E+00 2.934676409E-01
 9.550102234E+01 2.063142776E+00 2.930313349E-01
 9.550102234E+01 2.081559896E+00 2.925980389E-01
 9.550102234E+01 2.099862576E+00 2.921676636E-01
 9.550102234E+01 2.118051052E+00 2.917403579E-01
 9.550102234E+01 2.136125326E+00 2.913160920E-01
 9.550102234E+01 2.154086113E+00 2.908948064E-01
 9.550102234E+01 2.171933651E+00 2.904765904E-01
 9.550102234E+01 2.189667940E+00 2.900614142E-01
 9.550102234E+01 2.207289696E+00 2.896492779E-01
 9.550102234E+01 2.224799156E+00 2.892402411E-01
 9.550102234E+01 2.242196560E+00 2.888342440E-01
 9.550102234E+01 2.259482384E+00 2.884312868E-01
 9.550102234E+01 2.276656866E+00 2.880314291E-01
 9.550102234E+01 2.293720722E+00 2.876346707E-01
 9.550102234E+01 2.310673714E+00 2.872409523E-01
 9.550102234E+01 2.327516794E+00 2.868503034E-01
 9.550102234E+01 2.344250202E+00 2.864627540E-01
 9.550102234E+01 2.360874176E+00 2.860782743E-01
 9.550102234E+01 2.377389193E+00 2.856968641E-01
 9.550102234E+01 2.393795729E+00 2.853184938E-01
 9.550102234E+01 2.410094023E+00 2.849432230E-01
 9.550102234E+01 2.426284790E+00 2.845709920E-01
 9.550102234E+01 2.442368031E+00 2.842018306E-01
 9.550102234E+01 2.458344698E+00 2.838357389E-01
 9.550102234E+01 2.474214792E+00 2.834726274E-01
 9.550102234E+01 2.489978790E+00 2.831126451E-01
 9.550102234E+01 2.505637407E+00 2.827556431E-01
 9.550102234E+01 2.521190882E+00 2.824016511E-01
 9.550102234E+01 2.536639452E+00 2.820507288E-01
 9.550102234E+01 2.551984072E+00 2.817027867E-01
 9.550102234E+01 2.567224979E+00 2.813578248E-01
 9.550102234E+01 2.582362413E+00 2.810159028E-01
 9.550102234E+01 2.597397089E+00 2.806769311E-01
 9.550102234E+01 2.612329483E+00 2.803409696E-01
 9.550102234E+01 2.627159595E+00 2.800079286E-01
 9.550102234E+01 2.641888380E+00 2.796778679E-01
 9.550102234E+01 2.656516314E+00 2.793507278E-01
 9.550102234E+01 2.671043634E+00 2.790265381E-01
 9.550102234E+01 2.685471058E+00 2.787052393E-01
 9.550102234E+01 2.699798822E+00 2.783868611E-01
 9.550102234E+01 2.714027405E+00 2.780713737E-01
 9.550102234E+01 2.728157282E+00 2.777588069E-01
