# k-kL-MEAH2015 nondim kL and k at x=29.2468
VARIABLES = "y","kL_nondim","k_nondim"
ZONE T="CFL3D, x=29.2468"
 6.117261052E-01 3.840565872E+01 1.712214900E-03
 6.172873378E-01 3.851264954E+01 1.714219688E-03
 6.228439212E-01 3.861560822E+01 1.716098166E-03
 6.283959150E-01 3.871453857E+01 1.717850449E-03
 6.339432597E-01 3.880944443E+01 1.719476888E-03
 6.394858360E-01 3.890032578E+01 1.720977714E-03
 6.450235844E-01 3.898719788E+01 1.722353045E-03
 6.505565047E-01 3.907005692E+01 1.723603462E-03
 6.560845375E-01 3.914891434E+01 1.724729082E-03
 6.616075039E-01 3.922377777E+01 1.725730137E-03
 6.671254635E-01 3.929465485E+01 1.726607210E-03
 6.726383567E-01 3.936155701E+01 1.727360534E-03
 6.781460643E-01 3.942449188E+01 1.727990457E-03
 6.836485863E-01 3.948347092E+01 1.728497562E-03
 6.891458631E-01 3.953850174E+01 1.728882082E-03
 6.946377754E-01 3.958959961E+01 1.729144598E-03
 7.000490427E-01 3.963615799E+01 1.729284297E-03
 7.053806782E-01 3.967835617E+01 1.729306765E-03
 7.106338739E-01 3.971636581E+01 1.729217125E-03
 7.158097029E-01 3.975035095E+01 1.729020267E-03
 7.209092975E-01 3.978048325E+01 1.728721196E-03
 7.259336114E-01 3.980691528E+01 1.728324685E-03
 7.308837175E-01 3.982979965E+01 1.727835159E-03
 7.357606888E-01 3.984928894E+01 1.727257157E-03
 7.405655980E-01 3.986552429E+01 1.726594870E-03
 7.452993393E-01 3.987863922E+01 1.725852373E-03
 7.499630451E-01 3.988877869E+01 1.725033624E-03
 7.545576096E-01 3.989606476E+01 1.724142581E-03
 7.590839863E-01 3.990062714E+01 1.723182853E-03
 7.635432482E-01 3.990258789E+01 1.722158049E-03
 7.679362893E-01 3.990206146E+01 1.721071545E-03
 7.722640038E-01 3.989916229E+01 1.719926717E-03
 7.765273452E-01 3.989400101E+01 1.718726824E-03
 7.807272077E-01 3.988668442E+01 1.717475010E-03
 7.848646045E-01 3.987731171E+01 1.716173952E-03
 7.889402509E-01 3.986598206E+01 1.714826794E-03
 7.929551005E-01 3.985279465E+01 1.713436097E-03
 7.969100475E-01 3.983783722E+01 1.712004654E-03
 8.008058667E-01 3.982120132E+01 1.710535027E-03
 8.046435118E-01 3.980297089E+01 1.709029777E-03
 8.084237576E-01 3.978322983E+01 1.707490999E-03
 8.121473789E-01 3.976205826E+01 1.705921139E-03
 8.158152699E-01 3.973952866E+01 1.704322407E-03
 8.194280863E-01 3.971571732E+01 1.702696900E-03
 8.229868412E-01 3.969069672E+01 1.701046596E-03
 8.264921308E-01 3.966453171E+01 1.699373475E-03
 8.299447298E-01 3.963729477E+01 1.697679516E-03
 8.333454132E-01 3.960903931E+01 1.695966348E-03
 8.366950154E-01 3.957983780E+01 1.694235601E-03
 8.399940729E-01 3.954973984E+01 1.692489255E-03
 8.432435989E-01 3.951880646E+01 1.690728590E-03
 8.464440107E-01 3.948709106E+01 1.688955235E-03
 8.495962024E-01 3.945464706E+01 1.687170705E-03
 8.527007103E-01 3.942152405E+01 1.685376395E-03
 8.557584286E-01 3.938776779E+01 1.683573588E-03
 8.587698936E-01 3.935342789E+01 1.681763562E-03
 8.617358804E-01 3.931854630E+01 1.679947600E-03
 8.646569252E-01 3.928316498E+01 1.678126748E-03
 8.675336838E-01 3.924732971E+01 1.676302287E-03
 8.703668714E-01 3.921107864E+01 1.674475265E-03
 8.731570840E-01 3.917444611E+01 1.672646613E-03
 8.759049177E-01 3.913747025E+01 1.670817379E-03
 8.786110878E-01 3.910018158E+01 1.668988378E-03
 8.812760115E-01 3.906262207E+01 1.667160774E-03
 8.839004636E-01 3.902481842E+01 1.665335149E-03
 8.864849806E-01 3.898680115E+01 1.663512434E-03
 8.890300989E-01 3.894860077E+01 1.661693328E-03
 8.915364146E-01 3.891024017E+01 1.659878762E-03
 8.940044641E-01 3.887175369E+01 1.658069203E-03
 8.964349031E-01 3.883316422E+01 1.656265464E-03
 8.988281488E-01 3.879449463E+01 1.654468128E-03
 9.011847973E-01 3.875576782E+01 1.652677776E-03
 9.035054445E-01 3.871700668E+01 1.650894992E-03
 9.057905078E-01 3.867823410E+01 1.649120240E-03
 9.080405831E-01 3.863946915E+01 1.647354220E-03
 9.102561474E-01 3.860073471E+01 1.645597280E-03
 9.124376774E-01 3.856204224E+01 1.643849886E-03
 9.145857692E-01 3.852341461E+01 1.642112504E-03
 9.167007804E-01 3.848486710E+01 1.640385482E-03
 9.187832475E-01 3.844641113E+01 1.638669404E-03
 9.208336473E-01 3.840806961E+01 1.636964385E-03
 9.228524566E-01 3.836985397E+01 1.635270892E-03
 9.248401523E-01 3.833177948E+01 1.633589156E-03
 9.267970920E-01 3.829385376E+01 1.631919644E-03
 9.287239313E-01 3.825609207E+01 1.630262355E-03
 9.306208491E-01 3.821850967E+01 1.628617872E-03
 9.324885011E-01 3.818111038E+01 1.626986195E-03
 9.343271852E-01 3.814391327E+01 1.625367673E-03
 9.361373782E-01 3.810691833E+01 1.623762422E-03
 9.379194975E-01 3.807014084E+01 1.622170792E-03
 9.396739602E-01 3.803359222E+01 1.620592782E-03
 9.414011240E-01 3.799727631E+01 1.619028742E-03
 9.431014657E-01 3.796119690E+01 1.617478672E-03
 9.447753429E-01 3.792536926E+01 1.615942689E-03
 9.464231133E-01 3.788979340E+01 1.614421024E-03
 9.480452538E-01 3.785448456E+01 1.612913562E-03
 9.496420026E-01 3.781943893E+01 1.611420768E-03
 9.512139559E-01 3.778466415E+01 1.609942410E-03
 9.527612329E-01 3.775017166E+01 1.608478837E-03
 9.542842507E-01 3.771596146E+01 1.607029815E-03
 9.557834864E-01 3.768203735E+01 1.605595695E-03
 9.572591782E-01 3.764840698E+01 1.604176359E-03
 9.587117434E-01 3.761506653E+01 1.602771692E-03
 9.601414800E-01 3.758203125E+01 1.601382042E-03
 9.615487456E-01 3.754929352E+01 1.600007177E-03
 9.629338980E-01 3.751686096E+01 1.598647330E-03
 9.642971754E-01 3.748473358E+01 1.597302267E-03
 9.656389952E-01 3.745291901E+01 1.595972222E-03
 9.669596553E-01 3.742141342E+01 1.594656962E-03
 9.682593942E-01 3.739022064E+01 1.593356603E-03
 9.695386291E-01 3.735934067E+01 1.592071028E-03
 9.707975984E-01 3.732877731E+01 1.590800355E-03
 9.720366001E-01 3.729853439E+01 1.589544467E-03
 9.732559919E-01 3.726860428E+01 1.588303363E-03
 9.744559526E-01 3.723899841E+01 1.587076928E-03
 9.756368399E-01 3.720970917E+01 1.585865160E-03
 9.767989516E-01 3.718074036E+01 1.584667829E-03
 9.779425263E-01 3.715208817E+01 1.583485282E-03
 9.790679216E-01 3.712376022E+01 1.582317054E-03
 9.801752567E-01 3.709574890E+01 1.581163262E-03
 9.812649488E-01 3.706805801E+01 1.580023789E-03
 9.823371768E-01 3.704068375E+01 1.578898518E-03
 9.833921790E-01 3.701363373E+01 1.577787567E-03
 9.844302535E-01 3.698689651E+01 1.576690702E-03
 9.854517579E-01 3.696047592E+01 1.575607806E-03
 9.864567518E-01 3.693437195E+01 1.574538881E-03
 9.874455929E-01 3.690858459E+01 1.573483692E-03
 9.884184599E-01 3.688311005E+01 1.572442357E-03
 9.893756509E-01 3.685794830E+01 1.571414643E-03
 9.903173447E-01 3.683309555E+01 1.570400433E-03
 9.912438393E-01 3.680855560E+01 1.569399727E-03
 9.921552539E-01 3.678432083E+01 1.568412408E-03
 9.930518866E-01 3.676039886E+01 1.567438361E-03
 9.939339757E-01 3.673677826E+01 1.566477469E-03
 9.948017001E-01 3.671345901E+01 1.565529616E-03
 9.956552982E-01 3.669044113E+01 1.564594684E-03
 9.964950085E-01 3.666772461E+01 1.563672558E-03
 9.973208904E-01 3.664530945E+01 1.562763238E-03
 9.981333613E-01 3.662318420E+01 1.561866491E-03
 9.989324808E-01 3.660135651E+01 1.560982200E-03
 9.997184873E-01 3.657981873E+01 1.560110250E-03
 1.000491500E+00 3.655857468E+01 1.559250755E-03
 1.001251936E+00 3.653761292E+01 1.558403252E-03
 1.001999736E+00 3.651693726E+01 1.557567972E-03
 1.002735257E+00 3.649654388E+01 1.556744566E-03
 1.003471375E+00 3.647607803E+01 1.555918483E-03
 1.004227161E+00 3.645500946E+01 1.555068651E-03
 1.005003214E+00 3.643330765E+01 1.554193906E-03
 1.005800247E+00 3.641095352E+01 1.553293318E-03
 1.006619096E+00 3.638791656E+01 1.552365953E-03
 1.007460237E+00 3.636418152E+01 1.551410998E-03
 1.008324623E+00 3.633971405E+01 1.550427172E-03
 1.009212971E+00 3.631448364E+01 1.549413544E-03
 1.010126352E+00 3.628845596E+01 1.548368367E-03
 1.011065245E+00 3.626161194E+01 1.547291176E-03
 1.012030721E+00 3.623390961E+01 1.546180458E-03
 1.013023734E+00 3.620532227E+01 1.545034931E-03
 1.014045238E+00 3.617580414E+01 1.543852966E-03
 1.015096068E+00 3.614532852E+01 1.542633399E-03
 1.016177177E+00 3.611385345E+01 1.541374833E-03
 1.017289758E+00 3.608133698E+01 1.540075522E-03
 1.018434882E+00 3.604773712E+01 1.538734068E-03
 1.019613743E+00 3.601300430E+01 1.537348493E-03
 1.020827293E+00 3.597710419E+01 1.535917167E-03
 1.022076726E+00 3.593998337E+01 1.534438576E-03
 1.023363590E+00 3.590158844E+01 1.532910275E-03
 1.024688840E+00 3.586186981E+01 1.531330636E-03
 1.026053905E+00 3.582077026E+01 1.529697562E-03
 1.027459979E+00 3.577824402E+01 1.528008957E-03
 1.028908730E+00 3.573421478E+01 1.526262262E-03
 1.030401587E+00 3.568862534E+01 1.524455263E-03
 1.031939864E+00 3.564141846E+01 1.522585517E-03
 1.033525229E+00 3.559251785E+01 1.520650461E-03
 1.035159469E+00 3.554184723E+01 1.518647303E-03
 1.036844015E+00 3.548933792E+01 1.516573247E-03
 1.038580537E+00 3.543491745E+01 1.514425501E-03
 1.040371060E+00 3.537849426E+01 1.512200804E-03
 1.042217255E+00 3.531998825E+01 1.509896014E-03
 1.044121146E+00 3.525930023E+01 1.507507754E-03
 1.046084523E+00 3.519634628E+01 1.505032531E-03
 1.048109651E+00 3.513102722E+01 1.502466621E-03
 1.050198555E+00 3.506323242E+01 1.499806065E-03
 1.052353382E+00 3.499285507E+01 1.497046906E-03
 1.054576278E+00 3.491978836E+01 1.494185068E-03
 1.056869864E+00 3.484390259E+01 1.491215895E-03
 1.059236288E+00 3.476508713E+01 1.488134847E-03
 1.061678171E+00 3.468320084E+01 1.484937035E-03
 1.064198136E+00 3.459810638E+01 1.481617335E-03
 1.066798687E+00 3.450966644E+01 1.478170510E-03
 1.069482565E+00 3.441773605E+01 1.474591205E-03
 1.072252870E+00 3.432214355E+01 1.470873132E-03
 1.075112343E+00 3.422273254E+01 1.467010356E-03
