VARIABLES = "X","Y","mu_t"
ZONE T="CFL3D, SA-QCR2013, x=0.75"
 7.500000000E-01 5.011617392E-02 4.986916065E+00
 7.500000000E-01 5.011859536E-02 5.188665390E+00
 7.500000000E-01 5.012106150E-02 5.394473553E+00
 7.500000000E-01 5.012357607E-02 5.604089737E+00
 7.500000000E-01 5.012614280E-02 5.817664623E+00
 7.500000000E-01 5.012876168E-02 6.035300732E+00
 7.500000000E-01 5.013142899E-02 6.256482601E+00
 7.500000000E-01 5.013415590E-02 6.481788635E+00
 7.500000000E-01 5.013693124E-02 6.710235119E+00
 7.500000000E-01 5.013976619E-02 6.942528248E+00
 7.500000000E-01 5.014265701E-02 7.178091526E+00
 7.500000000E-01 5.014560372E-02 7.417004108E+00
 7.500000000E-01 5.014861375E-02 7.659636497E+00
 7.500000000E-01 5.015167966E-02 7.904986382E+00
 7.500000000E-01 5.015481263E-02 8.154040337E+00
 7.500000000E-01 5.015800521E-02 8.405918121E+00
 7.500000000E-01 5.016126111E-02 8.660840988E+00
 7.500000000E-01 5.016458407E-02 8.918783188E+00
 7.500000000E-01 5.016797408E-02 9.179876328E+00
 7.500000000E-01 5.017143115E-02 9.443655014E+00
 7.500000000E-01 5.017495900E-02 9.710367203E+00
 7.500000000E-01 5.017855763E-02 9.979981422E+00
 7.500000000E-01 5.018223077E-02 1.025274944E+01
 7.500000000E-01 5.018597469E-02 1.052817345E+01
 7.500000000E-01 5.018979684E-02 1.080673504E+01
 7.500000000E-01 5.019369721E-02 1.108807850E+01
 7.500000000E-01 5.019767210E-02 1.137209702E+01
 7.500000000E-01 5.020173267E-02 1.165946960E+01
 7.500000000E-01 5.020587146E-02 1.194934273E+01
 7.500000000E-01 5.021009594E-02 1.224226570E+01
 7.500000000E-01 5.021440238E-02 1.253799725E+01
 7.500000000E-01 5.021880195E-02 1.283709145E+01
 7.500000000E-01 5.022328719E-02 1.313892365E+01
 7.500000000E-01 5.022786185E-02 1.344377136E+01
 7.500000000E-01 5.023252964E-02 1.375176620E+01
 7.500000000E-01 5.023729429E-02 1.406286240E+01
 7.500000000E-01 5.024215579E-02 1.437709141E+01
 7.500000000E-01 5.024711415E-02 1.469448471E+01
 7.500000000E-01 5.025217310E-02 1.501524162E+01
 7.500000000E-01 5.025733262E-02 1.533902836E+01
 7.500000000E-01 5.026260018E-02 1.566634846E+01
 7.500000000E-01 5.026797205E-02 1.599698067E+01
 7.500000000E-01 5.027345568E-02 1.633101654E+01
 7.500000000E-01 5.027904734E-02 1.666825676E+01
 7.500000000E-01 5.028475448E-02 1.700934029E+01
 7.500000000E-01 5.029057711E-02 1.735375595E+01
 7.500000000E-01 5.029651895E-02 1.770176888E+01
 7.500000000E-01 5.030258000E-02 1.805341339E+01
 7.500000000E-01 5.030876398E-02 1.840876389E+01
 7.500000000E-01 5.031507462E-02 1.876787376E+01
 7.500000000E-01 5.032151192E-02 1.913075256E+01
 7.500000000E-01 5.032807961E-02 1.949732399E+01
 7.500000000E-01 5.033478141E-02 1.986791420E+01
 7.500000000E-01 5.034162104E-02 2.024250412E+01
 7.500000000E-01 5.034859851E-02 2.062088966E+01
 7.500000000E-01 5.035571754E-02 2.100339317E+01
 7.500000000E-01 5.036298186E-02 2.138990211E+01
 7.500000000E-01 5.037039518E-02 2.178046799E+01
 7.500000000E-01 5.037795752E-02 2.217511559E+01
 7.500000000E-01 5.038567260E-02 2.257383919E+01
