VARIABLES = "x","y"
ZONE T="1"
 STRANDID=0, SOLUTIONTIME=0
 I=41, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 1.894076616E-01 2.044269443E-02
 1.899057180E-01 2.048676647E-02
 1.903937161E-01 2.052995004E-02
 1.908694357E-01 2.057204582E-02
 1.913309395E-01 2.061288618E-02
 1.917764843E-01 2.065231279E-02
 1.922046691E-01 2.069020271E-02
 1.926143467E-01 2.072645538E-02
 1.930046380E-01 2.076099254E-02
 1.933749914E-01 2.079376392E-02
 1.937250495E-01 2.082474157E-02
 1.940547526E-01 2.085391991E-02
 1.943642050E-01 2.088130079E-02
 1.946537346E-01 2.090692148E-02
 1.949238032E-01 2.093082108E-02
 1.951750219E-01 2.095305361E-02
 1.954080909E-01 2.097367868E-02
 1.956238151E-01 2.099276707E-02
 1.958230287E-01 2.101039700E-02
 1.960066259E-01 2.102664299E-02
 1.961754858E-01 2.104158513E-02
 1.963305473E-01 2.105530538E-02
 1.964726895E-01 2.106788568E-02
 1.966028064E-01 2.107940055E-02
 1.967217475E-01 2.108992636E-02
 1.968303472E-01 2.109953575E-02
 1.969293952E-01 2.110829949E-02
 1.970196217E-01 2.111628465E-02
 1.971017569E-01 2.112355269E-02
 1.971764416E-01 2.113016136E-02
 1.972443163E-01 2.113616653E-02
 1.973059624E-01 2.114162035E-02
 1.973618865E-01 2.114656940E-02
 1.974126250E-01 2.115106024E-02
 1.974586099E-01 2.115513012E-02
 1.975002736E-01 2.115882002E-02
 1.975380182E-01 2.116215788E-02
 1.975721866E-01 2.116518095E-02
 1.976031065E-01 2.116791718E-02
 1.976310760E-01 2.117039263E-02
 1.976563781E-01 2.117263153E-02
ZONE T="2"
 STRANDID=0, SOLUTIONTIME=0
 I=41, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 1.897619814E-01 1.910811476E-02
 1.902265251E-01 1.929304190E-02
