#Phase-averaged CPs at a point just inside slot and at 19 x/c wall locations.
#Cp0.6508 gives Cp inside the slot at location x/c=0.6508, y/c=0.1119
#The remaining 19 Cps are on the hump surface and downstream wall.
variables="Phase(deg)","Cp0.6508","Cp0.659","Cp0.689","Cp0.712","Cp0.734","Cp0.755","Cp0.778","Cp0.801","Cp0.823","Cp0.844","Cp0.866","Cp0.889","Cp0.911","Cp0.962","Cp1.010","Cp1.046","Cp1.094","Cp1.160","Cp1.260","Cp1.393"
ZONE
82.2	-0.74654	-0.74813	-0.39496	-0.33091	-0.30254	-0.36894	-0.46012	-0.56012	-0.65956	-0.69209	-0.62179	-0.42299	-0.28307	-0.05906	-0.03350	-0.06488	-0.10649	-0.10719	-0.04156	-0.05133
86.0	-0.70850	-0.74640	-0.39621	-0.33735	-0.30296	-0.35595	-0.44222	-0.54124	-0.64431	-0.68495	-0.62728	-0.43799	-0.29676	-0.06006	-0.02824	-0.05805	-0.09951	-0.10550	-0.04336	-0.04788
89.9	-0.67597	-0.75102	-0.39760	-0.34372	-0.30399	-0.34389	-0.42503	-0.52275	-0.62840	-0.67620	-0.63134	-0.45276	-0.31114	-0.06162	-0.02360	-0.05136	-0.09253	-0.10382	-0.04568	-0.04481
93.8	-0.64689	-0.76588	-0.39927	-0.35005	-0.30569	-0.33285	-0.40867	-0.50486	-0.61199	-0.66635	-0.63411	-0.46687	-0.32612	-0.06391	-0.01910	-0.04457	-0.08587	-0.10197	-0.04846	-0.04237
97.7	-0.61854	-0.79033	-0.40138	-0.35640	-0.30813	-0.32291	-0.39329	-0.48768	-0.59526	-0.65564	-0.63555	-0.48026	-0.34134	-0.06706	-0.01452	-0.03787	-0.07932	-0.09986	-0.05182	-0.04072
101.6	-0.58952	-0.81869	-0.40409	-0.36285	-0.31142	-0.31415	-0.37902	-0.47136	-0.57836	-0.64409	-0.63557	-0.49304	-0.35648	-0.07151	-0.01024	-0.03134	-0.07309	-0.09782	-0.05569	-0.03962
105.5	-0.55997	-0.84405	-0.40762	-0.36950	-0.31571	-0.30667	-0.36598	-0.45596	-0.56153	-0.63195	-0.63423	-0.50512	-0.37158	-0.07726	-0.00665	-0.02515	-0.06746	-0.09581	-0.06012	-0.03877
109.4	-0.53125	-0.86193	-0.41209	-0.37647	-0.32112	-0.30054	-0.35430	-0.44165	-0.54505	-0.61947	-0.63153	-0.51630	-0.38690	-0.08396	-0.00360	-0.01921	-0.06234	-0.09361	-0.06497	-0.03828
113.3	-0.50482	-0.87152	-0.41761	-0.38383	-0.32764	-0.29579	-0.34408	-0.42860	-0.52917	-0.60683	-0.62751	-0.52655	-0.40243	-0.09143	-0.00085	-0.01366	-0.05763	-0.09118	-0.06981	-0.03796
117.2	-0.48125	-0.87424	-0.42424	-0.39157	-0.33520	-0.29242	-0.33539	-0.41682	-0.51403	-0.59410	-0.62238	-0.53580	-0.41766	-0.09971	0.00149	-0.00882	-0.05313	-0.08879	-0.07433	-0.03732
121.1	-0.46028	-0.87159	-0.43208	-0.39968	-0.34369	-0.29045	-0.32823	-0.40620	-0.49957	-0.58117	-0.61627	-0.54403	-0.43221	-0.10892	0.00302	-0.00431	-0.04855	-0.08641	-0.07809	-0.03650
125.0	-0.44091	-0.86502	-0.44125	-0.40808	-0.35289	-0.28982	-0.32257	-0.39658	-0.48566	-0.56815	-0.60910	-0.55124	-0.44595	-0.11887	0.00364	-0.00015	-0.04399	-0.08355	-0.08113	-0.03539
128.9	-0.42229	-0.85554	-0.45199	-0.41667	-0.36256	-0.29047	-0.31836	-0.38781	-0.47227	-0.55496	-0.60080	-0.55701	-0.45831	-0.12948	0.00354	0.00328	-0.03951	-0.08049	-0.08350	-0.03404
132.8	-0.40389	-0.84356	-0.46459	-0.42539	-0.37243	-0.29233	-0.31548	-0.37981	-0.45947	-0.54129	-0.59141	-0.56117	-0.46904	-0.14074	0.00299	0.00636	-0.03490	-0.07713	-0.08514	-0.03275
