# CFD data extracted (using Tecplot) by interpolating from original grid onto fixed set of points
# SST model
VARIABLES = "X","Y","u/Uref"
ZONE T="CFL3D, x=1.01"
 1.009999990E+00 -5.159932971E-01 9.908554554E-01
 1.009999990E+00 -4.984593987E-01 9.904378057E-01
 1.009999990E+00 -4.815229774E-01 9.900023341E-01
 1.009999990E+00 -4.651636481E-01 9.895491600E-01
 1.009999990E+00 -4.493618011E-01 9.890785813E-01
 1.009999990E+00 -4.340984523E-01 9.885909557E-01
 1.009999990E+00 -4.193552732E-01 9.880867004E-01
 1.009999990E+00 -4.051145911E-01 9.875662923E-01
 1.009999990E+00 -3.913592696E-01 9.870302081E-01
 1.009999990E+00 -3.780727983E-01 9.864789844E-01
 1.009999990E+00 -3.652392030E-01 9.859130979E-01
 1.009999990E+00 -3.528430760E-01 9.853332639E-01
 1.009999990E+00 -3.408695161E-01 9.847400188E-01
 1.009999990E+00 -3.293041289E-01 9.841338992E-01
 1.009999990E+00 -3.181329966E-01 9.835154414E-01
 1.009999990E+00 -3.073426485E-01 9.828853011E-01
 1.009999990E+00 -2.969201505E-01 9.822442532E-01
 1.009999990E+00 -2.868529260E-01 9.815927148E-01
 1.009999990E+00 -2.771288455E-01 9.809313416E-01
 1.009999990E+00 -2.677361369E-01 9.802606702E-01
 1.009999990E+00 -2.586635351E-01 9.795812964E-01
 1.009999990E+00 -2.499000579E-01 9.788938165E-01
 1.009999990E+00 -2.414351106E-01 9.781987667E-01
 1.009999990E+00 -2.332584411E-01 9.774966240E-01
 1.009999990E+00 -2.253601849E-01 9.767880440E-01
 1.009999990E+00 -2.177307606E-01 9.760733843E-01
 1.009999990E+00 -2.103609294E-01 9.753531814E-01
 1.009999990E+00 -2.032417506E-01 9.746279120E-01
 1.009999990E+00 -1.963646263E-01 9.738979340E-01
 1.009999990E+00 -1.897211969E-01 9.731638432E-01
 1.009999990E+00 -1.833034307E-01 9.724258780E-01
 1.009999990E+00 -1.771035492E-01 9.716845751E-01
 1.009999990E+00 -1.711140722E-01 9.709402919E-01
 1.009999990E+00 -1.653277576E-01 9.701932669E-01
 1.009999990E+00 -1.597376317E-01 9.694440365E-01
 1.009999990E+00 -1.543369889E-01 9.686927199E-01
 1.009999990E+00 -1.491193026E-01 9.679397345E-01
 1.009999990E+00 -1.440783441E-01 9.671853781E-01
 1.009999990E+00 -1.392080635E-01 9.664300084E-01
 1.009999990E+00 -1.345026344E-01 9.656737447E-01
 1.009999990E+00 -1.299564689E-01 9.649170041E-01
 1.009999990E+00 -1.255641431E-01 9.641600251E-01
 1.009999990E+00 -1.213204339E-01 9.634027481E-01
 1.009999990E+00 -1.172202975E-01 9.626464844E-01
 1.009999990E+00 -1.132588461E-01 9.618917108E-01
 1.009999990E+00 -1.094313934E-01 9.611346722E-01
 1.009999990E+00 -1.057334840E-01 9.603794813E-01
 1.009999990E+00 -1.021610349E-01 9.596257210E-01
 1.009999990E+00 -9.870979190E-02 9.588723183E-01
 1.009999990E+00 -9.537564218E-02 9.581206441E-01
 1.009999990E+00 -9.215459973E-02 9.573709965E-01
 1.009999990E+00 -8.904282004E-02 9.566231370E-01
 1.009999990E+00 -8.603659272E-02 9.558773637E-01
 1.009999990E+00 -8.313232660E-02 9.551339746E-01
 1.009999990E+00 -8.032655716E-02 9.543927908E-01
 1.009999990E+00 -7.761594653E-02 9.536539912E-01
 1.009999990E+00 -7.499725372E-02 9.529176354E-01
 1.009999990E+00 -7.246736437E-02 9.521839023E-01
 1.009999990E+00 -7.002326101E-02 9.514527917E-01
 1.009999990E+00 -6.766202301E-02 9.507246017E-01
 1.009999990E+00 -6.538084894E-02 9.499993324E-01
 1.009999990E+00 -6.317700446E-02 9.492771626E-01
 1.009999990E+00 -6.104788184E-02 9.485580325E-01
 1.009999990E+00 -5.899093673E-02 9.478422403E-01
 1.009999990E+00 -5.700372905E-02 9.471298456E-01
 1.009999990E+00 -5.508388579E-02 9.464207292E-01
 1.009999990E+00 -5.322912708E-02 9.457154274E-01
 1.009999990E+00 -5.143724382E-02 9.450134039E-01
 1.009999990E+00 -4.970610887E-02 9.443153143E-01
 1.009999990E+00 -4.803365469E-02 9.436209202E-01
 1.009999990E+00 -4.641790316E-02 9.429305196E-01
 1.009999990E+00 -4.485693574E-02 9.422440529E-01
 1.009999990E+00 -4.334890097E-02 9.415616393E-01
 1.009999990E+00 -4.189200699E-02 9.408835769E-01
 1.009999990E+00 -4.048452526E-02 9.402096868E-01
 1.009999990E+00 -3.912478313E-02 9.395402670E-01
 1.009999990E+00 -3.781116754E-02 9.388751388E-01
 1.009999990E+00 -3.654212132E-02 9.382148981E-01
 1.009999990E+00 -3.531615436E-02 9.375590682E-01
 1.009999990E+00 -3.413181379E-02 9.369084239E-01
 1.009999990E+00 -3.298769146E-02 9.362623692E-01
 1.009999990E+00 -3.188243136E-02 9.356216192E-01
 1.009999990E+00 -3.081471846E-02 9.349858761E-01
 1.009999990E+00 -2.978328243E-02 9.343556762E-01
 1.009999990E+00 -2.878691442E-02 9.337307215E-01
 1.009999990E+00 -2.782441489E-02 9.331114292E-01
 1.009999990E+00 -2.689462155E-02 9.324977994E-01
 1.009999990E+00 -2.599640377E-02 9.318892360E-01
 1.009999990E+00 -2.512866817E-02 9.312850237E-01
 1.009999990E+00 -2.429035865E-02 9.306880236E-01
 1.009999990E+00 -2.348043397E-02 9.301141500E-01
 1.009999990E+00 -2.269789018E-02 9.295361638E-01
 1.009999990E+00 -2.194175869E-02 9.286591411E-01
 1.009999990E+00 -2.121111006E-02 9.266801476E-01
 1.009999990E+00 -2.050504647E-02 9.226096272E-01
 1.009999990E+00 -1.982271671E-02 9.161250591E-01
 1.009999990E+00 -1.916330121E-02 9.077644944E-01
 1.009999990E+00 -1.852601953E-02 8.984344006E-01
 1.009999990E+00 -1.791011542E-02 8.887810707E-01
 1.009999990E+00 -1.731486619E-02 8.791109920E-01
 1.009999990E+00 -1.673957519E-02 8.695300221E-01
 1.009999990E+00 -1.618356816E-02 8.600488901E-01
 1.009999990E+00 -1.564619876E-02 8.506330252E-01
 1.009999990E+00 -1.512684394E-02 8.412165046E-01
 1.009999990E+00 -1.462490298E-02 8.317073584E-01
 1.009999990E+00 -1.413979195E-02 8.220373392E-01
 1.009999990E+00 -1.367094647E-02 8.122476339E-01
 1.009999990E+00 -1.321781985E-02 8.024932146E-01
 1.009999990E+00 -1.277988404E-02 7.929368615E-01
 1.009999990E+00 -1.235662960E-02 7.836820483E-01
 1.009999990E+00 -1.194756292E-02 7.747658491E-01
 1.009999990E+00 -1.155220717E-02 7.661830187E-01
 1.009999990E+00 -1.117010135E-02 7.579128146E-01
 1.009999990E+00 -1.080079935E-02 7.499401569E-01
 1.009999990E+00 -1.044387184E-02 7.422668934E-01
 1.009999990E+00 -1.009890065E-02 7.349017262E-01
 1.009999990E+00 -9.765485302E-03 7.278266549E-01
 1.009999990E+00 -9.443235584E-03 7.209906578E-01
 1.009999990E+00 -9.131776169E-03 7.143488526E-01
 1.009999990E+00 -8.830745704E-03 7.078802586E-01
 1.009999990E+00 -8.539792150E-03 7.015720010E-01
 1.009999990E+00 -8.258575574E-03 6.954144239E-01
 1.009999990E+00 -7.986768149E-03 6.893984675E-01
 1.009999990E+00 -7.724053692E-03 6.835168600E-01
 1.009999990E+00 -7.470124401E-03 6.777610183E-01
 1.009999990E+00 -7.224685047E-03 6.721237302E-01
 1.009999990E+00 -6.987449713E-03 6.665984988E-01
 1.009999990E+00 -6.758141331E-03 6.611788273E-01
 1.009999990E+00 -6.536493078E-03 6.558587551E-01
 1.009999990E+00 -6.322246511E-03 6.506332755E-01
 1.009999990E+00 -6.115152966E-03 6.454975605E-01
 1.009999990E+00 -5.914971232E-03 6.404471993E-01
 1.009999990E+00 -5.721468013E-03 6.354771852E-01
 1.009999990E+00 -5.534418393E-03 6.305835843E-01
 1.009999990E+00 -5.353605375E-03 6.257622242E-01
 1.009999990E+00 -5.178818014E-03 6.210094690E-01
 1.009999990E+00 -5.009854678E-03 6.163216829E-01
 1.009999990E+00 -4.846517928E-03 6.116950512E-01
 1.009999990E+00 -4.688618705E-03 6.071271896E-01
 1.009999990E+00 -4.535974469E-03 6.026142836E-01
 1.009999990E+00 -4.388407338E-03 5.981538296E-01
 1.009999990E+00 -4.245747346E-03 5.937437415E-01
 1.009999990E+00 -4.107828252E-03 5.893807411E-01
 1.009999990E+00 -3.974491265E-03 5.850620270E-01
 1.009999990E+00 -3.845581785E-03 5.807853937E-01
 1.009999990E+00 -3.720950801E-03 5.765482783E-01
 1.009999990E+00 -3.600454656E-03 5.723482966E-01
 1.009999990E+00 -3.483953886E-03 5.681834221E-01
 1.009999990E+00 -3.371314146E-03 5.640513897E-01
 1.009999990E+00 -3.262405749E-03 5.599499345E-01
 1.009999990E+00 -3.157103201E-03 5.558770895E-01
 1.009999990E+00 -3.055284964E-03 5.518306494E-01
 1.009999990E+00 -2.956833923E-03 5.478086472E-01
 1.009999990E+00 -2.861637156E-03 5.438092947E-01
 1.009999990E+00 -2.769585000E-03 5.398302674E-01
 1.009999990E+00 -2.680571983E-03 5.358698368E-01
 1.009999990E+00 -2.594495658E-03 5.319263935E-01
 1.009999990E+00 -2.511257771E-03 5.279980302E-01
 1.009999990E+00 -2.430762630E-03 5.240830779E-01
 1.009999990E+00 -2.352918033E-03 5.201794505E-01
 1.009999990E+00 -2.277635271E-03 5.162857175E-01
 1.009999990E+00 -2.204828197E-03 5.124000907E-01
 1.009999990E+00 -2.134413458E-03 5.085213780E-01
 1.009999990E+00 -2.066311194E-03 5.046481490E-01
 1.009999990E+00 -2.000443172E-03 5.007792711E-01
 1.009999990E+00 -1.936735003E-03 4.969142079E-01
 1.009999990E+00 -1.875113929E-03 4.930521548E-01
 1.009999990E+00 -1.815509866E-03 4.891929328E-01
 1.009999990E+00 -1.757855178E-03 4.853366613E-01
 1.009999990E+00 -1.702084555E-03 4.814839959E-01
 1.009999990E+00 -1.648134785E-03 4.776356220E-01
 1.009999990E+00 -1.595944748E-03 4.737931192E-01
 1.009999990E+00 -1.545455540E-03 4.699580371E-01
 1.009999990E+00 -1.496609999E-03 4.661326706E-01
 1.009999990E+00 -1.449353062E-03 4.623196721E-01
 1.009999990E+00 -1.403631642E-03 4.585219026E-01
 1.009999990E+00 -1.359393937E-03 4.547426999E-01
 1.009999990E+00 -1.316590584E-03 4.509856999E-01
 1.009999990E+00 -1.275173272E-03 4.472548366E-01
 1.009999990E+00 -1.235095784E-03 4.435536861E-01
 1.009999990E+00 -1.196312951E-03 4.398867488E-01
 1.009999990E+00 -1.158781582E-03 4.362581670E-01
 1.009999990E+00 -1.122459769E-03 4.326722324E-01
 1.009999990E+00 -1.087306882E-03 4.291329682E-01
 1.009999990E+00 -1.053283806E-03 4.256445169E-01
 1.009999990E+00 -1.020352705E-03 4.222106636E-01
 1.009999990E+00 -9.884770261E-04 4.188350737E-01
 1.009999990E+00 -9.576214361E-04 4.155213237E-01
 1.009999990E+00 -9.277517092E-04 4.122723639E-01
 1.009999990E+00 -8.988348418E-04 4.090913832E-01
