# SA model
variables="N","h=sqrt(1/N)","min u/u_ref 1.01","min u/u_ref 1.05","min u/u_ref 1.20","min u/u_ref 1.40","min u/u_ref 1.80","min u/u_ref 2.19","min u/u_ref 3.00"
zone, t="CFL3D, SA"
 860160.  1.07823e-3  0.381543845E+00  0.548359036E+00  0.708765030E+00  0.783309996E+00  0.847246945E+00  0.877310336E+00  0.908777177E+00
 215040.  2.15645e-3  0.380724043E+00  0.547397435E+00  0.707490981E+00  0.781906426E+00  0.845976770E+00  0.876230180E+00  0.907952666E+00
  53760.  4.31291e-3  0.378650814E+00  0.544992387E+00  0.704713941E+00  0.779105782E+00  0.843418896E+00  0.874009550E+00  0.906244636E+00
  13440.  8.62582e-3  0.372053027E+00  0.537537754E+00  0.697646141E+00  0.772378027E+00  0.837014616E+00  0.867917121E+00  0.901116371E+00
   3360.  1.72516e-2  0.344024479E+00  0.513897359E+00  0.677635253E+00  0.751638353E+00  0.816687584E+00  0.847469866E+00  0.881708086E+00
zone, t="FUN3D, SA"
 860160.  1.07823e-3  0.381130099E+00  0.547837913E+00  0.708514810E+00  0.783135652E+00  0.847007036E+00  0.877025902E+00  0.908464134E+00
 215040.  2.15645e-3  0.379881382E+00  0.546979368E+00  0.707455754E+00  0.781929672E+00  0.845798135E+00  0.875883281E+00  0.907475591E+00
  53760.  4.31291e-3  0.376989633E+00  0.545179784E+00  0.705373108E+00  0.779425263E+00  0.843135059E+00  0.873383939E+00  0.905407310E+00
  13440.  8.62582e-3  0.364299089E+00  0.538721085E+00  0.700905561E+00  0.774919629E+00  0.838091016E+00  0.868320525E+00  0.900582910E+00
   3360.  1.72516e-2  0.317425579E+00  0.526624262E+00  0.698036611E+00  0.770892560E+00  0.831699491E+00  0.860445201E+00  0.891398370E+00
