    Radial       Axial        Radial       K            Turbulent
    position     velocity     velocity                  viscosity
    2.130E-01    8.340E-01    4.419E-03    4.643E-03    3.582E-04
    2.140E-01    8.315E-01    4.496E-03    4.683E-03    3.514E-04
    2.150E-01    8.289E-01    4.573E-03    4.724E-03    3.445E-04
    2.160E-01    8.262E-01    4.651E-03    4.765E-03    3.376E-04
    2.170E-01    8.234E-01    4.730E-03    4.807E-03    3.307E-04
    2.180E-01    8.205E-01    4.810E-03    4.850E-03    3.239E-04
    2.190E-01    8.175E-01    4.890E-03    4.893E-03    3.169E-04
    2.200E-01    8.145E-01    4.971E-03    4.937E-03    3.100E-04
    2.210E-01    8.113E-01    5.054E-03    4.981E-03    3.030E-04
    2.220E-01    8.080E-01    5.136E-03    5.026E-03    2.961E-04
    2.230E-01    8.047E-01    5.220E-03    5.072E-03    2.891E-04
    2.240E-01    8.012E-01    5.305E-03    5.118E-03    2.821E-04
    2.250E-01    7.977E-01    5.390E-03    5.164E-03    2.751E-04
    2.260E-01    7.940E-01    5.476E-03    5.211E-03    2.680E-04
    2.270E-01    7.903E-01    5.563E-03    5.259E-03    2.609E-04
    2.280E-01    7.865E-01    5.650E-03    5.307E-03    2.538E-04
    2.290E-01    7.826E-01    5.739E-03    5.357E-03    2.468E-04
    2.300E-01    7.785E-01    5.828E-03    5.406E-03    2.396E-04
    2.310E-01    7.744E-01    5.918E-03    5.458E-03    2.325E-04
    2.320E-01    7.702E-01    6.009E-03    5.513E-03    2.254E-04
    2.330E-01    7.659E-01    6.101E-03    5.573E-03    2.184E-04
    2.340E-01    7.615E-01    6.193E-03    5.636E-03    2.114E-04
    2.350E-01    7.570E-01    6.286E-03    5.703E-03    2.044E-04
    2.360E-01    7.524E-01    6.381E-03    5.775E-03    1.974E-04
    2.370E-01    7.478E-01    6.475E-03    5.850E-03    1.904E-04
    2.380E-01    7.430E-01    6.571E-03    5.929E-03    1.834E-04
    2.390E-01    7.381E-01    6.668E-03    6.012E-03    1.764E-04
    2.400E-01    7.331E-01    6.765E-03    6.099E-03    1.694E-04
    2.410E-01    7.281E-01    6.869E-03    6.190E-03    1.623E-04
    2.420E-01    7.225E-01    6.985E-03    6.284E-03    1.553E-04
    2.430E-01    7.161E-01    7.113E-03    6.383E-03    1.482E-04
    2.440E-01    7.088E-01    7.254E-03    6.486E-03    1.410E-04
    2.450E-01    7.007E-01    7.407E-03    6.592E-03    1.338E-04
    2.460E-01    6.917E-01    7.572E-03    6.706E-03    1.266E-04
    2.470E-01    6.818E-01    7.749E-03    6.861E-03    1.196E-04
    2.480E-01    6.710E-01    7.939E-03    7.010E-03    1.124E-04
    2.490E-01    6.566E-01    8.141E-03    7.294E-03    1.061E-04
    2.500E-01    6.357E-01    8.356E-03    7.735E-03    1.005E-04
    2.510E-01    6.083E-01    8.582E-03    8.460E-03    9.581E-05
    2.520E-01    5.745E-01    8.821E-03    9.331E-03    9.148E-05
    2.530E-01    5.342E-01    9.072E-03    1.071E-02    8.882E-05
    2.540E-01    4.875E-01    9.336E-03    1.238E-02    8.628E-05
    2.550E-01    4.376E-01    9.612E-03    1.382E-02    8.212E-05
    2.560E-01    3.878E-01    9.900E-03    1.455E-02    7.571E-05
    2.570E-01    3.380E-01    1.020E-02    1.459E-02    6.798E-05
    2.580E-01    2.884E-01    1.051E-02    1.439E-02    6.044E-05
    2.590E-01    2.388E-01    1.084E-02    1.352E-02    5.243E-05
    2.600E-01    1.916E-01    1.117E-02    1.233E-02    4.485E-05
    2.610E-01    1.492E-01    1.128E-02    1.118E-02    3.837E-05
    2.620E-01    1.115E-01    1.092E-02    1.012E-02    3.297E-05
    2.630E-01    7.850E-02    1.009E-02    9.098E-03    2.849E-05
    2.640E-01    5.028E-02    8.797E-03    8.105E-03    2.481E-05
    2.650E-01    2.794E-02    7.031E-03    7.242E-03    2.199E-05
    2.660E-01    1.263E-02    4.795E-03    6.566E-03    2.003E-05
    2.670E-01    4.353E-03    2.091E-03    6.182E-03    1.903E-05
    2.680E-01    1.193E-04   -1.083E-03    5.944E-03    1.871E-05
    2.690E-01   -3.060E-03   -4.725E-03    5.749E-03    1.891E-05
    2.700E-01   -5.186E-03   -8.836E-03    5.603E-03    1.962E-05
    2.710E-01   -6.257E-03   -1.294E-02    5.505E-03    2.083E-05
    2.720E-01   -6.788E-03   -1.658E-02    5.428E-03    2.250E-05
    2.730E-01   -7.294E-03   -1.974E-02    5.354E-03    2.458E-05
    2.740E-01   -7.773E-03   -2.243E-02    5.282E-03    2.708E-05
    2.750E-01   -8.227E-03   -2.464E-02    5.200E-03    2.993E-05
    2.760E-01   -8.769E-03   -2.639E-02    5.123E-03    3.318E-05
    2.770E-01   -1.030E-02   -2.765E-02    5.041E-03    3.678E-05
    2.780E-01   -1.134E-02   -2.845E-02    4.970E-03    4.078E-05
    2.790E-01   -1.189E-02   -2.877E-02    4.903E-03    4.515E-05
    2.800E-01   -1.193E-02   -2.862E-02    4.842E-03    4.990E-05
    2.810E-01   -1.174E-02   -2.823E-02    4.786E-03    5.503E-05
    2.820E-01   -1.154E-02   -2.786E-02    4.735E-03    6.054E-05
    2.830E-01   -1.135E-02   -2.749E-02    4.690E-03    6.643E-05
    2.840E-01   -1.116E-02   -2.714E-02    4.649E-03    7.270E-05
    2.850E-01   -1.098E-02   -2.680E-02    4.614E-03    7.937E-05
    2.860E-01   -1.080E-02   -2.647E-02    4.584E-03    8.644E-05
    2.870E-01   -1.062E-02   -2.614E-02    4.559E-03    9.391E-05
    2.880E-01   -1.044E-02   -2.583E-02    4.539E-03    1.018E-04
    2.890E-01   -1.027E-02   -2.553E-02    4.525E-03    1.101E-04
    2.900E-01   -1.010E-02   -2.524E-02    4.519E-03    1.189E-04
    2.910E-01   -9.932E-03   -2.495E-02    4.517E-03    1.282E-04
    2.920E-01   -9.768E-03   -2.467E-02    4.518E-03    1.379E-04
    2.930E-01   -9.606E-03   -2.439E-02    4.521E-03    1.480E-04
    2.940E-01   -9.448E-03   -2.411E-02    4.524E-03    1.585E-04
    2.950E-01   -9.293E-03   -2.383E-02    4.528E-03    1.695E-04
    2.960E-01   -9.140E-03   -2.355E-02    4.533E-03    1.809E-04
    2.970E-01   -8.991E-03   -2.327E-02    4.538E-03    1.927E-04
    2.980E-01   -8.844E-03   -2.300E-02    4.548E-03    2.050E-04
    2.990E-01   -8.701E-03   -2.273E-02    4.554E-03    2.177E-04
    3.000E-01   -8.560E-03   -2.245E-02    4.560E-03    2.308E-04
    3.010E-01   -8.423E-03   -2.218E-02    4.566E-03    2.377E-04
    3.020E-01   -8.288E-03   -2.191E-02    4.566E-03    2.444E-04
    3.030E-01   -8.157E-03   -2.164E-02    4.567E-03    2.511E-04
    3.040E-01   -8.028E-03   -2.138E-02    4.572E-03    2.579E-04
    3.050E-01   -7.902E-03   -2.111E-02    4.576E-03    2.647E-04
    3.060E-01   -7.779E-03   -2.085E-02    4.579E-03    2.715E-04
    3.070E-01   -7.660E-03   -2.058E-02    4.581E-03    2.782E-04
    3.080E-01   -7.543E-03   -2.032E-02    4.582E-03    2.849E-04
    3.090E-01   -7.429E-03   -2.006E-02    4.583E-03    2.916E-04
    3.100E-01   -7.318E-03   -1.980E-02    4.584E-03    2.983E-04
    3.110E-01   -7.210E-03   -1.955E-02    4.584E-03    3.049E-04
    3.120E-01   -7.105E-03   -1.929E-02    4.583E-03    3.115E-04
    3.130E-01   -7.003E-03   -1.904E-02    4.582E-03    3.181E-04
    3.140E-01   -6.904E-03   -1.878E-02    4.581E-03    3.247E-04
    3.150E-01   -6.808E-03   -1.853E-02    4.579E-03    3.312E-04
    3.160E-01   -6.715E-03   -1.828E-02    4.577E-03    3.377E-04
    3.170E-01   -6.625E-03   -1.803E-02    4.574E-03    3.442E-04
    3.180E-01   -6.538E-03   -1.779E-02    4.572E-03    3.507E-04
    3.190E-01   -6.454E-03   -1.754E-02    4.569E-03    3.572E-04
    3.200E-01   -6.372E-03   -1.730E-02    4.567E-03    3.636E-04
    3.210E-01   -6.294E-03   -1.705E-02    4.565E-03    3.701E-04
    3.220E-01   -6.219E-03   -1.681E-02    4.563E-03    3.765E-04
    3.230E-01   -6.147E-03   -1.657E-02    4.563E-03    3.830E-04
    3.240E-01   -6.077E-03   -1.633E-02    4.563E-03    3.896E-04
    3.250E-01   -6.011E-03   -1.609E-02    4.565E-03    3.961E-04
    3.260E-01   -5.947E-03   -1.586E-02    4.566E-03    4.027E-04
    3.270E-01   -5.887E-03   -1.562E-02    4.568E-03    4.093E-04
    3.280E-01   -5.829E-03   -1.539E-02    4.570E-03    4.158E-04
    3.290E-01   -5.775E-03   -1.516E-02    4.571E-03    4.224E-04
    3.300E-01   -5.723E-03   -1.493E-02    4.573E-03    4.289E-04
    3.310E-01   -5.675E-03   -1.470E-02    4.575E-03    4.355E-04
    3.320E-01   -5.629E-03   -1.447E-02    4.576E-03    4.420E-04
    3.330E-01   -5.586E-03   -1.424E-02    4.578E-03    4.485E-04
    3.340E-01   -5.547E-03   -1.402E-02    4.579E-03    4.550E-04
    3.350E-01   -5.510E-03   -1.380E-02    4.580E-03    4.615E-04
    3.360E-01   -5.476E-03   -1.357E-02    4.582E-03    4.680E-04
    3.370E-01   -5.245E-03   -1.335E-02    4.583E-03    4.744E-04
    3.380E-01   -4.917E-03   -1.313E-02    4.584E-03    4.809E-04
    3.390E-01   -4.692E-03   -1.292E-02    4.585E-03    4.873E-04
    3.400E-01   -4.370E-03   -1.270E-02    4.587E-03    4.938E-04
    3.410E-01   -4.152E-03   -1.248E-02    4.588E-03    5.003E-04
    3.420E-01   -3.836E-03   -1.227E-02    4.590E-03    5.067E-04
    3.430E-01   -3.622E-03   -1.206E-02    4.591E-03    5.132E-04
    3.440E-01   -3.312E-03   -1.185E-02    4.593E-03    5.196E-04
    3.450E-01   -3.105E-03   -1.164E-02    4.593E-03    5.260E-04
    3.460E-01   -2.801E-03   -1.143E-02    4.593E-03    5.323E-04
    3.470E-01   -2.300E-03   -1.122E-02    4.590E-03    5.385E-04
