# X WIRE MEASUREMENTS IN PLANE MIXING LAYER
# Y has been corrected by ycorrected = y - 0.00688x
# U1=22.40 m/s, deltaU=19.14 m/s
# deltaw=13.771 mm at x=200
#       =35.894 mm at x=650
#       =50.547 mm at x=950
VARIABLES = "X(mm)","Y(mm)","y/deltaw","u'v'(m**2/s**2)","u'v'/(deltaU)**2""u'u'(m**2/s**2)","u'u'/(deltaU)**2""v'v'(m**2/s**2)","v'v'/(deltaU)**2""w'w'(m**2/s**2)","w'w'/(deltaU)**2"
ZONE T="x =200mm"
  0.2000000E+03 -0.3093821E+02 -0.2246620E+01 -0.2023070E-02 -0.5522390E-05  0.9574542E-02  0.2613570E-04  0.1130290E-01  0.3085360E-04  0.6838205E-02  0.1866630E-04
  0.2000000E+03 -0.2943799E+02 -0.2137680E+01 -0.2443269E-02 -0.6669410E-05  0.9843582E-02  0.2687010E-04  0.1162220E-01  0.3172520E-04  0.1094040E-01  0.2986410E-04
  0.2000000E+03 -0.2793792E+02 -0.2028750E+01 -0.2973912E-02 -0.8117910E-05  0.8925718E-02  0.2436460E-04  0.1842201E-01  0.5028670E-04  0.3121682E-02  0.8521280E-05
  0.2000000E+03 -0.2643784E+02 -0.1919820E+01 -0.3009799E-02 -0.8215870E-05  0.8187580E-02  0.2234970E-04  0.1407891E-01  0.3843130E-04  0.6858170E-02  0.1872080E-04
  0.2000000E+03 -0.2493777E+02 -0.1810890E+01 -0.2486431E-02 -0.6787230E-05  0.8275135E-02  0.2258870E-04  0.1071371E-01  0.2924530E-04  0.6941586E-02  0.1894850E-04
  0.2000000E+03 -0.2343756E+02 -0.1701950E+01 -0.4311524E-02 -0.1176920E-04  0.1546810E-01  0.4222340E-04  0.1881780E-01  0.5136710E-04  0.7971183E-02  0.2175900E-04
  0.2000000E+03 -0.2193748E+02 -0.1593020E+01 -0.3433679E-02 -0.9372940E-05  0.1043929E-01  0.2849620E-04  0.1645271E-01  0.4491110E-04  0.7667451E-02  0.2092990E-04
  0.2000000E+03 -0.2043741E+02 -0.1484090E+01 -0.2291300E-02 -0.6254580E-05  0.9500505E-02  0.2593360E-04  0.1232821E-01  0.3365240E-04  0.1222820E-01  0.3337940E-04
  0.2000000E+03 -0.1893733E+02 -0.1375160E+01 -0.2379889E-02 -0.6496400E-05  0.1336139E-01  0.3647270E-04  0.2621131E-01  0.7154920E-04  0.1157999E-01  0.3161000E-04
  0.2000000E+03 -0.1743712E+02 -0.1266220E+01 -0.3455550E-02 -0.9432640E-05  0.1440711E-01  0.3932720E-04  0.2848869E-01  0.7776580E-04  0.1815348E-01  0.4955370E-04
  0.2000000E+03 -0.1593704E+02 -0.1157290E+01 -0.5313573E-02 -0.1450450E-04  0.2832970E-01  0.7733180E-04  0.4398640E-01  0.1200700E-03  0.2454662E-01  0.6700510E-04
  0.2000000E+03 -0.1443695E+02 -0.1048359E+01 -0.6286937E-02 -0.1716150E-04  0.7353791E-01  0.2007370E-03  0.9329827E-01  0.2546770E-03  0.5004602E-01  0.1366110E-03
  0.2000000E+03 -0.1293684E+02 -0.9394261E+00 -0.5988773E-02 -0.1634760E-04  0.1453112E+00  0.3966570E-03  0.2004511E+00  0.5471730E-03  0.1008240E+00  0.2752200E-03
  0.2000000E+03 -0.1143673E+02 -0.8304941E+00 -0.2296810E-02 -0.6269620E-05  0.3055862E+00  0.8341610E-03  0.3540969E+00  0.9665810E-03  0.1966991E+00  0.5369310E-03
  0.2000000E+03 -0.9936618E+01 -0.7215611E+00 -0.5455822E-01 -0.1489280E-03  0.5801610E+00  0.1583670E-02  0.6463256E+00  0.1764280E-02  0.3670979E+00  0.1002070E-02
  0.2000000E+03 -0.8436516E+01 -0.6126291E+00 -0.2447310E+00 -0.6680440E-03  0.1007101E+01  0.2749090E-02  0.1001620E+01  0.2734130E-02  0.6614738E+00  0.1805630E-02
  0.2000000E+03 -0.6936399E+01 -0.5036961E+00 -0.5984560E+00 -0.1633610E-02  0.1603710E+01  0.4377660E-02  0.1287512E+01  0.3514530E-02  0.1011599E+01  0.2761370E-02
  0.2000000E+03 -0.5436297E+01 -0.3947641E+00 -0.1276100E+01 -0.3483380E-02  0.3280179E+01  0.8953930E-02  0.1918422E+01  0.5236730E-02  0.1823569E+01  0.4977810E-02
  0.2000000E+03 -0.3936180E+01 -0.2858311E+00 -0.2000189E+01 -0.5459930E-02  0.5207334E+01  0.1421450E-01  0.2534341E+01  0.6918010E-02  0.3003611E+01  0.8198980E-02
  0.2000000E+03 -0.2436076E+01 -0.1768990E+00 -0.2614320E+01 -0.7136330E-02  0.6968255E+01  0.1902130E-01  0.3035750E+01  0.8286710E-02  0.4057870E+01  0.1107680E-01
  0.2000000E+03 -0.9359684E+00 -0.6796662E-01 -0.3009421E+01 -0.8214840E-02  0.8199303E+01  0.2238170E-01  0.3362430E+01  0.9178450E-02  0.4929539E+01  0.1345620E-01
  0.2000000E+03  0.5641411E+00  0.4096588E-01 -0.2950920E+01 -0.8055150E-02  0.8653454E+01  0.2362140E-01  0.3359059E+01  0.9169250E-02  0.5323757E+01  0.1453230E-01
  0.2000000E+03  0.2064244E+01  0.1498979E+00 -0.2787570E+01 -0.7609250E-02  0.8567364E+01  0.2338640E-01  0.3153199E+01  0.8607310E-02  0.5295366E+01  0.1445480E-01
  0.2000000E+03  0.3564360E+01  0.2588309E+00 -0.2598652E+01 -0.7093560E-02  0.8735991E+01  0.2384670E-01  0.2977971E+01  0.8128990E-02  0.4730617E+01  0.1291320E-01
