-12.25009,0.4940089,-5.520068
-12.25043,0.4939054,-5.766496
-12.25056,0.4937858,-6.012552
-12.25044,0.4936612,-6.258692
-12.25032,0.4934744,-6.504545
-12.25049,0.4933092,-6.75091
-12.25045,0.4930935,-6.996763
-12.25041,0.4929614,-7.24265
-12.2503,0.4927534,-7.488882
-12.25038,0.4925833,-7.734518
-12.2504,0.4924476,-7.980594
-12.25041,0.4923348,-8.226881
-12.25039,0.4922148,-8.472724
-12.25039,0.4921894,-8.71868
-12.25031,0.4921239,-8.965067
-12.25033,0.4920897,-9.21078
-12.25032,0.4920655,-9.456923
-12.2501,0.4921315,-9.703255
-12.25019,0.4921946,-9.949264
-12.25038,0.4922414,-10.1949
-12.25032,0.4922262,-10.44109
-12.25026,0.4922639,-10.68722
-12.25027,0.4923427,-10.93323
-12.25018,0.4923921,-11.17931
-12.25006,0.4924747,-11.42578
-12.25024,0.4925101,-11.67167
-12.25016,0.4925261,-11.91787
-12.25032,0.4925215,-12.16403
-12.25032,0.4925256,-12.41015
-12.25035,0.492504,-12.65599
-12.25042,0.4924313,-12.90191
-12.25034,0.4923858,-13.14807
-12.25028,0.4924789,-13.39405
-12.25028,0.4927338,-13.64021
-12.25028,0.4930618,-13.88594
-12.25006,0.4932137,-14.13223
-12.25013,0.4935902,-14.37839
-12.2502,0.4936805,-14.62449
-12.25,0.4938519,-14.87024
-12.25028,0.4938854,-15.11654
-12.25011,0.4939152,-15.36252
-12.2501,0.4938965,-15.60907
-12.25011,0.4938605,-15.85517
-12.25022,0.4938593,-16.1009
-12.25027,0.4939743,-16.34681
-12.25028,0.493906,-16.59285
-12.25023,0.4940562,-16.83934
-12.25028,0.4941099,-17.08512
-12.25018,0.4941581,-17.33115
-12.25018,0.4943527,-17.57723
-12.25022,0.4944063,-17.82297
-12.25021,0.4944675,-18.06912
-12.25012,0.4944826,-18.31507
-12.25022,0.4944836,-18.56144
-12.25015,0.4943822,-18.8074
-12.25019,0.4943641,-19.05317
-12.25023,0.4942797,-19.29991
-12.25007,0.4941697,-19.54562
-12.25013,0.4941611,-19.79167
-12.25011,0.4941542,-20.03797
-12.25014,0.4941783,-20.28388
-12.25018,0.4942498,-20.53012
-12.25019,0.494387,-20.77641
-12.25014,0.4943662,-21.022
-12.25024,0.4945675,-21.26816
-12.25019,0.4946444,-21.51427
-12.24997,0.4947879,-21.76019
-12.25001,0.4947144,-22.00631
-12.25007,0.4947579,-22.25246
-12.24998,0.4947227,-22.49858
-12.24994,0.4945973,-22.74471
-12.25009,0.4946131,-22.99089
-12.25015,0.4946499,-23.2372
-12.24999,0.4949795,-23.48257
-12.24991,0.4951805,-23.72905
-12.24998,0.4953152,-23.97464
-12.25002,0.4952701,-24.22094
-12.24996,0.4952471,-24.46731
-12.25007,0.4954413,-24.71324
-12.25002,0.4958135,-24.95921
-12.25005,0.4960474,-25.20485
-12.24999,0.4961952,-25.4511
-12.24994,0.496404,-25.69697
-12.25008,0.4966892,-25.94319
-12.25005,0.4968977,-26.18964
-12.25011,0.4972632,-26.43562
-12.24981,0.4974842,-26.68136
-12.2498,0.4977841,-26.92771
-12.24991,0.4980191,-27.17354
-12.24981,0.4982639,-27.4198
-12.24986,0.498299,-27.66577
-12.24978,0.4984995,-27.91152
