# CFD data extracted (using Tecplot) by interpolating from original grid onto fixed set of points
# SA model
VARIABLES = "X","Y","u/Uref"
ZONE T="CFL3D, x=1.01"
 1.009999990E+00 -5.159932971E-01 9.905092716E-01
 1.009999990E+00 -4.984593987E-01 9.900847077E-01
 1.009999990E+00 -4.815229774E-01 9.896423221E-01
 1.009999990E+00 -4.651636481E-01 9.891822338E-01
 1.009999990E+00 -4.493618011E-01 9.887045622E-01
 1.009999990E+00 -4.340984523E-01 9.882097840E-01
 1.009999990E+00 -4.193552732E-01 9.876982570E-01
 1.009999990E+00 -4.051145911E-01 9.871704578E-01
 1.009999990E+00 -3.913592696E-01 9.866268635E-01
 1.009999990E+00 -3.780727983E-01 9.860680103E-01
 1.009999990E+00 -3.652392030E-01 9.854943752E-01
 1.009999990E+00 -3.528430760E-01 9.849066734E-01
 1.009999990E+00 -3.408695161E-01 9.843053818E-01
 1.009999990E+00 -3.293041289E-01 9.836910963E-01
 1.009999990E+00 -3.181329966E-01 9.830643535E-01
 1.009999990E+00 -3.073426485E-01 9.824258685E-01
 1.009999990E+00 -2.969201505E-01 9.817761779E-01
 1.009999990E+00 -2.868529260E-01 9.811158180E-01
 1.009999990E+00 -2.771288455E-01 9.804455042E-01
 1.009999990E+00 -2.677361369E-01 9.797657132E-01
 1.009999990E+00 -2.586635351E-01 9.790771008E-01
 1.009999990E+00 -2.499000579E-01 9.783800840E-01
 1.009999990E+00 -2.414351106E-01 9.776753187E-01
 1.009999990E+00 -2.332584411E-01 9.769633412E-01
 1.009999990E+00 -2.253601849E-01 9.762446284E-01
 1.009999990E+00 -2.177307606E-01 9.755196571E-01
 1.009999990E+00 -2.103609294E-01 9.747889042E-01
 1.009999990E+00 -2.032417506E-01 9.740528464E-01
 1.009999990E+00 -1.963646263E-01 9.733119011E-01
 1.009999990E+00 -1.897211969E-01 9.725666046E-01
 1.009999990E+00 -1.833034307E-01 9.718171954E-01
 1.009999990E+00 -1.771035492E-01 9.710642099E-01
 1.009999990E+00 -1.711140722E-01 9.703078866E-01
 1.009999990E+00 -1.653277576E-01 9.695487022E-01
 1.009999990E+00 -1.597376317E-01 9.687868953E-01
 1.009999990E+00 -1.543369889E-01 9.680228829E-01
 1.009999990E+00 -1.491193026E-01 9.672569036E-01
 1.009999990E+00 -1.440783441E-01 9.664892554E-01
 1.009999990E+00 -1.392080635E-01 9.657201767E-01
 1.009999990E+00 -1.345026344E-01 9.649500847E-01
 1.009999990E+00 -1.299564689E-01 9.641790986E-01
 1.009999990E+00 -1.255641431E-01 9.634077549E-01
 1.009999990E+00 -1.213204339E-01 9.626357555E-01
 1.009999990E+00 -1.172202975E-01 9.618644714E-01
 1.009999990E+00 -1.132588461E-01 9.610943198E-01
 1.009999990E+00 -1.094313934E-01 9.603216052E-01
 1.009999990E+00 -1.057334840E-01 9.595504403E-01
 1.009999990E+00 -1.021610349E-01 9.587802887E-01
 1.009999990E+00 -9.870979190E-02 9.580103159E-01
 1.009999990E+00 -9.537564218E-02 9.572417140E-01
 1.009999990E+00 -9.215459973E-02 9.564747214E-01
 1.009999990E+00 -8.904282004E-02 9.557093978E-01
 1.009999990E+00 -8.603659272E-02 9.549456835E-01
 1.009999990E+00 -8.313232660E-02 9.541839957E-01
 1.009999990E+00 -8.032655716E-02 9.534242749E-01
 1.009999990E+00 -7.761594653E-02 9.526665211E-01
 1.009999990E+00 -7.499725372E-02 9.519110322E-01
 1.009999990E+00 -7.246736437E-02 9.511576891E-01
 1.009999990E+00 -7.002326101E-02 9.504066706E-01
 1.009999990E+00 -6.766202301E-02 9.496582747E-01
 1.009999990E+00 -6.538084894E-02 9.489123225E-01
 1.009999990E+00 -6.317700446E-02 9.481692910E-01
 1.009999990E+00 -6.104788184E-02 9.474290609E-01
 1.009999990E+00 -5.899093673E-02 9.466916919E-01
 1.009999990E+00 -5.700372905E-02 9.459574223E-01
 1.009999990E+00 -5.508388579E-02 9.452261329E-01
 1.009999990E+00 -5.322912708E-02 9.444983006E-01
 1.009999990E+00 -5.143724382E-02 9.437736273E-01
 1.009999990E+00 -4.970610887E-02 9.430523515E-01
 1.009999990E+00 -4.803365469E-02 9.423345923E-01
 1.009999990E+00 -4.641790316E-02 9.416204691E-01
 1.009999990E+00 -4.485693574E-02 9.409099817E-01
 1.009999990E+00 -4.334890097E-02 9.402033687E-01
 1.009999990E+00 -4.189200699E-02 9.395007491E-01
 1.009999990E+00 -4.048452526E-02 9.388020039E-01
 1.009999990E+00 -3.912478313E-02 9.381076694E-01
 1.009999990E+00 -3.781116754E-02 9.374173284E-01
 1.009999990E+00 -3.654212132E-02 9.367316365E-01
 1.009999990E+00 -3.531615436E-02 9.360501170E-01
 1.009999990E+00 -3.413181379E-02 9.353736043E-01
 1.009999990E+00 -3.298769146E-02 9.347015619E-01
 1.009999990E+00 -3.188243136E-02 9.340345860E-01
 1.009999990E+00 -3.081471846E-02 9.333721995E-01
 1.009999990E+00 -2.978328243E-02 9.327152967E-01
 1.009999990E+00 -2.878691442E-02 9.320657253E-01
 1.009999990E+00 -2.782441489E-02 9.314233661E-01
 1.009999990E+00 -2.689462155E-02 9.307463765E-01
 1.009999990E+00 -2.599640377E-02 9.298784137E-01
 1.009999990E+00 -2.512866817E-02 9.285436273E-01
 1.009999990E+00 -2.429035865E-02 9.264625311E-01
 1.009999990E+00 -2.348043397E-02 9.234976172E-01
 1.009999990E+00 -2.269789018E-02 9.196391702E-01
 1.009999990E+00 -2.194175869E-02 9.149764180E-01
 1.009999990E+00 -2.121111006E-02 9.096199274E-01
 1.009999990E+00 -2.050504647E-02 9.036827683E-01
 1.009999990E+00 -1.982271671E-02 8.972755075E-01
 1.009999990E+00 -1.916330121E-02 8.904821277E-01
 1.009999990E+00 -1.852601953E-02 8.833881617E-01
 1.009999990E+00 -1.791011542E-02 8.760618567E-01
 1.009999990E+00 -1.731486619E-02 8.685574532E-01
