# CFD data extracted (using Tecplot) by interpolating from original grid onto fixed set of points
# SST model
VARIABLES = "X","Y","u/Uref"
ZONE T="CFL3D, x=1.01"
 1.009999990E+00 -5.159932971E-01 9.910335541E-01
 1.009999990E+00 -4.984593987E-01 9.906155467E-01
 1.009999990E+00 -4.815229774E-01 9.901797175E-01
 1.009999990E+00 -4.651636481E-01 9.897262454E-01
 1.009999990E+00 -4.493618011E-01 9.892553687E-01
 1.009999990E+00 -4.340984523E-01 9.887673855E-01
 1.009999990E+00 -4.193552732E-01 9.882627130E-01
 1.009999990E+00 -4.051145911E-01 9.877418876E-01
 1.009999990E+00 -3.913592696E-01 9.872055054E-01
 1.009999990E+00 -3.780727983E-01 9.866538644E-01
 1.009999990E+00 -3.652392030E-01 9.860876203E-01
 1.009999990E+00 -3.528430760E-01 9.855073690E-01
 1.009999990E+00 -3.408695161E-01 9.849137068E-01
 1.009999990E+00 -3.293041289E-01 9.843071103E-01
 1.009999990E+00 -3.181329966E-01 9.836882949E-01
 1.009999990E+00 -3.073426485E-01 9.830578566E-01
 1.009999990E+00 -2.969201505E-01 9.824164510E-01
 1.009999990E+00 -2.868529260E-01 9.817644954E-01
 1.009999990E+00 -2.771288455E-01 9.811027050E-01
 1.009999990E+00 -2.677361369E-01 9.804316163E-01
 1.009999990E+00 -2.586635351E-01 9.797518849E-01
 1.009999990E+00 -2.499000579E-01 9.790641069E-01
 1.009999990E+00 -2.414351106E-01 9.783686399E-01
 1.009999990E+00 -2.332584411E-01 9.776661992E-01
 1.009999990E+00 -2.253601849E-01 9.769572020E-01
 1.009999990E+00 -2.177307606E-01 9.762421846E-01
 1.009999990E+00 -2.103609294E-01 9.755216241E-01
 1.009999990E+00 -2.032417506E-01 9.747960567E-01
 1.009999990E+00 -1.963646263E-01 9.740657210E-01
 1.009999990E+00 -1.897211969E-01 9.733313322E-01
 1.009999990E+00 -1.833034307E-01 9.725931287E-01
 1.009999990E+00 -1.771035492E-01 9.718515277E-01
 1.009999990E+00 -1.711140722E-01 9.711069465E-01
 1.009999990E+00 -1.653277576E-01 9.703596830E-01
 1.009999990E+00 -1.597376317E-01 9.696100354E-01
 1.009999990E+00 -1.543369889E-01 9.688585401E-01
 1.009999990E+00 -1.491193026E-01 9.681053162E-01
 1.009999990E+00 -1.440783441E-01 9.673507214E-01
 1.009999990E+00 -1.392080635E-01 9.665951133E-01
 1.009999990E+00 -1.345026344E-01 9.658386111E-01
 1.009999990E+00 -1.299564689E-01 9.650816917E-01
 1.009999990E+00 -1.255641431E-01 9.643245935E-01
 1.009999990E+00 -1.213204339E-01 9.635671377E-01
 1.009999990E+00 -1.172202975E-01 9.628108144E-01
 1.009999990E+00 -1.132588461E-01 9.620558023E-01
