# CFD data extracted (using Tecplot) by interpolating from original grid onto fixed set of points
# SST model
VARIABLES = "X","Y","uv/Uref^2"
ZONE T="CFL3D, x=1.01"
 1.009999990E+00 -5.159932971E-01 2.377662511E-10
 1.009999990E+00 -4.984593987E-01 2.573297131E-10
 1.009999990E+00 -4.815229774E-01 2.779833586E-10
 1.009999990E+00 -4.651636481E-01 2.997148918E-10
 1.009999990E+00 -4.493618011E-01 3.225123779E-10
 1.009999990E+00 -4.340984523E-01 3.463868636E-10
 1.009999990E+00 -4.193552732E-01 3.713614971E-10
 1.009999990E+00 -4.051145911E-01 3.974658658E-10
 1.009999990E+00 -3.913592696E-01 4.247328322E-10
 1.009999990E+00 -3.780727983E-01 4.531958975E-10
 1.009999990E+00 -3.652392030E-01 4.828959455E-10
 1.009999990E+00 -3.528430760E-01 5.138783288E-10
 1.009999990E+00 -3.408695161E-01 5.461874286E-10
 1.009999990E+00 -3.293041289E-01 5.798836966E-10
 1.009999990E+00 -3.181329966E-01 6.150300269E-10
 1.009999990E+00 -3.073426485E-01 6.516941431E-10
 1.009999990E+00 -2.969201505E-01 6.899518734E-10
 1.009999990E+00 -2.868529260E-01 7.298836535E-10
 1.009999990E+00 -2.771288455E-01 7.715880157E-10
 1.009999990E+00 -2.677361369E-01 8.151627706E-10
 1.009999990E+00 -2.586635351E-01 8.607179414E-10
 1.009999990E+00 -2.499000579E-01 9.083709340E-10
 1.009999990E+00 -2.414351106E-01 9.582528104E-10
 1.009999990E+00 -2.332584411E-01 1.010511896E-09
 1.009999990E+00 -2.253601849E-01 1.065289967E-09
 1.009999990E+00 -2.177307606E-01 1.122760773E-09
 1.009999990E+00 -2.103609294E-01 1.183105836E-09
 1.009999990E+00 -2.032417506E-01 1.246514891E-09
 1.009999990E+00 -1.963646263E-01 1.313208764E-09
 1.009999990E+00 -1.897211969E-01 1.383420489E-09
 1.009999990E+00 -1.833034307E-01 1.457394094E-09
 1.009999990E+00 -1.771035492E-01 1.535400918E-09
 1.009999990E+00 -1.711140722E-01 1.617642131E-09
 1.009999990E+00 -1.653277576E-01 1.704093422E-09
 1.009999990E+00 -1.597376317E-01 1.794338345E-09
 1.009999990E+00 -1.543369889E-01 1.887378698E-09
 1.009999990E+00 -1.491193026E-01 1.981786291E-09
 1.009999990E+00 -1.440783441E-01 2.076203431E-09
 1.009999990E+00 -1.392080635E-01 2.169088686E-09
 1.009999990E+00 -1.345026344E-01 2.259669563E-09
 1.009999990E+00 -1.299564689E-01 2.348479855E-09
 1.009999990E+00 -1.255641431E-01 2.432495760E-09
 1.009999990E+00 -1.213204339E-01 2.513990571E-09
 1.009999990E+00 -1.172202975E-01 2.597463133E-09
 1.009999990E+00 -1.132588461E-01 0.000000000E+00
 1.009999990E+00 -1.094313934E-01 2.741458838E-09
 1.009999990E+00 -1.057334840E-01 2.812388766E-09
 1.009999990E+00 -1.021610349E-01 2.880793160E-09
 1.009999990E+00 -9.870979190E-02 2.943324029E-09
 1.009999990E+00 -9.537564218E-02 2.999776871E-09
 1.009999990E+00 -9.215459973E-02 3.052134545E-09
 1.009999990E+00 -8.904282004E-02 3.099652757E-09
 1.009999990E+00 -8.603659272E-02 3.141400917E-09
 1.009999990E+00 -8.313232660E-02 3.177618613E-09
 1.009999990E+00 -8.032655716E-02 3.208092458E-09
 1.009999990E+00 -7.761594653E-02 3.232383916E-09
 1.009999990E+00 -7.499725372E-02 3.250254732E-09
 1.009999990E+00 -7.246736437E-02 3.261467985E-09
 1.009999990E+00 -7.002326101E-02 3.265907544E-09
