variables="u","y"
zone,t="x=     0.97008"
   0.747986E+00   0.238401E-02
   0.751109E+00   0.245784E-02
   0.754243E+00   0.253396E-02
   0.757388E+00   0.261244E-02
   0.760544E+00   0.269335E-02
   0.763714E+00   0.277676E-02
   0.766897E+00   0.286276E-02
   0.770095E+00   0.295142E-02
   0.773307E+00   0.304282E-02
   0.776536E+00   0.313706E-02
   0.779783E+00   0.323421E-02
   0.783047E+00   0.333438E-02
   0.786331E+00   0.343764E-02
   0.789635E+00   0.354411E-02
   0.792961E+00   0.365387E-02
   0.796310E+00   0.376703E-02
   0.799683E+00   0.388369E-02
   0.803083E+00   0.400397E-02
   0.806509E+00   0.412797E-02
   0.809964E+00   0.425582E-02
   0.813451E+00   0.438762E-02
   0.816969E+00   0.452350E-02
   0.820522E+00   0.466359E-02
   0.824112E+00   0.480803E-02
   0.827740E+00   0.495693E-02
   0.831409E+00   0.511044E-02
   0.835122E+00   0.526871E-02
   0.838881E+00   0.543189E-02
   0.842690E+00   0.560011E-02
   0.846550E+00   0.577355E-02
   0.850466E+00   0.595235E-02
   0.854441E+00   0.613669E-02
   0.858479E+00   0.632675E-02
   0.862584E+00   0.652268E-02
   0.866760E+00   0.672469E-02
   0.871013E+00   0.693295E-02
   0.875347E+00   0.714766E-02
   0.879768E+00   0.736903E-02
   0.884283E+00   0.759724E-02
   0.888898E+00   0.783253E-02
   0.893620E+00   0.807510E-02
   0.898455E+00   0.832518E-02
   0.903410E+00   0.858301E-02
   0.908489E+00   0.884883E-02
   0.913695E+00   0.912287E-02
   0.919030E+00   0.940540E-02
   0.924491E+00   0.969669E-02
   0.930074E+00   0.999699E-02
   0.935773E+00   0.103066E-01
   0.941581E+00   0.106258E-01
   0.947489E+00   0.109549E-01
   0.953484E+00   0.112941E-01
   0.959551E+00   0.116439E-01
   0.965662E+00   0.120045E-01
   0.971776E+00   0.123763E-01
   0.977839E+00   0.127596E-01
   0.983765E+00   0.131547E-01
   0.989361E+00   0.135621E-01
   0.994122E+00   0.139822E-01
   0.997199E+00   0.144152E-01
   0.998374E+00   0.148616E-01
   0.998545E+00   0.153219E-01
   0.998537E+00   0.157964E-01
   0.998535E+00   0.162856E-01
   0.998535E+00   0.167900E-01
   0.998535E+00   0.173099E-01
   0.998535E+00   0.178460E-01
   0.998535E+00   0.183987E-01
   0.998535E+00   0.189685E-01
   0.998535E+00   0.195560E-01
   0.998534E+00   0.201616E-01
   0.998534E+00   0.207860E-01
   0.998534E+00   0.214297E-01
   0.998534E+00   0.220934E-01
   0.998534E+00   0.227776E-01
   0.998533E+00   0.234831E-01
   0.998533E+00   0.242103E-01
   0.998533E+00   0.249601E-01
   0.998533E+00   0.257331E-01
   0.998533E+00   0.265301E-01
   0.998532E+00   0.273517E-01
   0.998532E+00   0.281988E-01
   0.998532E+00   0.290721E-01
   0.998532E+00   0.299724E-01
   0.998531E+00   0.309007E-01
   0.998531E+00   0.318576E-01
   0.998531E+00   0.328443E-01
   0.998530E+00   0.338614E-01
   0.998530E+00   0.349101E-01
   0.998530E+00   0.359913E-01
   0.998529E+00   0.371059E-01
   0.998529E+00   0.382551E-01
   0.998529E+00   0.394398E-01
   0.998528E+00   0.406613E-01
   0.998528E+00   0.419205E-01
   0.998528E+00   0.432188E-01
   0.998527E+00   0.445573E-01
   0.998527E+00   0.459372E-01
   0.998527E+00   0.473599E-01
   0.998526E+00   0.488266E-01
   0.998525E+00   0.503387E-01
   0.998525E+00   0.518977E-01
   0.998525E+00   0.535049E-01
   0.998524E+00   0.551620E-01
   0.998524E+00   0.568703E-01
   0.998523E+00   0.586316E-01
   0.998523E+00   0.604474E-01
   0.998522E+00   0.623194E-01
   0.998522E+00   0.642494E-01
   0.998521E+00   0.662392E-01
   0.998520E+00   0.682906E-01
   0.998520E+00   0.704056E-01
   0.998519E+00   0.725860E-01
   0.998518E+00   0.748340E-01
   0.998518E+00   0.771516E-01
   0.998517E+00   0.795409E-01
   0.998516E+00   0.820043E-01
   0.998516E+00   0.845439E-01
   0.998515E+00   0.871622E-01
   0.998514E+00   0.898616E-01
