# Nondimensional eddy viscosity at x=0.97, BSL model
VARIABLES = "X","Y","mu_t"
ZONE T="CFL3D"
 9.700000286E-01 2.531248902E-04 1.440497398E+01
 9.700000286E-01 2.609802759E-04 1.496302986E+01
 9.700000286E-01 2.690784459E-04 1.553889847E+01
 9.700000286E-01 2.774269378E-04 1.613309479E+01
 9.700000286E-01 2.860335226E-04 1.674614906E+01
 9.700000286E-01 2.949062036E-04 1.737860107E+01
 9.700000286E-01 3.040532465E-04 1.803101158E+01
 9.700000286E-01 3.134831495E-04 1.870394516E+01
 9.700000286E-01 3.232046729E-04 1.939799309E+01
 9.700000286E-01 3.332268971E-04 2.011375427E+01
 9.700000286E-01 3.435591352E-04 2.085184479E+01
 9.700000286E-01 3.542109625E-04 2.161289597E+01
 9.700000286E-01 3.651923325E-04 2.239755249E+01
 9.700000286E-01 3.765134607E-04 2.320647621E+01
 9.700000286E-01 3.881848534E-04 2.404034805E+01
 9.700000286E-01 4.002173664E-04 2.489986038E+01
 9.700000286E-01 4.126222047E-04 2.578571892E+01
 9.700000286E-01 4.254109226E-04 2.669865417E+01
 9.700000286E-01 4.385953944E-04 2.763940620E+01
 9.700000286E-01 4.521879018E-04 2.860873222E+01
 9.700000286E-01 4.662010761E-04 2.960740852E+01
 9.700000286E-01 4.806479556E-04 3.063622093E+01
 9.700000286E-01 4.955420154E-04 3.169597816E+01
 9.700000286E-01 5.108970799E-04 3.278750229E+01
 9.700000286E-01 5.267274100E-04 3.391162872E+01
 9.700000286E-01 5.430477904E-04 3.506921005E+01
 9.700000286E-01 5.598733551E-04 3.626111221E+01
 9.700000286E-01 5.772197619E-04 3.748822403E+01
 9.700000286E-01 5.951031926E-04 3.875143433E+01
 9.700000286E-01 6.135402364E-04 4.005165863E+01
 9.700000286E-01 6.325480645E-04 4.138982010E+01
 9.700000286E-01 6.521443138E-04 4.276684952E+01
 9.700000286E-01 6.723473198E-04 4.418369675E+01
 9.700000286E-01 6.931758253E-04 4.564131927E+01
 9.700000286E-01 7.146491553E-04 4.714068604E+01
 9.700000286E-01 7.367873332E-04 4.868276978E+01
 9.700000286E-01 7.596109645E-04 5.026855087E+01
 9.700000286E-01 7.831412950E-04 5.189902496E+01
 9.700000286E-01 8.074001526E-04 5.357517624E+01
 9.700000286E-01 8.324101800E-04 5.529800415E+01
 9.700000286E-01 8.581946022E-04 5.706850433E+01
 9.700000286E-01 8.847774006E-04 5.888766479E+01
