variables="log(y+)","u+"
zone,t="x=     0.97008"
   0.265377E+01   0.202220E+02
   0.266701E+01   0.203064E+02
   0.268026E+01   0.203911E+02
   0.269351E+01   0.204761E+02
   0.270675E+01   0.205614E+02
   0.272000E+01   0.206471E+02
   0.273324E+01   0.207332E+02
   0.274649E+01   0.208197E+02
   0.275974E+01   0.209066E+02
   0.277298E+01   0.209940E+02
   0.278623E+01   0.210819E+02
   0.279948E+01   0.211703E+02
   0.281272E+01   0.212593E+02
   0.282597E+01   0.213488E+02
   0.283921E+01   0.214390E+02
   0.285246E+01   0.215298E+02
   0.286571E+01   0.216213E+02
   0.287895E+01   0.217136E+02
   0.289220E+01   0.218066E+02
   0.290544E+01   0.219004E+02
   0.291869E+01   0.219952E+02
   0.293194E+01   0.220908E+02
   0.294518E+01   0.221875E+02
   0.295843E+01   0.222852E+02
   0.297167E+01   0.223839E+02
   0.298492E+01   0.224839E+02
   0.299817E+01   0.225851E+02
   0.301141E+01   0.226876E+02
   0.302466E+01   0.227916E+02
   0.303790E+01   0.228970E+02
   0.305115E+01   0.230040E+02
   0.306439E+01   0.231127E+02
   0.307764E+01   0.232233E+02
   0.309089E+01   0.233357E+02
   0.310413E+01   0.234502E+02
   0.311738E+01   0.235669E+02
   0.313062E+01   0.236859E+02
   0.314387E+01   0.238075E+02
   0.315712E+01   0.239317E+02
   0.317036E+01   0.240588E+02
   0.318361E+01   0.241890E+02
   0.319685E+01   0.243224E+02
   0.321010E+01   0.244591E+02
   0.322335E+01   0.245993E+02
   0.323659E+01   0.247429E+02
   0.324984E+01   0.248900E+02
   0.326308E+01   0.250403E+02
   0.327633E+01   0.251937E+02
   0.328958E+01   0.253501E+02
   0.330282E+01   0.255091E+02
   0.331607E+01   0.256705E+02
   0.332931E+01   0.258339E+02
   0.334256E+01   0.259984E+02
   0.335581E+01   0.261630E+02
   0.336905E+01   0.263263E+02
   0.338230E+01   0.264858E+02
   0.339554E+01   0.266365E+02
   0.340879E+01   0.267646E+02
   0.342203E+01   0.268475E+02
   0.343528E+01   0.268791E+02
   0.344853E+01   0.268837E+02
   0.346177E+01   0.268835E+02
   0.347502E+01   0.268835E+02
   0.348826E+01   0.268835E+02
   0.350151E+01   0.268835E+02
   0.351476E+01   0.268835E+02
   0.352800E+01   0.268834E+02
   0.354125E+01   0.268834E+02
   0.355449E+01   0.268834E+02
   0.356774E+01   0.268834E+02
   0.358099E+01   0.268834E+02
   0.359423E+01   0.268834E+02
   0.360748E+01   0.268834E+02
   0.362072E+01   0.268834E+02
   0.363397E+01   0.268834E+02
   0.364722E+01   0.268834E+02
   0.366046E+01   0.268834E+02
   0.367371E+01   0.268834E+02
   0.368695E+01   0.268834E+02
   0.370020E+01   0.268834E+02
   0.371344E+01   0.268834E+02
   0.372669E+01   0.268834E+02
   0.373994E+01   0.268834E+02
   0.375318E+01   0.268834E+02
   0.376643E+01   0.268833E+02
   0.377967E+01   0.268833E+02
   0.379292E+01   0.268833E+02
   0.380617E+01   0.268833E+02
   0.381941E+01   0.268833E+02
   0.383266E+01   0.268833E+02
   0.384590E+01   0.268833E+02
   0.385915E+01   0.268833E+02
   0.387240E+01   0.268833E+02
   0.388564E+01   0.268833E+02
   0.389889E+01   0.268833E+02
   0.391213E+01   0.268832E+02
   0.392538E+01   0.268832E+02
   0.393862E+01   0.268832E+02
   0.395187E+01   0.268832E+02
   0.396512E+01   0.268832E+02
