TITLE     = "Coleman, Rumsey & Spalart (JFM 2019)"
VARIABLES = "x"
"Cp_wall"
"Ue_tilde_x"
"\\delta*_tilde_x"
"\\theta_tilde_x"
"\\delta995_tilde_x"
"\\delta*_z"
"\\theta_z"
"\\delta995_z"
"Rtheta_x=Uinf*\\theta_tilde_x/\\nu"
"gamma_r_x"
"C_fx=\\tau_wall_x/0.5\\rho Uinf^2"
"C_fz=\\tau_wall_z/0.5\\rho Uinf^2"
ZONE T="Case C35:locally averaged in x (nxc/3;laix200)"
 STRANDID=0, SOLUTIONTIME=0
 I=4333, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE )
 -1.162921906E+001 3.017288400E-003 9.983439445E-001 1.779665053E-002 1.279417612E-002 1.291489601E-001 1.918217354E-002 1.366891898E-002 1.311795563E-001 1.023534058E+003 7.771173492E-003 5.351123400E-003 3.633419983E-003
 -1.162414074E+001 2.976610325E-003 9.983624220E-001 1.781265438E-002 1.280733384E-002 1.293352842E-001 1.919840649E-002 1.368237473E-002 1.313713193E-001 1.024586792E+003 7.758470252E-003 5.349787883E-003 3.632657463E-003
 -1.161906242E+001 2.935772063E-003 9.983839989E-001 1.782917790E-002 1.282090880E-002 1.295233369E-001 1.921474747E-002 1.369590964E-002 1.315642595E-001 1.025672729E+003 7.745805196E-003 5.348416045E-003 3.631882602E-003
 -1.161398411E+001 2.894748934E-003 9.984086752E-001 1.784620062E-002 1.283486933E-002 1.297127903E-001 1.923118159E-002 1.370951626E-002 1.317580640E-001 1.026789551E+003 7.733271457E-003 5.347006954E-003 3.631098662E-003
 -1.160890579E+001 2.853545826E-003 9.984366298E-001 1.786368527E-002 1.284917630E-002 1.299033016E-001 1.924769580E-002 1.372318622E-002 1.319523752E-001 1.027934204E+003 7.720950991E-003 5.345561542E-003 3.630308900E-003
 -1.160382843E+001 2.812196035E-003 9.984675646E-001 1.788157597E-002 1.286378223E-002 1.300944537E-001 1.926427335E-002 1.373690739E-002 1.321467757E-001 1.029102539E+003 7.708911318E-003 5.344081204E-003 3.629516577E-003
 -1.159875011E+001 2.770759631E-003 9.985013008E-001 1.789981499E-002 1.287862845E-002 1.302858591E-001 1.928090304E-002 1.375066582E-002 1.323408782E-001 1.030290283E+003 7.697205059E-003 5.342568271E-003 3.628725186E-003
 -1.159367180E+001 2.729320433E-003 9.985374212E-001 1.791833341E-002 1.289365534E-002 1.304770708E-001 1.929756254E-002 1.376444940E-002 1.325342655E-001 1.031492432E+003 7.685869001E-003 5.341025069E-003 3.627937753E-003
 -1.158859444E+001 2.687982051E-003 9.985755682E-001 1.793705672E-002 1.290879771E-002 1.306676567E-001 1.931424066E-002 1.377824135E-002 1.327265203E-001 1.032703857E+003 7.674923632E-003 5.339456256E-003 3.627156606E-003
 -1.158351612E+001 2.646862995E-003 9.986150861E-001 1.795590483E-002 1.292398944E-002 1.308571994E-001 1.933091879E-002 1.379202679E-002 1.329171658E-001 1.033919312E+003 7.664375473E-003 5.337866489E-003 3.626384540E-003
