# 14x22 Test 662 - Juncture Flow with Symmetric Wing, transition determined from model Cps
#  file created: 
# 
VARIABLES = X,Y,Z
Zone T = "angle of incidence = -2  starboard"
   3142.6    1295.4 16.81637505
   2874.9     869.7 23.55504749
   2767.8     685.8 34.41050101
   2650.7     482.6 46.4856803
Zone T = "angle of incidence = -2  port"
   3160.6   -1295.4 15.19362849
   2884.8    -869.7 22.64800274
   2793.7    -685.8 32.01400354
   2680.8    -482.6 43.75796264
Zone T = "angle of incidence = -1  starboard"
   3095.9    1295.4 20.55211236
   2820.9     869.7 28.01278945
   2714.8     685.8 38.74924512
   2600.3     482.6 50.54176824
Zone T = "angle of incidence = -1  port"
   3111.0   -1295.4 19.42069775
   2831.9    -869.7 27.17318202
   2736.4    -685.8 37.07415288
   2629.1    -482.6 48.303095
Zone T = "angle of incidence = 0  starboard"
   3052.4    1295.4 23.38702374
   2770.9     869.7 31.36859272
   2665.6     685.8 42.04784783
   2552.7     482.6 53.71155153
Zone T = "angle of incidence = 0  port"
   3065.0   -1295.4 22.63194925
   2782.7    -869.7 30.64910779
   2683.4    -685.8 40.94716153
   2579.5    -482.6 52.01741199
Zone T = "angle of incidence = 1  starboard"
   3012.3    1295.4 25.32508602
   2724.8     869.7 33.61864093
   2620.3     685.8 44.25105415
   2507.8     482.6 55.90504066
Zone T = "angle of incidence = 1  port"
   3022.4   -1295.4 24.9124432
   2737.0    -869.7 33.12797142
   2634.5    -685.8 43.66269912
   2532.0    -482.6 54.83263041
Zone T = "angle of incidence = 2  starboard"
   2975.4    1295.4 26.31227659
   2682.6     869.7 34.73178767
   2578.8     685.8 45.34487341
   2465.7     482.6 57.06542615
Zone T = "angle of incidence = 2  port"
   2983.4   -1295.4 26.17415798
   2694.8    -869.7 34.52063811
   2589.9    -685.8 45.15084101
   2486.7    -482.6 56.60603013
Zone T = "angle of incidence = 3  starboard"
   2941.8    1295.4 26.33071257
   2644.3     869.7 34.68551984
   2541.1     685.8 45.39046452
   2426.4     482.6 57.21425223
Zone T = "angle of incidence = 3  port"
   2948.0   -1295.4 26.40357302
   2656.3    -869.7 34.81178394
   2549.4    -685.8 45.46736175
   2443.4    -482.6 57.26984048
Zone T = "angle of incidence = 4  starboard"
   2911.4    1295.4 25.34850116
   2610.0     869.7 33.50558018
   2507.3     685.8 44.4921197
   2389.8     482.6 56.41408441
Zone T = "angle of incidence = 4  port"
   2916.0   -1295.4 25.57233054
   2621.3    -869.7 34.02928113
   2513.2    -685.8 44.72322386
   2402.3    -482.6 56.79880978
Zone T = "angle of incidence = 5  starboard"
   2884.4    1295.4 23.35171093
   2579.6     869.7 31.20755252
   2477.3     685.8 42.71465949
   2356.1     482.6 54.67187257
Zone T = "angle of incidence = 5  port"
   2887.5   -1295.4 23.64815265
   2589.9    -869.7 32.15175833
   2481.1    -685.8 43.00164046
   2363.3    -482.6 55.14268994
Zone T = "angle of incidence = 6  starboard"
   2860.6    1295.4 20.30494261
   2553.1     869.7 27.87153683
   2451.1     685.8 40.15377261
   2325.0     482.6 51.89638759
Zone T = "angle of incidence = 6  port"
   2862.6   -1295.4 20.62376137
   2562.1    -869.7 29.17833744
   2453.3    -685.8 40.41087606
   2326.3    -482.6 52.03898907
Zone T = "angle of incidence = 7  starboard"
   2840.2    1295.4 16.03087768
   2530.6     869.7 23.51240242
   2428.8     685.8 37.03474625
   2296.8     482.6 48.15127502
Zone T = "angle of incidence = 7  port"
   2841.2   -1295.4 16.29385537
   2537.8    -869.7 25.11381291
   2429.7    -685.8 37.18075184
   2291.5    -482.6 47.29473693
Zone T = "angle of incidence = 8  starboard"
   2823.0    1295.4 9.636300844
   2512.0     869.7 18.04835017
   2410.3     685.8 33.56263902
   2271.3     482.6 43.46670314
Zone T = "angle of incidence = 8  port"
   2823.3   -1295.4 9.805342197
   2517.1    -869.7 19.80143501
   2410.2    -685.8 33.54088767
   2258.8    -482.6 40.54653367
