# mean flow u results for BSL model at x=0.75 
VARIABLES = "u" "y-0.05"
ZONE T="CFL3D"
 8.237152696E-01 3.416210529E-04
 8.272364140E-01 3.485985217E-04
 8.307502270E-01 3.557175514E-04
 8.342571259E-01 3.629818675E-04
 8.377571106E-01 3.703951952E-04
 8.412505388E-01 3.779575345E-04
 8.447375894E-01 3.856726107E-04
 8.482182622E-01 3.935478744E-04
 8.516928554E-01 4.015796003E-04
 8.551616073E-01 4.097752389E-04
 8.586245775E-01 4.181385157E-04
 8.620820045E-01 4.266731557E-04
 8.655339479E-01 4.353791592E-04
 8.689805269E-01 4.442639765E-04
 8.724219799E-01 4.533276078E-04
 8.758583665E-01 4.625775036E-04
 8.792898059E-01 4.720136640E-04
 8.827164173E-01 4.816435394E-04
 8.861383200E-01 4.914671299E-04
 8.895555735E-01 5.014918861E-04
 8.929682374E-01 5.117215333E-04
 8.963764906E-01 5.221597967E-04
 8.997803330E-01 5.328104016E-04
 9.031798840E-01 5.436733481E-04
 9.065752029E-01 5.547635374E-04
 9.099661708E-01 5.660772440E-04
 9.133529663E-01 5.776181933E-04
 9.167356491E-01 5.893975613E-04
 9.201140404E-01 6.014153478E-04
 9.234884977E-01 6.136790034E-04
 9.268587828E-01 6.261922535E-04
 9.302248955E-01 6.389588234E-04
 9.335867167E-01 6.519861636E-04
 9.369444847E-01 6.652779994E-04
 9.402979612E-01 6.788380560E-04
 9.436472654E-01 6.926775095E-04
 9.469920993E-01 7.068000850E-04
 9.503326416E-01 7.212057826E-04
 9.536687136E-01 7.359095034E-04
 9.570000172E-01 7.509112475E-04
 9.603268504E-01 7.662147400E-04
 9.636487961E-01 7.818348822E-04
 9.669658542E-01 7.977716741E-04
 9.702778459E-01 8.140288410E-04
 9.735845923E-01 8.306212840E-04
 9.768860340E-01 8.475527284E-04
 9.801819324E-01 8.648268995E-04
 9.834719896E-01 8.824512479E-04
 9.867562056E-01 9.004369495E-04
 9.900342822E-01 9.187877295E-04
 9.933059216E-01 9.375147638E-04
 9.965709448E-01 9.566217777E-04
 9.998291731E-01 9.761162219E-04
 1.003080249E+00 9.960092138E-04
 1.006323814E+00 1.016304595E-03
 1.009559751E+00 1.037017209E-03
