%F0331A Castro 2D curved mixing layer
%J. Fluid Mech. vol. 73, p. 265 (1976)
%Two sets of coordinates are used; offset r, theta coords.
%for highly-curved initial region (theta increasing with
%streamwise distance) and x,y coords. for straighter
%downstream section. 
%
%Part 1 -  Mean flow measurements in curved section
%Part 2 - Turbulence measurements in curved section
%Part 3 Turbulence measurements in straight section
%Part 4 Reference streamline
%
%__________________________________________________
%
%Part 1 - Mean flow measurements in curved section
%For mean U and V in downstream section in x,y coords.
%see Part 3.
%
%Station, theta (deg):
%     0.0
%    r      Utheta/Uref   Ur/Uref
2.3779E-01  3.9097E-01  8.1989E-02
2.3280E-01  2.9396E-01  6.7988E-02
2.2779E-01  2.0499E-01  5.4000E-02
2.2280E-01  1.4195E-01  4.1000E-02
2.1779E-01  1.0494E-01  3.0990E-02
2.1280E-01  6.5984E-02  2.3996E-02
2.0780E-01  5.0943E-02  1.8991E-02
2.0280E-01  3.7000E-02  1.5000E-02
%
%Station, theta (deg):
%     60.00
%    r      Utheta/Uref   Ur/Uref
2.8250E-01  8.2994E-01  1.9499E-01
2.7749E-01  8.5195E-01  1.9799E-01
2.7250E-01  8.6696E-01  2.0100E-01
2.6750E-01  8.7694E-01  2.0299E-01
2.6249E-01  8.8300E-01  2.0400E-01
2.5750E-01  8.6492E-01  2.0299E-01
2.5250E-01  8.2099E-01  1.9600E-01
2.4749E-01  7.5496E-01  1.8398E-01
2.4250E-01  6.6497E-01  1.6500E-01
2.3750E-01  5.6995E-01  1.4298E-01
2.3249E-01  4.7492E-01  1.1799E-01
2.2750E-01  3.8493E-01  9.2996E-02
2.2250E-01  3.0100E-01  6.8988E-02
2.1749E-01  2.2099E-01  4.3994E-02
2.1249E-01  1.5795E-01  2.2991E-02
2.0750E-01  1.1394E-01  5.9994E-03
2.0249E-01  7.8962E-02 -7.4146E-03
1.9749E-01  6.1988E-02 -1.6105E-02
1.9250E-01  4.6975E-02 -2.1906E-02
1.8750E-01  3.0000E-02 -2.5300E-02
%
%Station, theta (deg):
%     70.00
%    r      Utheta/Uref   Ur/Uref
2.7310E-01  9.0798E-01  1.5000E-01
2.6809E-01  9.1298E-01  1.4698E-01
2.6310E-01  9.2500E-01  1.4499E-01
2.5810E-01  9.2093E-01  1.4199E-01
2.5309E-01  9.1594E-01  1.3800E-01
2.4810E-01  8.8199E-01  1.3099E-01
2.4310E-01  8.2899E-01  1.2098E-01
2.3809E-01  7.4694E-01  1.0699E-01
2.3310E-01  6.6397E-01  8.9992E-02
2.2810E-01  5.7295E-01  7.0981E-02
2.2309E-01  4.6999E-01  5.0992E-02
2.1810E-01  3.7897E-01  3.0982E-02
2.1310E-01  2.9998E-01  1.1992E-02
2.0809E-01  2.2293E-01 -6.5200E-03
2.0309E-01  1.6095E-01 -2.3014E-02
1.9810E-01  1.1396E-01 -3.7013E-02
1.9309E-01  6.9930E-02 -4.9014E-02
1.8809E-01  4.1995E-02 -5.8000E-02
1.8310E-01  0.0000E+00 -4.5000E-02
1.7810E-01  1.8500E+00  3.5800E-01
%
%Station, theta (deg):
%     80.00
%    r      Utheta/Uref   Ur/Uref
2.6660E-01  9.7192E-01  4.6000E-02
2.6159E-01  9.7492E-01  4.2998E-02
2.5659E-01  9.8000E-01  4.0995E-02
2.5160E-01  9.6891E-01  3.8998E-02
2.4660E-01  9.4400E-01  3.6995E-02
2.4160E-01  9.0198E-01  3.5997E-02
2.3659E-01  8.2396E-01  3.4998E-02
2.3159E-01  7.3099E-01  3.4000E-02
2.2660E-01  6.4893E-01  3.1997E-02
2.2160E-01  5.5897E-01  3.0998E-02
2.1660E-01  4.5191E-01  2.8995E-02
2.1159E-01  3.6195E-01  2.6000E-02
2.0659E-01  2.9098E-01  2.3997E-02
2.0159E-01  2.1898E-01  2.0995E-02
1.9660E-01  1.6399E-01  1.8000E-02
1.9160E-01  1.2197E-01  1.4998E-02
1.8659E-01  9.0948E-02  1.1997E-02
1.8159E-01  7.7976E-02  7.9968E-03
1.7659E-01  6.5944E-02  2.9984E-03
1.7160E-01  5.4946E-02 -4.0032E-03
1.6660E-01  4.7990E-02 -1.3002E-02
1.6160E-01  4.0000E-02 -1.8000E-02
%
%Station, theta (deg):
%     90.00
%    r      Utheta/Uref   Ur/Uref
2.6560E-01  9.8500E-01 -1.9001E-02
2.6059E-01  9.8500E-01 -2.1000E-02
2.5560E-01  9.7998E-01 -2.2000E-02
2.5060E-01  9.5998E-01 -2.1000E-02
2.4559E-01  9.2994E-01 -1.9001E-02
2.4060E-01  8.7596E-01 -1.5003E-02
2.3560E-01  8.0199E-01 -8.5012E-03
2.3059E-01  7.0999E-01 -2.1004E-03
2.2560E-01  6.2193E-01  4.9976E-03
2.2060E-01  5.4490E-01  1.1197E-02
2.1559E-01  4.2700E-01  1.8194E-02
2.1060E-01  3.4692E-01  2.5897E-02
2.0560E-01  2.7393E-01  3.1995E-02
2.0059E-01  2.1394E-01  3.6993E-02
1.9559E-01  1.6193E-01  4.0992E-02
1.9060E-01  1.1790E-01  4.4998E-02
1.8559E-01  9.1999E-02  4.7997E-02
1.8059E-01  6.2942E-02  5.2995E-02
1.7560E-01  2.9944E-02  6.2000E-02
1.7060E-01  0.0000E+00  5.8993E-02
%___________________________________________________
%
%Part 2 - Turbulence measurements in curved section
%
%Station, theta (deg):
%     0.0
%    r        Utheta2/Uref^2   Ur2/Uref^2     W2/Uref^2    UthetaUr/Uref^2  Ur3/Uref^3 Utheta2Ur/Uref^3 UthetaUr2/Uref^3 Utheta3/Uref^3 UthetaW2/Uref^3
2.6160E-01     6.1760E-04     6.4730E-04     1.6680E-04    -8.5848E-05    -1.4506E-05    -3.6228E-06    -2.4516E-07     2.1522E-06     1.0812E-06
2.5660E-01     2.2088E-03     2.3163E-03     1.1881E-03     3.1262E-04    -1.2614E-04    -8.3009E-05    -7.9686E-05    -1.0436E-04    -4.8788E-05
