VARIABLES = "N","h^2=1/N","h=sqrt(1/N)","C_f"
ZONE T="CFL3D, SA, x=0.6321975"
 9.011200000E+05 1.109729965E-06 1.053440035E-03 5.185177550E-03
 2.252800000E+05 4.438919859E-06 2.106870059E-03 5.185314920E-03
 5.632000000E+04 1.775569945E-05 4.213749897E-03 5.188907497E-03
 1.408000000E+04 7.102270320E-05 8.427499793E-03 5.215337034E-03
 3.520000000E+03 2.840909874E-04 1.685499959E-02 5.336359609E-03
ZONE T="FUN3D, SA, x=0.6321975"
 9.011200000E+05 1.109729965E-06 1.053440035E-03 5.186886527E-03
 2.252800000E+05 4.438919859E-06 2.106870059E-03 5.188544746E-03
 5.632000000E+04 1.775569945E-05 4.213749897E-03 5.190612748E-03
 1.408000000E+04 7.102270320E-05 8.427499793E-03 5.171467550E-03
 3.520000000E+03 2.840909874E-04 1.685499959E-02 4.969461355E-03
ZONE T="TAU, SA, x=0.6321975"
 9.011200000E+05 1.109729965E-06 1.053440035E-03 5.183009896E-03
 2.252800000E+05 4.438919859E-06 2.106870059E-03 5.176470149E-03
 5.632000000E+04 1.775569945E-05 4.213749897E-03 5.180319771E-03
 1.408000000E+04 7.102270320E-05 8.427499793E-03 5.232989788E-03
 3.520000000E+03 2.840909874E-04 1.685499959E-02 5.371579900E-03
ZONE T="CFL3D, SA-RC-QCR2000, x=0.6321975"
901120.  1.10973e-6  1.05344e-3  0.526833488E-02
225280.  4.43892e-6  2.10687e-3  0.526735699E-02
 56320.  1.77557e-5  4.21375e-3  0.526923500E-02
 14080.  7.10227e-5  8.42750e-3  0.529377023E-02
  3520.  2.84091e-4  1.68550e-2  0.542293675E-02
ZONE T="FUN3D, SA-RC-QCR2000, x=0.6321975"
 9.011200000E+05 1.109729965E-06 1.053440035E-03 5.269188434E-03
 2.252800000E+05 4.438919859E-06 2.106870059E-03 5.268945824E-03
 5.632000000E+04 1.775569945E-05 4.213749897E-03 5.265690386E-03
 1.408000000E+04 7.102270320E-05 8.427499793E-03 5.233122502E-03
 3.520000000E+03 2.840909874E-04 1.685499959E-02 4.997391719E-03
ZONE T="TAU, SA-RC-QCR2000, x=0.6321975"
 9.011200000E+05 1.109729965E-06 1.053440035E-03 5.265539978E-03
 2.252800000E+05 4.438919859E-06 2.106870059E-03 5.257550161E-03
 5.632000000E+04 1.775569945E-05 4.213749897E-03 5.257709883E-03
 1.408000000E+04 7.102270320E-05 8.427499793E-03 5.297650117E-03
 3.520000000E+03 2.840909874E-04 1.685499959E-02 5.388650112E-03
