#SSG/LRR-RM-w2012
VARIABLES = "x","y","k_nondim","omega_nondim"
ZONE T="CFL3D, x=29.2468"
 2.924682617E+01 4.601102769E-01 1.708192867E-03 3.765797828E-06
 2.924682617E+01 4.657664299E-01 1.711783349E-03 3.766494956E-06
 2.924682617E+01 4.714201987E-01 1.715187915E-03 3.767087264E-06
 2.924682617E+01 4.770715535E-01 1.718407730E-03 3.767574526E-06
 2.924682617E+01 4.827202857E-01 1.721444889E-03 3.767956741E-06
 2.924682617E+01 4.883664250E-01 1.724295435E-03 3.768236638E-06
 2.924682617E+01 4.940097332E-01 1.726959134E-03 3.768416263E-06
 2.924682617E+01 4.996501803E-01 1.729437965E-03 3.768498573E-06
 2.924682617E+01 5.052877665E-01 1.731730648E-03 3.768485840E-06
 2.924682617E+01 5.109221935E-01 1.733837533E-03 3.768375564E-06
 2.924682617E+01 5.165535212E-01 1.735758036E-03 3.768172746E-06
 2.924682617E+01 5.221816301E-01 1.737492508E-03 3.767879889E-06
 2.924682617E+01 5.278064013E-01 1.739042113E-03 3.767494718E-06
 2.924682617E+01 5.334277749E-01 1.740406617E-03 3.767019507E-06
 2.924682617E+01 5.390456915E-01 1.741586369E-03 3.766459031E-06
 2.924682617E+01 5.446600318E-01 1.742581720E-03 3.765813744E-06
 2.924682617E+01 5.502706766E-01 1.743393950E-03 3.765083420E-06
 2.924682617E+01 5.558776855E-01 1.744021778E-03 3.764273060E-06
 2.924682617E+01 5.614808202E-01 1.744467998E-03 3.763382892E-06
 2.924682617E+01 5.670800805E-01 1.744734589E-03 3.762414963E-06
 2.924682617E+01 5.726754069E-01 1.744818757E-03 3.761369726E-06
 2.924682617E+01 5.782667398E-01 1.744723646E-03 3.760246727E-06
 2.924682617E+01 5.838539600E-01 1.744449604E-03 3.759051651E-06
 2.924682617E+01 5.894370079E-01 1.743997913E-03 3.757786089E-06
 2.924682617E+01 5.950158238E-01 1.743370551E-03 3.756450724E-06
 2.924682617E+01 6.005902886E-01 1.742566470E-03 3.755045554E-06
 2.924682617E+01 6.061604023E-01 1.741587534E-03 3.753575129E-06
 2.924682617E+01 6.117261052E-01 1.740436535E-03 3.752039675E-06
 2.924682617E+01 6.172873378E-01 1.739113941E-03 3.750436917E-06
