VARIABLES = "y","uuprime_nok","wwprime_nok","vvprime_nok"
ZONE T="CFL3D, SA-QCR2000"
 9.926789062E-05 6.489504012E-04 5.139631082E-11 -6.489504594E-04
 1.023831865E-04 6.583292270E-04 6.044491296E-11 -6.583292852E-04
 1.055937319E-04 6.670311559E-04 6.959324089E-11 -6.670312141E-04
 1.089025172E-04 6.750996108E-04 7.882669517E-11 -6.750997272E-04
 1.123126131E-04 6.825778983E-04 8.814914076E-11 -6.825780147E-04
 1.158271916E-04 6.895080442E-04 9.757946534E-11 -6.895081606E-04
 1.194495271E-04 6.959306193E-04 1.071470274E-10 -6.959307357E-04
 1.231829810E-04 7.018845645E-04 1.168875413E-10 -7.018846809E-04
 1.270310458E-04 7.074065506E-04 1.268406630E-10 -7.074066671E-04
 1.309972722E-04 7.125311531E-04 1.370482061E-10 -7.125312695E-04
 1.350853854E-04 7.172907353E-04 1.475522343E-10 -7.172909100E-04
 1.392991544E-04 7.217152743E-04 1.583928544E-10 -7.217154489E-04
 1.436425227E-04 7.258326514E-04 1.696083413E-10 -7.258328260E-04
 1.481195213E-04 7.296684780E-04 1.812348743E-10 -7.296686526E-04
 1.527343265E-04 7.332462701E-04 1.933064542E-10 -7.332465029E-04
 1.574912167E-04 7.365876809E-04 2.058544168E-10 -7.365879137E-04
 1.623946155E-04 7.397123845E-04 2.189078779E-10 -7.397126174E-04
 1.674490923E-04 7.426383672E-04 2.324946624E-10 -7.426386001E-04
 1.726593473E-04 7.453819853E-04 2.466413740E-10 -7.453822182E-04
 1.780302409E-04 7.479581982E-04 2.613735339E-10 -7.479584310E-04
 1.835667499E-04 7.503803936E-04 2.767159002E-10 -7.503806846E-04
 1.892740256E-04 7.526609115E-04 2.926933695E-10 -7.526612026E-04
 1.951573940E-04 7.548107533E-04 3.093310885E-10 -7.548111025E-04
 2.012223267E-04 7.568400470E-04 3.266545645E-10 -7.568403962E-04
 2.074744407E-04 7.587578730E-04 3.446899988E-10 -7.587582222E-04
 2.139195858E-04 7.605723222E-04 3.634646195E-10 -7.605727296E-04
 2.205637284E-04 7.622909616E-04 3.830069317E-10 -7.622913690E-04
 2.274130820E-04 7.639204268E-04 4.033468282E-10 -7.639208343E-04
 2.344739914E-04 7.654668298E-04 4.245153951E-10 -7.654672372E-04
 2.417530341E-04 7.669355255E-04 4.465455783E-10 -7.669359911E-04
 2.492569620E-04 7.683315780E-04 4.694719613E-10 -7.683321019E-04
 2.569928183E-04 7.696595276E-04 4.933310982E-10 -7.696599932E-04
 2.649677335E-04 7.709232741E-04 5.181610696E-10 -7.709237980E-04
 2.731891291E-04 7.721266011E-04 5.440021766E-10 -7.721271249E-04
 2.816647175E-04 7.732727681E-04 5.708969408E-10 -7.732733502E-04
 2.904023277E-04 7.743648021E-04 5.988894936E-10 -7.743653841E-04
 2.994100796E-04 7.754053804E-04 6.280264642E-10 -7.754060207E-04
 3.086963843E-04 7.763970061E-04 6.583567580E-10 -7.763977046E-04
 3.182698856E-04 7.773419493E-04 6.899315008E-10 -7.773426478E-04
 3.281394893E-04 7.782421890E-04 7.228040388E-10 -7.782429457E-04
 3.383143339E-04 7.790995878E-04 7.570303273E-10 -7.791003445E-04
 3.488039365E-04 7.799157174E-04 7.926692080E-10 -7.799165323E-04
 3.596180177E-04 7.806922076E-04 8.297812992E-10 -7.806930225E-04
 3.707666765E-04 7.814303390E-04 8.684303832E-10 -7.814312121E-04
 3.822602448E-04 7.821313338E-04 9.086830732E-10 -7.821322652E-04
 3.941094328E-04 7.827963564E-04 9.506090359E-10 -7.827973459E-04
 4.063252709E-04 7.834264543E-04 9.942805468E-10 -7.834274438E-04
 4.189191386E-04 7.840224425E-04 1.039773156E-09 -7.840234903E-04
 4.319027066E-04 7.845851942E-04 1.087165358E-09 -7.845862419E-04
 4.452880821E-04 7.851154078E-04 1.136539640E-09 -7.851165137E-04
 4.590877215E-04 7.856137236E-04 1.187981158E-09 -7.856148877E-04
 4.733144306E-04 7.860807236E-04 1.241578951E-09 -7.860819460E-04
 4.879814805E-04 7.865169318E-04 1.297425611E-09 -7.865182706E-04
 5.031024921E-04 7.869228139E-04 1.355617951E-09 -7.869242108E-04
 5.186916096E-04 7.872987189E-04 1.416257112E-09 -7.873001159E-04
 5.347632105E-04 7.876449381E-04 1.479447009E-09 -7.876464515E-04
 5.513323122E-04 7.879617624E-04 1.545297001E-09 -7.879633340E-04
 5.684143398E-04 7.882494247E-04 1.613920775E-09 -7.882510545E-04
 5.860251840E-04 7.885080413E-04 1.685436346E-09 -7.885096711E-04
 6.041811430E-04 7.887376705E-04 1.759966284E-09 -7.887394167E-04
 6.228992715E-04 7.889384287E-04 1.837639152E-09 -7.889402914E-04
 6.421967992E-04 7.891103160E-04 1.918587511E-09 -7.891122368E-04
 6.620918284E-04 7.892532158E-04 2.002950250E-09 -7.892552530E-04
 6.826028111E-04 7.893671282E-04 2.090870810E-09 -7.893692236E-04
 7.037487812E-04 7.894518203E-04 2.182498848E-09 -7.894540322E-04
 7.255495293E-04 7.895071176E-04 2.277990907E-09 -7.895094459E-04
 7.480251952E-04 7.895328454E-04 2.377507524E-09 -7.895352319E-04
 7.711967919E-04 7.895285962E-04 2.481217232E-09 -7.895310991E-04
 7.950857980E-04 7.894940791E-04 2.589294557E-09 -7.894966402E-04
 8.197145071E-04 7.894288283E-04 2.701920909E-09 -7.894315640E-04
 8.451058529E-04 7.893324946E-04 2.819284806E-09 -7.893352886E-04
 8.712833514E-04 7.892044378E-04 2.941581423E-09 -7.892074063E-04
 8.982714498E-04 7.890441339E-04 3.069013710E-09 -7.890472189E-04
 9.260951774E-04 7.888510008E-04 3.201792165E-09 -7.888542023E-04
 9.547804948E-04 7.886242820E-04 3.340135057E-09 -7.886276580E-04
 9.843540611E-04 7.883632788E-04 3.484268873E-09 -7.883667131E-04
 1.014843350E-03 7.880670601E-04 3.634427648E-09 -7.880706689E-04
 1.046276768E-03 7.877348107E-04 3.790854297E-09 -7.877385942E-04
 1.078683534E-03 7.873655413E-04 3.953800842E-09 -7.873694412E-04
 1.112093800E-03 7.869582041E-04 4.123527741E-09 -7.869623369E-04
 1.146538649E-03 7.865116349E-04 4.300304113E-09 -7.865159423E-04
 1.182050211E-03 7.860247279E-04 4.484408844E-09 -7.860292098E-04
 1.218661433E-03 7.854960859E-04 4.676129262E-09 -7.855008007E-04
 1.256406307E-03 7.849243702E-04 4.875762905E-09 -7.849292597E-04
 1.295320108E-03 7.843081257E-04 5.083617083E-09 -7.843131898E-04
 1.335438923E-03 7.836456643E-04 5.300007988E-09 -7.836509612E-04
 1.376800123E-03 7.829354145E-04 5.525261582E-09 -7.829409442E-04
 1.419442124E-03 7.821754552E-04 5.759714483E-09 -7.821812178E-04
 1.463404740E-03 7.813639822E-04 6.003712638E-09 -7.813699776E-04
 1.508728717E-03 7.804988418E-04 6.257610874E-09 -7.805051282E-04
 1.555456314E-03 7.795779966E-04 6.521776008E-09 -7.795845158E-04
 1.603630953E-03 7.785990019E-04 6.796581076E-09 -7.786058122E-04
 1.653297455E-03 7.775595295E-04 7.082410658E-09 -7.775665727E-04
 1.704502036E-03 7.764568436E-04 7.379657330E-09 -7.764642360E-04
 1.757292310E-03 7.752882666E-04 7.688723436E-09 -7.752959500E-04
 1.811717520E-03 7.740508299E-04 8.010019314E-09 -7.740588626E-04
 1.867828076E-03 7.727414486E-04 8.343961078E-09 -7.727498305E-04
 1.925676246E-03 7.713568048E-04 8.690973274E-09 -7.713655359E-04
 1.985315932E-03 7.698934642E-04 9.051486671E-09 -7.699025446E-04
 2.046802780E-03 7.683476433E-04 9.425939140E-09 -7.683570730E-04
 2.110193484E-03 7.667155005E-04 9.814765889E-09 -7.667252794E-04
 2.175547648E-03 7.649928448E-04 1.021841367E-08 -7.650030311E-04
 2.242925344E-03 7.631752524E-04 1.063732302E-08 -7.631859044E-04
 2.312389901E-03 7.612581830E-04 1.107193981E-08 -7.612692425E-04
 2.384005813E-03 7.592366310E-04 1.152270368E-08 -7.592481561E-04
 2.457839437E-03 7.571054739E-04 1.199004984E-08 -7.571174647E-04
 2.533959458E-03 7.548591821E-04 1.247440640E-08 -7.548716967E-04
 2.612437122E-03 7.524919929E-04 1.297619523E-08 -7.525049732E-04
 2.693345072E-03 7.499977364E-04 1.349581691E-08 -7.500112406E-04
 2.776758745E-03 7.473698934E-04 1.403366046E-08 -7.473839796E-04
 2.862755442E-03 7.446017698E-04 1.459008825E-08 -7.446163218E-04
 2.951415488E-03 7.416859735E-04 1.516544224E-08 -7.417011657E-04
 3.042821307E-03 7.386149955E-04 1.576002617E-08 -7.386307698E-04
 3.137057880E-03 7.353807450E-04 1.637411096E-08 -7.353971014E-04
 3.234212985E-03 7.319747237E-04 1.700792218E-08 -7.319917204E-04
 3.334376728E-03 7.283879677E-04 1.766162683E-08 -7.284056628E-04
 3.437642707E-03 7.246111054E-04 1.833533858E-08 -7.246294408E-04
 3.544106614E-03 7.206341252E-04 1.902909474E-08 -7.206531591E-04
 3.653867636E-03 7.164465496E-04 1.974285802E-08 -7.164662820E-04
 3.767027752E-03 7.120373775E-04 2.047649339E-08 -7.120578666E-04
 3.883692669E-03 7.073949673E-04 2.122976639E-08 -7.074161549E-04
 4.003970418E-03 7.025070372E-04 2.200231641E-08 -7.025290979E-04
 4.127973225E-03 6.973608979E-04 2.279365319E-08 -6.973836571E-04
 4.255816340E-03 6.919429288E-04 2.360313012E-08 -6.919665029E-04
 4.387618508E-03 6.862389855E-04 2.442992653E-08 -6.862633745E-04
 4.523502663E-03 6.802342250E-04 2.527303167E-08 -6.802594871E-04
 4.663594998E-03 6.739131059E-04 2.613121985E-08 -6.739392411E-04
 4.808025900E-03 6.672593299E-04 2.700301849E-08 -6.672863383E-04
 4.956929944E-03 6.602559006E-04 2.788668496E-08 -6.602837821E-04
 5.110444967E-03 6.528850063E-04 2.878017469E-08 -6.529137609E-04
 5.268714856E-03 6.451280788E-04 2.968111801E-08 -6.451577065E-04
 5.431886297E-03 6.369658513E-04 3.058675802E-08 -6.369964103E-04
 5.600110628E-03 6.283784169E-04 3.149393635E-08 -6.284099072E-04
 5.773545243E-03 6.193449371E-04 3.239904345E-08 -6.193773588E-04
 5.952350795E-03 6.098441081E-04 3.329796527E-08 -6.098774029E-04
 6.136693992E-03 5.998538109E-04 3.418604777E-08 -5.998879788E-04
 6.326746196E-03 5.893514608E-04 3.505802937E-08 -5.893865018E-04
 6.522683892E-03 5.783140077E-04 3.590800546E-08 -5.783499219E-04
 6.724690087E-03 5.667179357E-04 3.672935378E-08 -5.667546648E-04
 6.932952441E-03 5.545396707E-04 3.751468824E-08 -5.545771564E-04
 7.147664204E-03 5.417554639E-04 3.825579853E-08 -5.417937064E-04
 7.369025610E-03 5.283417413E-04 3.894358613E-08 -5.283806822E-04
 7.597242948E-03 5.142755690E-04 3.956801109E-08 -5.143151502E-04
 7.832527161E-03 4.995347117E-04 4.011804577E-08 -4.995748168E-04
 8.075099438E-03 4.840980982E-04 4.058162872E-08 -4.841386690E-04
 8.325182833E-03 4.679466365E-04 4.094562200E-08 -4.679875856E-04
 8.583012037E-03 4.510633880E-04 4.119583252E-08 -4.511045991E-04
 8.848825470E-03 4.334347323E-04 4.131697295E-08 -4.334760597E-04
 9.122870862E-03 4.150510067E-04 4.129276476E-08 -4.150923050E-04
 9.405404329E-03 3.959076130E-04 4.110597374E-08 -3.959487076E-04
 9.696686640E-03 3.760066465E-04 4.073863735E-08 -3.760473919E-04
 9.996990673E-03 3.553580027E-04 4.017222821E-08 -3.553981951E-04
 1.030659489E-02 3.339817049E-04 3.938804127E-08 -3.340210824E-04
 1.062578708E-02 3.119099420E-04 3.836779783E-08 -3.119483008E-04
 1.095486525E-02 2.891897457E-04 3.709392615E-08 -2.892268240E-04
 1.129413396E-02 2.658865124E-04 3.555142314E-08 -2.659220772E-04
 1.164390985E-02 2.420874371E-04 3.372738888E-08 -2.421211684E-04
 1.200451888E-02 2.179062139E-04 3.161546758E-08 -2.179378207E-04
 1.237629540E-02 1.934885804E-04 2.921425590E-08 -1.935178007E-04
 1.275958586E-02 1.690181525E-04 2.653438180E-08 -1.690446952E-04
 1.315474603E-02 1.447239192E-04 2.360031637E-08 -1.447475224E-04
 1.356214564E-02 1.208873582E-04 2.044966330E-08 -1.209078109E-04
 1.398216095E-02 9.785212751E-05 1.716262155E-08 -9.786929149E-05
 1.441518404E-02 7.603129052E-05 1.381948156E-08 -7.604511484E-05
 1.486161817E-02 5.591232912E-05 1.059009502E-08 -5.592291927E-05
 1.532187872E-02 3.806463064E-05 7.681793868E-09 -3.807231042E-05
 1.579639316E-02 2.310884338E-05 5.267282166E-09 -2.311411117E-05
 1.628560200E-02 1.169054940E-05 3.850421315E-09 -1.169439929E-05
 1.678996161E-02 4.366511803E-06 3.098571844E-09 -4.369609997E-06
 1.730994321E-02 9.693185348E-07 1.743145961E-09 -9.710616951E-07
 1.784602553E-02 7.816809244E-08 4.036097567E-10 -7.857171624E-08
 1.839871332E-02 7.985153649E-10 1.923928204E-11 -8.177552524E-10
 1.896851510E-02 -1.201053146E-10 2.829341796E-12 1.172758973E-10
 1.955596358E-02 -1.181462705E-10 1.915993189E-12 1.162302338E-10
 2.016160637E-02 -1.181342246E-10 1.740326091E-12 1.163938460E-10
 2.078600600E-02 -1.184864012E-10 1.723880912E-12 1.167624747E-10
 2.142974176E-02 -1.189009308E-10 1.707859331E-12 1.171930192E-10
 2.209341526E-02 -1.193049964E-10 1.702021445E-12 1.176029135E-10
 2.277764119E-02 -1.196858029E-10 1.694398636E-12 1.179913389E-10
 2.348305658E-02 -1.200464728E-10 1.688056053E-12 1.183583648E-10
 2.421032079E-02 -1.203874361E-10 1.681687341E-12 1.187056980E-10
 2.496010624E-02 -1.207097200E-10 1.675767923E-12 1.190339077E-10
 2.573311329E-02 -1.210141570E-10 1.670168452E-12 1.193439375E-10
 2.653006092E-02 -1.213015521E-10 1.664971004E-12 1.196365229E-10
 2.735168859E-02 -1.215726686E-10 1.660180782E-12 1.199124411E-10
 2.819876187E-02 -1.218282558E-10 1.655823482E-12 1.201723859E-10
 2.907206863E-02 -1.220690354E-10 1.651912439E-12 1.204170652E-10
 2.997242101E-02 -1.222957013E-10 1.648459039E-12 1.206471867E-10
 3.090065904E-02 -1.225089197E-10 1.645470002E-12 1.208634026E-10
 3.185764328E-02 -1.227093704E-10 1.642947822E-12 1.210663653E-10
 3.284426406E-02 -1.228976781E-10 1.640890982E-12 1.212567269E-10
 3.386143968E-02 -1.230744950E-10 1.639293627E-12 1.214351536E-10
 3.491012007E-02 -1.232404456E-10 1.638146433E-12 1.216022560E-10
 3.599127382E-02 -1.233961544E-10 1.637435955E-12 1.217586726E-10
 3.710591421E-02 -1.235422320E-10 1.637145497E-12 1.219050277E-10
 3.825507313E-02 -1.236792613E-10 1.637254893E-12 1.220419599E-10
 3.943981975E-02 -1.238078529E-10 1.637741375E-12 1.221700657E-10
 4.066125676E-02 -1.239285896E-10 1.638579246E-12 1.222899559E-10
 4.192052409E-02 -1.240420405E-10 1.639740860E-12 1.224022550E-10
 4.321879148E-02 -1.241487746E-10 1.641196619E-12 1.225075319E-10
 4.455726221E-02 -1.242493608E-10 1.642915296E-12 1.226063973E-10
 4.593718797E-02 -1.243443126E-10 1.644865125E-12 1.226994062E-10
 4.735985026E-02 -1.244341852E-10 1.647013472E-12 1.227871277E-10
 4.882656783E-02 -1.245194781E-10 1.649327701E-12 1.228701030E-10
 5.033871159E-02 -1.246006770E-10 1.651775288E-12 1.229488594E-10
 5.189768597E-02 -1.246782400E-10 1.654325006E-12 1.230238689E-10
 5.350494012E-02 -1.247526388E-10 1.656946173E-12 1.230956309E-10
 5.516197160E-02 -1.248242620E-10 1.659610275E-12 1.231646035E-10
 5.687032267E-02 -1.248935261E-10 1.662290206E-12 1.232311891E-10
 5.863158032E-02 -1.249608056E-10 1.664961571E-12 1.232957902E-10
 6.044737995E-02 -1.250264337E-10 1.667602146E-12 1.233587815E-10
 6.231941655E-02 -1.250907156E-10 1.670192196E-12 1.234204822E-10
 6.424943358E-02 -1.251539566E-10 1.672715135E-12 1.234811975E-10
 6.623921543E-02 -1.252164067E-10 1.675157083E-12 1.235412050E-10
 6.829062104E-02 -1.252782739E-10 1.677506766E-12 1.236007130E-10
 7.040556520E-02 -1.253397663E-10 1.679755944E-12 1.236599573E-10
 7.258599997E-02 -1.254010368E-10 1.681899086E-12 1.237190767E-10
 7.483396679E-02 -1.254622239E-10 1.683932941E-12 1.237782377E-10
 7.715155184E-02 -1.255234527E-10 1.685856966E-12 1.238375374E-10
 7.954090834E-02 -1.255847926E-10 1.687672354E-12 1.238970732E-10
 8.200427145E-02 -1.256463267E-10 1.689382033E-12 1.239568864E-10
 8.454391360E-02 -1.257080828E-10 1.690990772E-12 1.240170466E-10
 8.716221154E-02 -1.257700888E-10 1.692504318E-12 1.240775260E-10
 8.986160159E-02 -1.258323445E-10 1.693929285E-12 1.241383663E-10
 9.264458716E-02 -1.258948362E-10 1.695272828E-12 1.241995118E-10
 9.551376104E-02 -1.259575499E-10 1.696542754E-12 1.242609488E-10
 9.847179055E-02 -1.260204163E-10 1.697746436E-12 1.243226216E-10
 1.015214324E-01 -1.260834215E-10 1.698891462E-12 1.243844749E-10
 1.046655178E-01 -1.261464683E-10 1.699984879E-12 1.244464393E-10
 1.079069749E-01 -1.262095012E-10 1.701033303E-12 1.245084175E-10
 1.112488210E-01 -1.262724370E-10 1.702042478E-12 1.245703540E-10
 1.146941632E-01 -1.263351784E-10 1.703017610E-12 1.246321102E-10
 1.182462052E-01 -1.263976146E-10 1.703963251E-12 1.246936027E-10
 1.219082549E-01 -1.264596483E-10 1.704882763E-12 1.247547066E-10
 1.256837100E-01 -1.265211408E-10 1.705778856E-12 1.248153109E-10
 1.295761019E-01 -1.265819810E-10 1.706653699E-12 1.248752768E-10
 1.335890293E-01 -1.266420163E-10 1.707508267E-12 1.249344517E-10
 1.377262473E-01 -1.267010941E-10 1.708343211E-12 1.249926967E-10
 1.419915855E-01 -1.267590616E-10 1.709158206E-12 1.250498455E-10
 1.463890225E-01 -1.268157385E-10 1.709952601E-12 1.251057313E-10
 1.509226412E-01 -1.268709166E-10 1.710725203E-12 1.251601461E-10
 1.555966735E-01 -1.269244293E-10 1.711473953E-12 1.252128956E-10
 1.604154557E-01 -1.269760269E-10 1.712196899E-12 1.252637716E-10
 1.653834581E-01 -1.270254874E-10 1.712891222E-12 1.253125520E-10
