variables="dum1","dum2","dum3","dum4","dum5","dum6","dum7","D,mm","T,degF","P,Pa","dum8","phase,deg"
0.08407	0.47834	4.40251	2.41646	1.71482	0.08407	0.15243	176.04724	84.07	1050.96781	28.92778	220
0.08407	0.55939	4.40267	2.60571	1.68171	0.08407	0.16435	172.74765	84.07	1133.15331	28.92778	225
0.08407	0.66132	4.40273	2.80805	1.61725	0.08407	0.1771	166.31548	84.07	1221.06146	28.92778	230
0.08407	0.76137	4.40268	2.99016	1.5329	0.08407	0.18858	157.88181	84.07	1300.21328	28.92778	235
0.08407	0.86343	4.40302	3.14505	1.43658	0.08407	0.19834	148.22811	84.07	1367.5061	28.92778	240
0.08407	0.98145	4.4028	3.2689	1.31238	0.08407	0.20615	135.74357	84.07	1421.35416	28.92778	245
0.08407	1.09375	4.40273	3.32215	1.18282	0.08407	0.2095	122.67636	84.07	1444.45159	28.92778	250
0.08407	1.21164	4.40298	3.31644	1.03942	0.08407	0.20914	108.16103	84.07	1441.96948	28.92778	255
0.08407	1.33247	4.40252	3.25388	0.88315	0.08407	0.2052	92.28045	84.07	1414.80414	28.92778	260
0.08407	1.45758	4.40304	3.11793	0.71281	0.08407	0.19663	74.89579	84.07	1355.71607	28.92778	265
0.08407	1.57998	4.40315	2.92119	0.54219	0.08407	0.18423	57.40489	84.07	1270.22108	28.92778	270
0.08407	1.70043	4.403	2.66671	0.36534	0.08407	0.1682	39.19332	84.07	1159.69813	28.92778	275
0.08407	1.8234	4.40287	2.33064	0.17503	0.08407	0.14702	19.5024	84.07	1013.66717	28.92778	280
0.08407	1.94273	4.4029	1.95079	-0.01983	0.08407	0.12308	-0.75947	84.07	848.60669	28.92778	285
0.08407	2.05678	4.40299	1.54956	-0.2177	0.08407	0.09779	-21.43805	84.07	674.23829	28.92778	290
0.08407	2.16263	4.4031	1.12664	-0.41554	0.08407	0.07114	-42.21799	84.07	490.49301	28.92778	295
0.08407	2.26766	4.403	0.70745	-0.6275	0.08407	0.04472	-64.59695	84.07	308.33353	28.92778	300
0.08407	2.36938	4.40312	0.28815	-0.84966	0.08407	0.0183	-88.18157	84.07	126.17405	28.92778	305
0.08407	2.46794	4.40295	-0.12389	-1.0873	0.08407	-0.00767	-113.5554	84.07	-52.88279	28.92778	310
0.08407	2.55757	4.40291	-0.49864	-1.33102	0.08407	-0.03128	-139.735	84.07	-215.668	28.92778	315
0.08407	2.6336	4.403	-0.79686	-1.56	0.08407	-0.05008	-164.47576	84.07	-345.28943	28.92778	320
0.08407	2.70052	4.40309	-1.03129	-1.78991	0.08407	-0.06485	-189.45782	84.07	-447.12499	28.92778	325
0.08407	2.76171	4.40319	-1.20283	-2.0294	0.08407	-0.07566	-215.63089	84.07	-521.65731	28.92778	330
0.08407	2.8171	4.40293	-1.31722	-2.28994	0.08407	-0.08287	-244.27834	84.07	-571.36851	28.92778	335
0.08407	2.8597	4.40275	-1.36346	-2.53319	0.08407	-0.08578	-271.18826	84.07	-591.43226	28.92778	340
0.08407	2.89196	4.403	-1.35371	-2.77624	0.08407	-0.08517	-298.23381	84.07	-587.22645	28.92778	345
0.08407	2.9117	4.37532	-1.31299	-2.98554	0.08407	-0.0826	-321.65017	84.07	-569.50693	28.92778	350
0.08407	2.91819	4.24027	-1.27339	-3.07424	0.08407	-0.08011	-331.60916	84.07	-552.33898	28.92778	355
