# PDF of fluctuation velocity in a strained channel at different channel heights
# Normalization is by u_tau(0) (i.e. unstrained channel u_tau)
# STRAIN TIME = 0.365
#
# y = 0.0261,  y+ =  10
#
# u,v,w = normalized fluctuation velocity values
# p(s) = probability density function of s
#
#      u           p(u)           v             p(v)           w            p(w)
 -4.53117E+00   5.22181E-04  -3.08625E+00   8.62389E-05  -4.96665E+00   5.33575E-05
 -4.49352E+00   6.48671E-04  -3.06361E+00   9.11148E-05  -4.93295E+00   6.34382E-05
 -4.45587E+00   7.69950E-04  -3.04097E+00   9.08078E-05  -4.89925E+00   7.04981E-05
 -4.41822E+00   9.60463E-04  -3.01859E+00   1.04911E-04  -4.86581E+00   7.37245E-05
 -4.38057E+00   1.14903E-03  -2.99594E+00   1.11480E-04  -4.83211E+00   7.90827E-05
 -4.34266E+00   1.37996E-03  -2.97330E+00   1.06372E-04  -4.79841E+00   8.07365E-05
 -4.30501E+00   1.68759E-03  -2.95066E+00   1.29141E-04  -4.76471E+00   1.05085E-04
 -4.26736E+00   1.99833E-03  -2.92828E+00   1.44533E-04  -4.73127E+00   1.05238E-04
 -4.22971E+00   2.38029E-03  -2.90564E+00   1.40226E-04  -4.69757E+00   1.04774E-04
 -4.19206E+00   2.79648E-03  -2.88299E+00   1.65355E-04  -4.66387E+00   1.30872E-04
 -4.15441E+00   3.27389E-03  -2.86035E+00   1.78065E-04  -4.63017E+00   1.35447E-04
 -4.11676E+00   3.77635E-03  -2.83797E+00   1.82949E-04  -4.59647E+00   1.63342E-04
 -4.07911E+00   4.33303E-03  -2.81533E+00   1.73534E-04  -4.56303E+00   2.04320E-04
 -4.04119E+00   4.89781E-03  -2.79269E+00   1.85780E-04  -4.52933E+00   2.06977E-04
 -4.00354E+00   5.57966E-03  -2.77004E+00   1.97344E-04  -4.49563E+00   2.23812E-04
 -3.96589E+00   6.35369E-03  -2.74766E+00   2.24855E-04  -4.46193E+00   2.47840E-04
 -3.92824E+00   7.25375E-03  -2.72502E+00   2.80587E-04  -4.42822E+00   2.67715E-04
 -3.89059E+00   8.32573E-03  -2.70238E+00   3.00540E-04  -4.39479E+00   2.79478E-04
 -3.85294E+00   9.38604E-03  -2.68000E+00   2.70453E-04  -4.36109E+00   2.87331E-04
 -3.81529E+00   1.05588E-02  -2.65736E+00   2.93185E-04  -4.32739E+00   3.34910E-04
 -3.77764E+00   1.17533E-02  -2.63471E+00   3.23909E-04  -4.29369E+00   3.69961E-04
 -3.73973E+00   1.29186E-02  -2.61218E+00   3.73118E-04  -4.25998E+00   3.62714E-04
 -3.70208E+00   1.44153E-02  -2.58961E+00   4.32153E-04  -4.22655E+00   3.86948E-04
 -3.66443E+00   1.61015E-02  -2.56702E+00   4.29232E-04  -4.19285E+00   4.42853E-04
