# PDF of fluctuation velocity in a strained channel at different channel heights
# Normalization is by u_tau(0) (i.e. unstrained channel u_tau)
# STRAIN TIME = 0.77
#
# y = 0.0261,  y+ =  10
#
# u,v,w = normalized fluctuation velocity values
# p(s) = probability density function of s
#
#      u           p(u)           v             p(v)           w            p(w)
 -4.47535E+00   0.00000E+00  -4.10938E+00   0.00000E+00  -4.83790E+00   0.00000E+00
 -4.44850E+00   3.66487E-06  -4.08990E+00   3.61024E-06  -4.81157E+00   6.37118E-06
 -4.42164E+00   3.44991E-06  -4.07042E+00   5.49253E-06  -4.78524E+00   6.55692E-06
 -4.39452E+00   2.42625E-06  -4.05093E+00   1.88229E-06  -4.75918E+00   2.30358E-06
 -4.36767E+00   2.68754E-06  -4.03171E+00   0.00000E+00  -4.73285E+00   4.85827E-06
 -4.34081E+00   4.72384E-06  -4.01223E+00   0.00000E+00  -4.70652E+00   7.68360E-06
 -4.31396E+00   4.86247E-06  -3.99275E+00   0.00000E+00  -4.68019E+00   1.05189E-05
 -4.28684E+00   3.83881E-06  -3.97326E+00   0.00000E+00  -4.65413E+00   8.12100E-06
 -4.25998E+00   4.51004E-06  -3.95378E+00   1.76596E-06  -4.62780E+00   5.86717E-06
 -4.23313E+00   5.49733E-06  -3.93430E+00   3.17828E-06  -4.60147E+00   4.44939E-06
 -4.20627E+00   5.49733E-06  -3.91508E+00   3.17828E-06  -4.57514E+00   2.41269E-05
 -4.17916E+00   5.00803E-06  -3.89560E+00   2.34255E-06  -4.54907E+00   2.39140E-05
 -4.15230E+00   1.30965E-05  -3.87611E+00   5.37488E-07  -4.52274E+00   2.52023E-05
 -4.12544E+00   2.48073E-05  -3.85663E+00   1.27740E-06  -4.49642E+00   2.31306E-05
 -4.09859E+00   2.93100E-05  -3.83715E+00   3.09651E-06  -4.47009E+00   2.77879E-05
 -4.07173E+00   2.43895E-05  -3.81766E+00   4.90229E-06  -4.44376E+00   4.15836E-05
