#
# From LES simulations of the flow over a wall-mounted hump
# Published in
#      Avdis A., Lardeau S. & Leschziner M.A. (2009) 
#           Large Eddy Simulation of Separated Flow over a Glauert-Goldschmied 
#           Wall-Mounted Hump with and without Control by Means of a Synthetic Jet
#           Flow, Turbulence And Combustion, 83, 343-370.
# (see also Greenblatt et al, AIAA Journal, vol.44, numb.2 pp.194-207)
# 
# Reference velocity: U_in
# Reference length: C 
# Re_C = U_in C/nu = 935,892
# 
# Other parameters:
#     Domain width z = 0.4 C
#     Hump height h = 0.13 C
#
# Boundary layer parameters upstream of the hump:
#     Momentum-thickness Reynolds number : Re_theta = 6771
#     Boundary-layer thickness : delta = 0.07 C  = 0.55 h
#     Displacement-thickness : delta^*  = 9.4 × 10−3 C = 0.073 h
#
# 
# Data: 
#    Resolution (nx,ny) = (207,23)
#    Domain extent from x = 0.625C to 1.583C
#
#    do i = 1,nx
#    do j = 1,ny
#       read(20,*) x(i,j),y(i,j),U(i,j),V(i,j),W(i,j)&
#                 ,uu(i,j),vv(i,j),ww(i,j)&
#                 ,uv(i,j),uw(i,j),vw(i,j)
#    enddo
#    read(20,*)
#    enddo
# 
#    x/C           y/C           U/U_in        V/U_in        W/U_in        uu/U_in^2     vv/U_in^2     ww/U_in^2     uv/U_in^2     uw/U_in^2     vw/U_in^2
     0.6544158     0.1732956     1.1819700    -0.0917793     0.0001920     0.0020977     0.0013470     0.0012390    -0.0007409     0.0000018     0.0000048
     0.6569510     0.1798384     1.1934889    -0.0882779     0.0000964     0.0016916     0.0010359     0.0009098    -0.0006115    -0.0000183     0.0000064
     0.6593350     0.1869303     1.2045647    -0.0847851     0.0000529     0.0012417     0.0007287     0.0005759    -0.0004575    -0.0000154     0.0000054
     0.6615179     0.1945778     1.2146081    -0.0812194    -0.0000450     0.0007859     0.0004559     0.0003313    -0.0003025    -0.0000044    -0.0000024
     0.6634680     0.2027773     1.2211606    -0.0775013    -0.0000647     0.0004122     0.0002546     0.0001582    -0.0001631    -0.0000013    -0.0000002
     0.6651732     0.2115191     1.2234038    -0.0736347     0.0000477     0.0001877     0.0001315     0.0000667    -0.0000704     0.0000002    -0.0000008
     0.6666385     0.2207920     1.2223872    -0.0696941    -0.0000191     0.0000772     0.0000686     0.0000294    -0.0000235     0.0000016    -0.0000013
     0.6678793     0.2305876     1.2199906    -0.0657921     0.0000174     0.0000375     0.0000409     0.0000136    -0.0000072    -0.0000004     0.0000003
     0.6689141     0.2409036     1.2169092    -0.0619627    -0.0000099     0.0000232     0.0000293     0.0000077    -0.0000038     0.0000000    -0.0000001
     0.6697586     0.2517448     1.2137757    -0.0582332     0.0000006     0.0000185     0.0000235     0.0000049    -0.0000023     0.0000000    -0.0000000
