# Profiles of:
# 	Mean streamwise velocity	U/U_infty
# 	Mean cross-stream velocity	V/U_infty
# 	uu Stress component		uu/(U_infty^2)
# 	vv Stress component		vv/(U_infty^2)
# 	ww Stress component		ww/(U_infty^2)
# 	uv Stress component		uv/(U_infty^2)
# 	vw Stress component		vw/(U_infty^2)
# 	uw Stress component		uw/(U_infty^2)
# 	Turbulence kinetic energy	(uu+vv+ww)/(2*U_infty^2)
#
# From LES simulatations of the flow over a wall-mounted hump
# of A.Avdis, TFMS, Aero., Imperial College London
# (see also Greenblatt et al, AIAA Journal, vol.44, numb.2 pp.194-207)
#
variables="y/C","U/U_infty","V/U_infty","uu/(U_infty^2)","vv/(U_infty^2)","ww/(U_infty^2)","uv/(U_infty^2)","vw/(U_infty^2)","uw/(U_infty^2)","TKE"
zone, t="x/c=0.65"
1.1614585e-01 	2.0478437e-01 	-2.5801886e-02 	5.8894397e-02 	1.9252135e-02 	3.0070975e-02 	-7.8992555e-03 	-4.3775417e-04 	3.2296957e-03 	5.4108754e-02 	
1.1706974e-01 	1.5718848e-01 	-3.0667905e-02 	6.8499103e-02 	2.3445471e-02 	3.4688231e-02 	-7.1709158e-03 	-5.2998886e-04 	2.4610878e-03 	6.3316403e-02 	
1.1799363e-01 	3.5761473e-01 	-5.2749346e-02 	6.1119849e-02 	1.7584968e-02 	2.7904648e-02 	-9.1176072e-03 	-8.4856457e-04 	5.5874696e-03 	5.3304733e-02 	
1.1891752e-01 	5.8653808e-01 	-7.6021087e-02 	5.1409233e-02 	1.0575102e-02 	1.9880910e-02 	-1.1235662e-02 	-1.1879679e-03 	9.1786198e-03 	4.0932622e-02 	
1.1984141e-01 	7.0903383e-01 	-9.4671222e-02 	4.0399915e-02 	8.4494932e-03 	1.4794589e-02 	-9.7417653e-03 	-1.4942776e-03 	1.1263368e-02 	3.1821998e-02 	
1.2076530e-01 	8.0161622e-01 	-1.1201684e-01 	2.9105987e-02 	7.6831773e-03 	1.0532397e-02 	-7.2603025e-03 	-1.7908479e-03 	1.2921602e-02 	2.3660781e-02 	
1.2168919e-01 	8.6838969e-01 	-1.1395918e-01 	2.3004656e-02 	6.4949072e-03 	8.5290059e-03 	-5.8951477e-03 	-1.8482682e-03 	1.4158004e-02 	1.9014285e-02 	
1.2261308e-01 	9.3044631e-01 	-1.1293675e-01 	1.7858009e-02 	5.2166618e-03 	6.9596378e-03 	-4.7275014e-03 	-1.8596916e-03 	1.5314138e-02 	1.5017154e-02 	
1.2353697e-01 	9.6144019e-01 	-1.2098020e-01 	1.4727498e-02 	4.6926530e-03 	6.0811061e-03 	-3.8289588e-03 	-1.9993578e-03 	1.5889815e-02 	1.2750628e-02 	
1.2446087e-01 	9.9199769e-01 	-1.2570177e-01 	1.1931405e-02 	4.1792994e-03 	5.3078158e-03 	-3.0393489e-03 	-2.0822684e-03 	1.6435652e-02 	1.0709260e-02 	
1.2538476e-01 	1.0195748e+00 	-1.2258626e-01 	9.9948135e-03 	3.7064708e-03 	4.7690487e-03 	-2.5675732e-03 	-2.0292015e-03 	1.6863672e-02 	9.2351665e-03 	
1.2630865e-01 	1.0386826e+00 	-1.2386844e-01 	8.4523213e-03 	3.3387351e-03 	4.3190325e-03 	-2.1736608e-03 	-2.0423333e-03 	1.7109687e-02 	8.0550445e-03 	
1.2723254e-01 	1.0513047e+00 	-1.2813989e-01 	7.2301610e-03 	3.0616307e-03 	3.9679440e-03 	-1.8287671e-03 	-2.0990531e-03 	1.7204993e-02 	7.1298679e-03 	
1.2815643e-01 	1.0646297e+00 	-1.2600215e-01 	6.3333130e-03 	2.8365589e-03 	3.7235658e-03 	-1.5969851e-03 	-2.0471524e-03 	1.7266936e-02 	6.4467189e-03 	
1.2908032e-01 	1.0773517e+00 	-1.2312815e-01 	5.5689488e-03 	2.6358175e-03 	3.5016096e-03 	-1.4137958e-03 	-1.9808764e-03 	1.7296353e-02 	5.8531880e-03 	
1.3000421e-01 	1.0826016e+00 	-1.2567891e-01 	5.0838715e-03 	2.5234400e-03 	3.3330705e-03 	-1.2772753e-03 	-2.0021463e-03 	1.7206009e-02 	5.4701910e-03 	
1.3092810e-01 	1.0879338e+00 	-1.2663344e-01 	4.6426765e-03 	2.4280718e-03 	3.1916780e-03 	-1.1540058e-03 	-2.0000115e-03 	1.7132096e-02 	5.1312132e-03 	
1.3185199e-01 	1.0946419e+00 	-1.2351757e-01 	4.3297370e-03 	2.3560990e-03 	3.0890460e-03 	-1.0802552e-03 	-1.9361853e-03 	1.7104474e-02 	4.8874410e-03 	
1.3277588e-01 	1.0998551e+00 	-1.2216571e-01 	4.0733621e-03 	2.3051839e-03 	2.9876459e-03 	-1.0187793e-03 	-1.9017936e-03 	1.7071590e-02 	4.6830960e-03 	
1.3369977e-01 	1.1020422e+00 	-1.2348719e-01 	3.8913366e-03 	2.2902575e-03 	2.8980192e-03 	-9.6976401e-04 	-1.9117388e-03 	1.7016666e-02 	4.5398066e-03 	
1.3462366e-01 	1.1047952e+00 	-1.2301370e-01 	3.7373332e-03 	2.2786561e-03 	2.8255602e-03 	-9.3441559e-04 	-1.8970002e-03 	1.6996315e-02 	4.4207747e-03 	
1.3554755e-01 	1.1087984e+00 	-1.2033128e-01 	3.6191770e-03 	2.2661126e-03 	2.7671930e-03 	-9.1545506e-04 	-1.8512217e-03 	1.7022473e-02 	4.3262413e-03 	
