# Planar shear case, sst, x=2.71623
VARIABLES = "X"
"Y"
"U Velocity"
zone, t="CFL3D"
 2.716230631E+00 3.650998771E-01 4.521605670E-01
 2.716230631E+00 3.679963648E-01 4.495543540E-01
 2.716230631E+00 3.708864748E-01 4.469204247E-01
 2.716230631E+00 3.737703264E-01 4.442606866E-01
 2.716230631E+00 3.766478896E-01 4.415769577E-01
 2.716230631E+00 3.795191646E-01 4.388711154E-01
 2.716230631E+00 3.823841512E-01 4.361449182E-01
 2.716230631E+00 3.852428794E-01 4.334000945E-01
 2.716230631E+00 3.880954087E-01 4.306383729E-01
 2.716230631E+00 3.909416497E-01 4.278613031E-01
 2.716230631E+00 3.937816918E-01 4.250705838E-01
 2.716230631E+00 3.966155052E-01 4.222677052E-01
 2.716230631E+00 3.994431198E-01 4.194542170E-01
 2.716230631E+00 4.022645354E-01 4.166315496E-01
 2.716230631E+00 4.050797820E-01 4.138011038E-01
 2.716230631E+00 4.078888297E-01 4.109753072E-01
 2.716230631E+00 4.106473625E-01 4.081779718E-01
 2.716230631E+00 4.133561850E-01 4.054214060E-01
 2.716230631E+00 4.160162508E-01 4.027062058E-01
 2.716230631E+00 4.186284244E-01 4.000329077E-01
 2.716230631E+00 4.211935997E-01 3.974018991E-01
 2.716230631E+00 4.237125516E-01 3.948133886E-01
 2.716230631E+00 4.261861444E-01 3.922675550E-01
 2.716230631E+00 4.286151528E-01 3.897644579E-01
 2.716230631E+00 4.310004115E-01 3.873040080E-01
 2.716230631E+00 4.333426952E-01 3.848861456E-01
 2.716230631E+00 4.356427789E-01 3.825106919E-01
 2.716230631E+00 4.379014373E-01 3.801774383E-01
 2.716230631E+00 4.401193559E-01 3.778860569E-01
 2.716230631E+00 4.422973394E-01 3.756362498E-01
 2.716230631E+00 4.444360435E-01 3.734276593E-01
 2.716230631E+00 4.465361834E-01 3.712598681E-01
 2.716230631E+00 4.485984445E-01 3.691324592E-01
 2.716230631E+00 4.506235421E-01 3.670449853E-01
 2.716230631E+00 4.526121318E-01 3.649969101E-01
 2.716230631E+00 4.545648396E-01 3.629877567E-01
 2.716230631E+00 4.564823210E-01 3.610170484E-01
 2.716230631E+00 4.583652318E-01 3.590842187E-01
 2.716230631E+00 4.602141380E-01 3.571887314E-01
 2.716230631E+00 4.620297253E-01 3.553300202E-01
 2.716230631E+00 4.638125002E-01 3.535075188E-01
 2.716230631E+00 4.655631483E-01 3.517206311E-01
 2.716230631E+00 4.672821760E-01 3.499689102E-01
 2.716230631E+00 4.689701498E-01 3.482516408E-01
 2.716230631E+00 4.706276953E-01 3.465683460E-01
 2.716230869E+00 4.722552896E-01 3.449184000E-01
 2.716230869E+00 4.738534689E-01 3.433012664E-01
 2.716230869E+00 4.754227996E-01 3.417162895E-01
 2.716230869E+00 4.769637883E-01 3.401629925E-01
 2.716230869E+00 4.784769118E-01 3.386407793E-01
 2.716230869E+00 4.799627364E-01 3.371490538E-01
 2.716230869E+00 4.814216793E-01 3.356873393E-01
 2.716230869E+00 4.828542769E-01 3.342550099E-01
 2.716230869E+00 4.842609465E-01 3.328515589E-01
 2.716230869E+00 4.856422246E-01 3.314763904E-01
 2.716230869E+00 4.869984984E-01 3.301290274E-01
 2.716230869E+00 4.883302748E-01 3.288089335E-01
 2.716230869E+00 4.896379411E-01 3.275155425E-01
 2.716230869E+00 4.909219742E-01 3.262483776E-01
 2.716230869E+00 4.921827614E-01 3.250069320E-01
 2.716230869E+00 4.934207499E-01 3.237907290E-01
 2.716230869E+00 4.946362972E-01 3.225992024E-01
 2.716230869E+00 4.958298802E-01 3.214319050E-01
 2.716230869E+00 4.970018268E-01 3.202883899E-01
 2.716230869E+00 4.981526136E-01 3.191681504E-01
 2.716230869E+00 4.992825091E-01 3.180707097E-01
 2.716230869E+00 5.003919601E-01 3.169956803E-01
 2.716230869E+00 5.014812946E-01 3.159425557E-01
 2.716230869E+00 5.025509000E-01 3.149109185E-01
 2.716230869E+00 5.036011338E-01 3.139003217E-01
 2.716230869E+00 5.046323538E-01 3.129103482E-01
 2.716230869E+00 5.056447983E-01 3.119405508E-01
 2.716230869E+00 5.066390038E-01 3.109905720E-01
 2.716230869E+00 5.076150894E-01 3.100599945E-01
 2.716230869E+00 5.085735321E-01 3.091484010E-01
 2.716230869E+00 5.095145702E-01 3.082554340E-01
 2.716230869E+00 5.104385018E-01 3.073807359E-01
 2.716230869E+00 5.113456845E-01 3.065238595E-01
 2.716230869E+00 5.122364163E-01 3.056844771E-01
 2.716230869E+00 5.131109357E-01 3.048622608E-01
 2.716230869E+00 5.139696002E-01 3.040568233E-01
 2.716230869E+00 5.148127079E-01 3.032678068E-01
 2.716230869E+00 5.156404376E-01 3.024949133E-01
 2.716230869E+00 5.164531469E-01 3.017377853E-01
 2.716230869E+00 5.172510743E-01 3.009961247E-01
 2.716230869E+00 5.180344582E-01 3.002696037E-01
 2.716230869E+00 5.188037157E-01 2.995578945E-01
 2.716230869E+00 5.195588470E-01 2.988606393E-01
 2.716230869E+00 5.203003287E-01 2.981776595E-01
 2.716230869E+00 5.210282803E-01 2.975085676E-01
 2.716230869E+00 5.217429996E-01 2.968530953E-01
 2.716230869E+00 5.224447250E-01 2.962110341E-01
 2.716230869E+00 5.231336355E-01 2.955819666E-01
 2.716230869E+00 5.238100290E-01 2.949657440E-01
 2.716230869E+00 5.244740844E-01 2.943620384E-01
 2.716230869E+00 5.251260400E-01 2.937706113E-01
 2.716230869E+00 5.257660747E-01 2.931912243E-01
 2.716230869E+00 5.263944864E-01 2.926236093E-01
 2.716230869E+00 5.270113945E-01 2.920674682E-01
 2.716230869E+00 5.276170969E-01 2.915226817E-01
 2.716230869E+00 5.282117128E-01 2.909889221E-01
 2.716230869E+00 5.287954807E-01 2.904659808E-01
 2.716230869E+00 5.293686390E-01 2.899536788E-01
 2.716230869E+00 5.299312472E-01 2.894517183E-01
 2.716230869E+00 5.304836035E-01 2.889599800E-01
 2.716230869E+00 5.310258865E-01 2.884781361E-01
 2.716230869E+00 5.315582752E-01 2.880060673E-01
 2.716230869E+00 5.320808887E-01 2.875435352E-01
 2.716230869E+00 5.325939655E-01 2.870903909E-01
 2.716230869E+00 5.330976248E-01 2.866463661E-01
 2.716230869E+00 5.335921049E-01 2.862113416E-01
 2.716230869E+00 5.340774655E-01 2.857850492E-01
 2.716230869E+00 5.345540047E-01 2.853673995E-01
 2.716230869E+00 5.350217819E-01 2.849581540E-01
 2.716230869E+00 5.354809761E-01 2.845571637E-01
 2.716230869E+00 5.359317660E-01 2.841642499E-01
 2.716230869E+00 5.363743305E-01 2.837792337E-01
 2.716230869E+00 5.368087292E-01 2.834019959E-01
 2.716230869E+00 5.372351408E-01 2.830323279E-01
 2.716230869E+00 5.376537442E-01 2.826700807E-01
 2.716230869E+00 5.380646586E-01 2.823151648E-01
 2.716230869E+00 5.384680033E-01 2.819673121E-01
 2.716230869E+00 5.388638973E-01 2.816264927E-01
 2.716230869E+00 5.392525792E-01 2.812924981E-01
 2.716230869E+00 5.396341085E-01 2.809651792E-01
 2.716230869E+00 5.400086045E-01 2.806444466E-01
 2.716230869E+00 5.403761864E-01 2.803301215E-01
 2.716230869E+00 5.407369733E-01 2.800221145E-01
 2.716230869E+00 5.410911441E-01 2.797202468E-01
 2.716230869E+00 5.414388180E-01 2.794244289E-01
 2.716230869E+00 5.417799950E-01 2.791345417E-01
 2.716230869E+00 5.421149731E-01 2.788504064E-01
 2.716230869E+00 5.424436927E-01 2.785720229E-01
 2.716230869E+00 5.427663326E-01 2.782991529E-01
 2.716230869E+00 5.430830717E-01 2.780317366E-01
 2.716230869E+00 5.433939099E-01 2.777696252E-01
 2.716230869E+00 5.436990261E-01 2.775127888E-01
 2.716230869E+00 5.439984202E-01 2.772610188E-01
 2.716230869E+00 5.442923903E-01 2.770143151E-01
 2.716230869E+00 5.445808172E-01 2.767724991E-01
 2.716230869E+00 5.448639393E-01 2.765355408E-01
 2.716230869E+00 5.451417565E-01 2.763032615E-01
 2.716230869E+00 5.454145074E-01 2.760756314E-01
 2.716230869E+00 5.456821322E-01 2.758525312E-01
 2.716230869E+00 5.459448099E-01 2.756327093E-01
 2.716230869E+00 5.462078452E-01 2.754120529E-01
 2.716230869E+00 5.464807153E-01 2.751854360E-01
 2.716230869E+00 5.467636585E-01 2.749507725E-01
 2.716230869E+00 5.470571518E-01 2.747077644E-01
 2.716230869E+00 5.473615527E-01 2.744560838E-01
 2.716230869E+00 5.476772189E-01 2.741954923E-01
 2.716230869E+00 5.480046868E-01 2.739256620E-01
 2.716230869E+00 5.483443141E-01 2.736462951E-01
 2.716230869E+00 5.486966372E-01 2.733570337E-01
 2.716230869E+00 5.490620732E-01 2.730575800E-01
 2.716230869E+00 5.494412184E-01 2.727475762E-01
 2.716230869E+00 5.498344898E-01 2.724266350E-01
 2.716230869E+00 5.502424836E-01 2.720944881E-01
 2.716230869E+00 5.506657958E-01 2.717507482E-01
 2.716230869E+00 5.511049032E-01 2.713949978E-01
 2.716230869E+00 5.515604615E-01 2.710269094E-01
 2.716230869E+00 5.520331264E-01 2.706460953E-01
 2.716230869E+00 5.525235534E-01 2.702520788E-01
