VARIABLES = "N","h","u/a_inf"
ZONE T="USM3D, X/D=40"
1.585446912E+09  8.575959946E-04 3.420527697E+00
1.981808640E+08  1.715192106E-03 3.420168877E+00
2.477260800E+07  3.430384211E-03 3.418345928E+00
3.096576000E+06  6.860768422E-03 3.411934137E+00
ZONE T="USM3D, X/D=50"
1.585446912E+09  8.575959946E-04 3.015401602E+00
1.981808640E+08  1.715192106E-03 3.015041590E+00
2.477260800E+07  3.430384211E-03 3.013633013E+00
3.096576000E+06  6.860768422E-03 3.009526491E+00
