variables="x","y","mut"
zone, t="CFL3D"
 7.500000000E-01 5.011859536E-02 4.051540375E+00
 7.500000000E-01 5.012106150E-02 4.237486839E+00
 7.500000000E-01 5.012357607E-02 4.427772999E+00
 7.500000000E-01 5.012614280E-02 4.622291088E+00
 7.500000000E-01 5.012876168E-02 4.820929050E+00
 7.500000000E-01 5.013142899E-02 5.023571491E+00
 7.500000000E-01 5.013415590E-02 5.230101109E+00
 7.500000000E-01 5.013693124E-02 5.440399647E+00
 7.500000000E-01 5.013976619E-02 5.654348373E+00
 7.500000000E-01 5.014265701E-02 5.871828556E+00
 7.500000000E-01 5.014560372E-02 6.092724800E+00
 7.500000000E-01 5.014861375E-02 6.316921234E+00
 7.500000000E-01 5.015167966E-02 6.544306755E+00
 7.500000000E-01 5.015481263E-02 6.774773598E+00
 7.500000000E-01 5.015800521E-02 7.008217812E+00
 7.500000000E-01 5.016126111E-02 7.244539261E+00
 7.500000000E-01 5.016458407E-02 7.483644009E+00
 7.500000000E-01 5.016797408E-02 7.725442410E+00
 7.500000000E-01 5.017143115E-02 7.969850540E+00
 7.500000000E-01 5.017495900E-02 8.216790199E+00
 7.500000000E-01 5.017855763E-02 8.466190338E+00
 7.500000000E-01 5.018223077E-02 8.717982292E+00
 7.500000000E-01 5.018597469E-02 8.972106934E+00
 7.500000000E-01 5.018979684E-02 9.228508949E+00
 7.500000000E-01 5.019369721E-02 9.487138748E+00
 7.500000000E-01 5.019767210E-02 9.747953415E+00
 7.500000000E-01 5.020173267E-02 1.001091385E+01
 7.500000000E-01 5.020587146E-02 1.027598763E+01
 7.500000000E-01 5.021009594E-02 1.054314423E+01
 7.500000000E-01 5.021440238E-02 1.081236267E+01
 7.500000000E-01 5.021880195E-02 1.108362198E+01
 7.500000000E-01 5.022328719E-02 1.135690784E+01
 7.500000000E-01 5.022786185E-02 1.163220692E+01
 7.500000000E-01 5.023252964E-02 1.190951347E+01
 7.500000000E-01 5.023729429E-02 1.218882084E+01
 7.500000000E-01 5.024215579E-02 1.247012806E+01
 7.500000000E-01 5.024711415E-02 1.275343609E+01
 7.500000000E-01 5.025217310E-02 1.303874683E+01
 7.500000000E-01 5.025733262E-02 1.332606602E+01
 7.500000000E-01 5.026260018E-02 1.361539936E+01
 7.500000000E-01 5.026797205E-02 1.390675640E+01
 7.500000000E-01 5.027345568E-02 1.420014572E+01
 7.500000000E-01 5.027904734E-02 1.449557781E+01
 7.500000000E-01 5.028475448E-02 1.479306316E+01
 7.500000000E-01 5.029057711E-02 1.509261417E+01
 7.500000000E-01 5.029651895E-02 1.539424324E+01
 7.500000000E-01 5.030258000E-02 1.569796085E+01
 7.500000000E-01 5.030876398E-02 1.600378036E+01
 7.500000000E-01 5.031507462E-02 1.631171227E+01
 7.500000000E-01 5.032151192E-02 1.662176895E+01
 7.500000000E-01 5.032807961E-02 1.693395996E+01
 7.500000000E-01 5.033478141E-02 1.724829674E+01
 7.500000000E-01 5.034162104E-02 1.756478882E+01
 7.500000000E-01 5.034859851E-02 1.788344193E+01
 7.500000000E-01 5.035571754E-02 1.820426559E+01
 7.500000000E-01 5.036298186E-02 1.852726364E+01
 7.500000000E-01 5.037039518E-02 1.885244370E+01
 7.500000000E-01 5.037795752E-02 1.917980766E+01
 7.500000000E-01 5.038567260E-02 1.950935555E+01
 7.500000000E-01 5.039354786E-02 1.984109116E+01
 7.500000000E-01 5.040157959E-02 2.017501259E+01
 7.500000000E-01 5.040977523E-02 2.051111412E+01
 7.500000000E-01 5.041813850E-02 2.084939575E+01
 7.500000000E-01 5.042667314E-02 2.118984795E+01
 7.500000000E-01 5.043537915E-02 2.153246498E+01
 7.500000000E-01 5.044426396E-02 2.187723541E+01
 7.500000000E-01 5.045332760E-02 2.222414970E+01
 7.500000000E-01 5.046257749E-02 2.257319069E+01
 7.500000000E-01 5.047201365E-02 2.292434692E+01
 7.500000000E-01 5.048164353E-02 2.327760124E+01
 7.500000000E-01 5.049146712E-02 2.363293076E+01
 7.500000000E-01 5.050149187E-02 2.399031830E+01
 7.500000000E-01 5.051172152E-02 2.434973717E+01
 7.500000000E-01 5.052215979E-02 2.471116638E+01
 7.500000000E-01 5.053281039E-02 2.507457542E+01
 7.500000000E-01 5.054367334E-02 2.543993759E+01
 7.500000000E-01 5.055476353E-02 2.580722237E+01
 7.500000000E-01 5.056607723E-02 2.617639542E+01
 7.500000000E-01 5.057761818E-02 2.654742432E+01
 7.500000000E-01 5.058939755E-02 2.692026901E+01
 7.500000000E-01 5.060141534E-02 2.729489517E+01
 7.500000000E-01 5.061367899E-02 2.767126083E+01
 7.500000000E-01 5.062619224E-02 2.804932404E+01
 7.500000000E-01 5.063895881E-02 2.842904282E+01
 7.500000000E-01 5.065198615E-02 2.881036949E+01
 7.500000000E-01 5.066527799E-02 2.919325829E+01
 7.500000000E-01 5.067883804E-02 2.957765961E+01
 7.500000000E-01 5.069267750E-02 2.996352386E+01
 7.500000000E-01 5.070680007E-02 3.035080147E+01
 7.500000000E-01 5.072120577E-02 3.073943710E+01
 7.500000000E-01 5.073590949E-02 3.112937546E+01
 7.500000000E-01 5.075091124E-02 3.152056503E+01
 7.500000000E-01 5.076621473E-02 3.191294479E+01
 7.500000000E-01 5.078183487E-02 3.230646133E+01
 7.500000000E-01 5.079777166E-02 3.270104980E+01
 7.500000000E-01 5.081402883E-02 3.309665680E+01
 7.500000000E-01 5.083062127E-02 3.349322128E+01
 7.500000000E-01 5.084755272E-02 3.389067841E+01
 7.500000000E-01 5.086482689E-02 3.428896713E+01
 7.500000000E-01 5.088245124E-02 3.468803024E+01
 7.500000000E-01 5.090043694E-02 3.508780289E+01
 7.500000000E-01 5.091878772E-02 3.548822403E+01
 7.500000000E-01 5.093751475E-02 3.588923264E+01
 7.500000000E-01 5.095662177E-02 3.629076004E+01
 7.500000000E-01 5.097611621E-02 3.669275665E+01
 7.500000000E-01 5.099600926E-02 3.709515381E+01
 7.500000000E-01 5.101630464E-02 3.749789429E+01
 7.500000000E-01 5.103701726E-02 3.790091705E+01
 7.500000000E-01 5.105815083E-02 3.830416870E+01
 7.500000000E-01 5.107971281E-02 3.870759201E+01
 7.500000000E-01 5.110171810E-02 3.911112976E+01
 7.500000000E-01 5.112416670E-02 3.951473236E+01
 7.500000000E-01 5.114707351E-02 3.991834641E+01
 7.500000000E-01 5.117044970E-02 4.032192993E+01
 7.500000000E-01 5.119429901E-02 4.072542953E+01
 7.500000000E-01 5.121863633E-02 4.112880707E+01
 7.500000000E-01 5.124346912E-02 4.153202057E+01
 7.500000000E-01 5.126880854E-02 4.193503189E+01
 7.500000000E-01 5.129466206E-02 4.233781052E+01
 7.500000000E-01 5.132104084E-02 4.274032593E+01
 7.500000000E-01 5.134795979E-02 4.314255142E+01
 7.500000000E-01 5.137542635E-02 4.354446411E+01
 7.500000000E-01 5.140345171E-02 4.394605255E+01
 7.500000000E-01 5.143205076E-02 4.434729385E+01
 7.500000000E-01 5.146122724E-02 4.474818802E+01
 7.500000000E-01 5.149100348E-02 4.514872360E+01
 7.500000000E-01 5.152138323E-02 4.554890823E+01
 7.500000000E-01 5.155238137E-02 4.594874573E+01
 7.500000000E-01 5.158401281E-02 4.634824371E+01
 7.500000000E-01 5.161628872E-02 4.674742508E+01
 7.500000000E-01 5.164922029E-02 4.714630127E+01
 7.500000000E-01 5.168282241E-02 4.754490662E+01
 7.500000000E-01 5.171710998E-02 4.794327164E+01
 7.500000000E-01 5.175209790E-02 4.834142685E+01
 7.500000000E-01 5.178779736E-02 4.873941803E+01
