TITLE     = "u-velocity normalized by centerline u-velocity at x=50.0, diagonal cut (y=z)"
VARIABLES = "u/u_CL","2z/D"
ZONE T="USM3D, grid 1 diagonal cut"
    0.869784566E-02    0.149204523E-02
    0.869790532E-02    0.149205110E-02
    0.890895034E-02    0.150967820E-02
    0.913511637E-02    0.152804222E-02
    0.939904401E-02    0.154947360E-02
    0.966992873E-02    0.157090498E-02
    0.990204436E-02    0.158926900E-02
    0.990205631E-02    0.158927091E-02
    0.990208016E-02    0.158927275E-02
    0.101506978E-01    0.160839438E-02
    0.104408523E-01    0.163071430E-02
    0.107385757E-01    0.165303422E-02
    0.109936907E-01    0.167215960E-02
    0.109937038E-01    0.167216159E-02
    0.109937300E-01    0.167216350E-02
    0.112669044E-01    0.169207791E-02
    0.115857157E-01    0.171532320E-02
    0.119127617E-01    0.173856849E-02
    0.121930191E-01    0.175848680E-02
    0.124930496E-01    0.177923094E-02
    0.128431690E-01    0.180344000E-02
    0.132022487E-01    0.182764906E-02
    0.135099579E-01    0.184839320E-02
    0.138392780E-01    0.186999737E-02
    0.138393326E-01    0.187000241E-02
    0.142236097E-01    0.189521262E-02
    0.146176351E-01    0.192042283E-02
    0.146176917E-01    0.192042499E-02
    0.149553664E-01    0.194202700E-02
    0.153167076E-01    0.196452668E-02
    0.157383678E-01    0.199078450E-02
    0.161706371E-01    0.201704232E-02
    0.165410698E-01    0.203954200E-02
    0.169373572E-01    0.206297498E-02
    0.173997948E-01    0.209032200E-02
    0.178737771E-01    0.211766902E-02
    0.182799579E-01    0.214110200E-02
    0.187143976E-01    0.216550636E-02
    0.192213531E-01    0.219398700E-02
    0.197408730E-01    0.222246764E-02
    0.201860797E-01    0.224687200E-02
    0.206621633E-01    0.227228788E-02
    0.212177111E-01    0.230194900E-02
    0.217869321E-01    0.233161012E-02
    0.222747330E-01    0.235702600E-02
    0.227962650E-01    0.238349585E-02
    0.234048437E-01    0.241438700E-02
    0.240283021E-01    0.244527814E-02
    0.245625858E-01    0.247174800E-02
    0.251337027E-01    0.249931521E-02
    0.258001392E-01    0.253148700E-02
    0.264827685E-01    0.256365879E-02
    0.270677627E-01    0.259122600E-02
    0.276929626E-01    0.261993625E-02
    0.284225046E-01    0.265344535E-02
    0.291696692E-01    0.268694775E-02
    0.298099699E-01    0.271565800E-02
    0.304941326E-01    0.274555835E-02
    0.312924734E-01    0.278045300E-02
    0.321099855E-01    0.281534765E-02
    0.328105771E-01    0.284524800E-02
    0.335589877E-01    0.287638784E-02
    0.344322943E-01    0.291272900E-02
    0.353264521E-01    0.294907016E-02
    0.360927269E-01    0.298021000E-02
    0.369110760E-01    0.301264147E-02
    0.378659797E-01    0.305049378E-02
    0.388435479E-01    0.308833853E-02
    0.396813160E-01    0.312077000E-02
    0.405756895E-01    0.315454570E-02
    0.405758379E-01    0.315455358E-02
    0.416194059E-01    0.319396300E-02
    0.426876645E-01    0.323338030E-02
    0.436031583E-01    0.326715600E-02
    0.445801106E-01    0.330233177E-02
    0.445802727E-01    0.330233998E-02
    0.457201878E-01    0.334338300E-02
    0.468867600E-01    0.338443422E-02
    0.468870427E-01    0.338444595E-02
    0.478867300E-01    0.341961000E-02
    0.489531918E-01    0.345624445E-02
    0.501975915E-01    0.349899800E-02
    0.514707154E-01    0.354175155E-02
    0.514710240E-01    0.354176376E-02
    0.525620332E-01    0.357838600E-02
    0.537251235E-01    0.361653958E-02
    0.550822670E-01    0.366106600E-02
    0.564705272E-01    0.370559242E-02
    0.576602879E-01    0.374374600E-02
    0.589273264E-01    0.378348101E-02
    0.604057401E-01    0.382985300E-02
    0.619175702E-01    0.387622499E-02
    0.632132498E-01    0.391596000E-02
    0.645915063E-01    0.395734288E-02
    0.661996766E-01    0.400563800E-02
    0.678435351E-01    0.405393312E-02
    0.692523833E-01    0.409531600E-02
    0.707487507E-01    0.413841413E-02
    0.724947028E-01    0.418871100E-02
    0.742784908E-01    0.423900787E-02
    0.758072914E-01    0.428210600E-02
    0.774279304E-01    0.432699091E-02
    0.793188448E-01    0.437937300E-02
    0.812494655E-01    0.443175509E-02
    0.829041474E-01    0.447664000E-02
    0.846539256E-01    0.452338598E-02
    0.866954676E-01    0.457794000E-02
    0.887781479E-01    0.463249402E-02
    0.905632032E-01    0.467924000E-02
    0.924450518E-01    0.472792412E-02
    0.946406218E-01    0.478474000E-02
    0.968781232E-01    0.484155588E-02
    0.987959304E-01    0.489024000E-02
    0.100810007E+00    0.494094255E-02
    0.100810341E+00    0.494095438E-02
    0.103159976E+00    0.500011400E-02
    0.105551706E+00    0.505928545E-02
    0.107601786E+00    0.510998800E-02
    0.109745141E+00    0.516279296E-02
    0.112245601E+00    0.522441800E-02
    0.114786760E+00    0.528604304E-02
    0.116965024E+00    0.533884800E-02
    0.119230333E+00    0.539384167E-02
    0.121872933E+00    0.545802100E-02
    0.124553799E+00    0.552220033E-02
    0.126851942E+00    0.557719400E-02
    0.129227075E+00    0.563446821E-02
    0.129227749E+00    0.563448158E-02
    0.131998492E+00    0.570130900E-02
    0.134804010E+00    0.576814979E-02
    0.137209153E+00    0.582542400E-02
    0.139678641E+00    0.588507243E-02
    0.142559080E+00    0.595468400E-02
    0.145468660E+00    0.602429557E-02
    0.145469076E+00    0.602430154E-02
    0.147963720E+00    0.608394400E-02
    0.150506410E+00    0.614606539E-02
    0.150507131E+00    0.614607989E-02
    0.153472950E+00    0.621856300E-02
    0.156462344E+00    0.629106060E-02
    0.159025462E+00    0.635318200E-02
    0.161618334E+00    0.641787927E-02
    0.161619069E+00    0.641789437E-02
    0.164643209E+00    0.649338300E-02
    0.167684030E+00    0.656888673E-02
