TITLE     = "u-velocity normalized by centerline u-velocity at x=40.0, vertical cut (y=0.5)"
VARIABLES = "2z/D","u/u_CL"
ZONE T="FUN3D, grid 1 vertical cut"
    0.313971996E+00    0.838213324E+00
    0.327006012E+00    0.844344199E+00
    0.340579987E+00    0.850565374E+00
    0.354718000E+00    0.856871188E+00
    0.369441986E+00    0.863261521E+00
    0.384775996E+00    0.869730711E+00
    0.400743991E+00    0.876281500E+00
    0.417376012E+00    0.882899404E+00
    0.434697986E+00    0.889587223E+00
    0.452737987E+00    0.896327615E+00
    0.471524000E+00    0.903114676E+00
    0.491090000E+00    0.909936726E+00
    0.511467993E+00    0.916776240E+00
    0.532689989E+00    0.923612893E+00
    0.554791987E+00    0.930429041E+00
    0.577812016E+00    0.937195718E+00
    0.601783991E+00    0.943886578E+00
    0.626752019E+00    0.950460613E+00
    0.652754009E+00    0.956883133E+00
    0.679831982E+00    0.963101387E+00
    0.708036006E+00    0.969068885E+00
    0.737407982E+00    0.974724233E+00
    0.767997980E+00    0.979997575E+00
    0.799856007E+00    0.984818816E+00
    0.833033979E+00    0.989112079E+00
    0.867587984E+00    0.992790043E+00
    0.903576016E+00    0.995764971E+00
    0.941053987E+00    0.997937918E+00
    0.980087996E+00    0.999168754E+00
ZONE T="FUN3D, grid 2 vertical cut"
    0.173524004E-04    0.198664959E-02
    0.535260006E-04    0.612792559E-02
    0.927610017E-04    0.106195668E-01
    0.135316994E-03    0.154911811E-01
    0.181474796E-03    0.207749922E-01
    0.231540005E-03    0.265059564E-01
    0.285841990E-03    0.327218995E-01
    0.344739994E-03    0.394639708E-01
    0.408622000E-03    0.467768833E-01
    0.477911992E-03    0.547082014E-01
    0.553066027E-03    0.633104593E-01
    0.634582015E-03    0.726391003E-01
    0.722996017E-03    0.827539638E-01
    0.818894012E-03    0.937180668E-01
    0.922909996E-03    0.105597101E+00
    0.103572803E-02    0.118457876E+00
    0.115809601E-02    0.132366061E+00
    0.129081996E-02    0.147380322E+00
    0.143477600E-02    0.163547933E+00
    0.159091805E-02    0.180891648E+00
    0.176027603E-02    0.199396595E+00
    0.194396800E-02    0.218990982E+00
    0.214320002E-02    0.239523634E+00
    0.235929992E-02    0.260743558E+00
    0.259370008E-02    0.282292098E+00
    0.284793996E-02    0.303720087E+00
    0.312367990E-02    0.324534088E+00
    0.342277996E-02    0.344277024E+00
    0.374718010E-02    0.362613261E+00
    0.409903983E-02    0.379356116E+00
    0.448067999E-02    0.394493818E+00
    0.489461981E-02    0.408128560E+00
    0.534360018E-02    0.420441240E+00
    0.583055988E-02    0.431642056E+00
    0.635875994E-02    0.441929370E+00
    0.693166023E-02    0.451484173E+00
    0.755306007E-02    0.460458249E+00
    0.822704006E-02    0.468985796E+00
    0.895806029E-02    0.477160215E+00
    0.975096039E-02    0.485066146E+00
    0.106109800E-01    0.492770702E+00
    0.115437796E-01    0.500314772E+00
    0.125555200E-01    0.507744968E+00
    0.136529002E-01    0.515087664E+00
    0.148431798E-01    0.522366107E+00
    0.161341801E-01    0.529600799E+00
    0.175344609E-01    0.536806345E+00
    0.190532394E-01    0.543991387E+00
    0.207006000E-01    0.551167727E+00
    0.224874001E-01    0.558344066E+00
    0.244254004E-01    0.565529168E+00
    0.265273992E-01    0.572723031E+00
    0.288073998E-01    0.579937279E+00
    0.312802009E-01    0.587177813E+00
    0.339623988E-01    0.594444633E+00
    0.368716009E-01    0.601749301E+00
