 -54.703   0.000   0.000  0.961  0.083  1.007 -16.695 -14.733  39.771  1
 -54.703   0.000   1.000  0.955  0.093  1.006 -16.695 -14.733  38.771  1
 -54.703   0.000   2.000  0.949  0.105  1.005 -16.695 -14.733  37.771  1
 -54.703   0.000   3.000  0.942  0.116  1.004 -16.695 -14.733  36.771  1
 -54.703   0.000   4.000  0.935  0.129  1.004 -16.695 -14.733  35.771  1
 -54.703   0.000   5.000  0.929  0.140  1.004 -16.695 -14.733  34.771  1
 -54.703   0.000   6.000  0.923  0.151  1.003 -16.695 -14.733  33.771  1
 -54.703   0.000   7.000  0.917  0.162  1.002 -16.695 -14.733  32.771  1
 -54.703   0.000   8.000  0.911  0.173  1.002 -16.695 -14.733  31.771  1
 -54.703   0.000   9.000  0.903  0.187  1.002 -16.695 -14.733  30.771  1
 -54.703   0.000  10.000  0.898  0.195  1.002 -16.695 -14.733  29.771  1
 -54.703   0.000  11.000  0.893  0.204  1.001 -16.695 -14.733  28.771  1
 -54.703   0.000  12.000  0.888  0.213  1.001 -16.695 -14.733  27.771  1
 -54.703   0.000  13.000  0.883  0.222  1.001 -16.695 -14.733  26.771  1
 -54.703   0.000  14.000  0.879  0.229  1.001 -16.695 -14.733  25.771  1
 -54.703   0.000  15.000  0.875  0.236  1.001 -16.695 -14.733  24.771  1
 -54.703   0.000  16.000  0.871  0.242  1.001 -16.695 -14.733  23.771  1
 -54.703   0.000  17.000  0.867  0.248  1.000 -16.695 -14.733  22.771  1
 -54.703   0.000  18.000  0.864  0.253  1.000 -16.695 -14.733  21.771  1
 -54.703   0.000  19.000  0.862  0.258  1.000 -16.695 -14.733  20.771  1
 -54.703   0.000  20.000  0.859  0.262  1.001 -16.695 -14.733  19.771  1
 -54.703   0.000  21.000  0.858  0.266  1.001 -16.695 -14.733  18.771  1
 -54.703   0.000  22.000  0.856  0.268  1.001 -16.695 -14.733  17.771  1
 -54.703   0.000  23.000  0.855  0.271  1.002 -16.695 -14.733  16.771  1
 -54.703   0.000  24.000  0.855  0.272  1.002 -16.695 -14.733  15.771  1
 -54.703   0.000  25.000  0.854  0.274  1.003 -16.695 -14.733  14.771  1
 -54.703   0.000  26.000  0.854  0.274  1.003 -16.695 -14.733  13.771  1
 -54.703   0.000  27.000  0.854  0.273  1.003 -16.695 -14.733  12.771  1
 -54.703   0.000  28.000  0.855  0.273  1.004 -16.695 -14.733  11.771  1
 -54.703   1.211   0.000  0.960  0.084  1.006 -16.906 -13.540  39.771  1
 -54.703   1.211   1.000  0.953  0.096  1.005 -16.906 -13.540  38.771  1
 -54.703   1.211   2.000  0.947  0.107  1.004 -16.906 -13.540  37.771  1
 -54.703   1.211   3.000  0.940  0.119  1.003 -16.906 -13.540  36.771  1
 -54.703   1.211   4.000  0.934  0.131  1.004 -16.906 -13.540  35.771  1
 -54.703   1.211   5.000  0.927  0.143  1.002 -16.906 -13.540  34.771  1
 -54.703   1.211   6.000  0.921  0.154  1.002 -16.906 -13.540  33.771  1
 -54.703   1.211   7.000  0.914  0.166  1.002 -16.906 -13.540  32.771  1
 -54.703   1.211   8.000  0.908  0.177  1.001 -16.906 -13.540  31.771  1
 -54.703   1.211   9.000  0.900  0.191  1.001 -16.906 -13.540  30.771  1
 -54.703   1.211  10.000  0.896  0.198  1.001 -16.906 -13.540  29.771  1
 -54.703   1.211  11.000  0.890  0.208  1.000 -16.906 -13.540  28.771  1
 -54.703   1.211  12.000  0.885  0.218  1.000 -16.906 -13.540  27.771  1
 -54.703   1.211  13.000  0.880  0.226  1.000 -16.906 -13.540  26.771  1
 -54.703   1.211  14.000  0.875  0.234  1.000 -16.906 -13.540  25.771  1
 -54.703   1.211  15.000  0.871  0.241  1.000 -16.906 -13.540  24.771  1
 -54.703   1.211  16.000  0.867  0.248  0.999 -16.906 -13.540  23.771  1
 -54.703   1.211  17.000  0.864  0.253  1.000 -16.906 -13.540  22.771  1
 -54.703   1.211  18.000  0.861  0.258  1.000 -16.906 -13.540  21.771  1
 -54.703   1.211  19.000  0.859  0.262  1.000 -16.906 -13.540  20.771  1
 -54.703   1.211  20.000  0.856  0.267  0.999 -16.906 -13.540  19.771  1
 -54.703   1.211  21.000  0.854  0.270  1.000 -16.906 -13.540  18.771  1
 -54.703   1.211  22.000  0.853  0.273  1.000 -16.906 -13.540  17.771  1
 -54.703   1.211  23.000  0.852  0.275  1.001 -16.906 -13.540  16.771  1
 -54.703   1.211  24.000  0.851  0.276  1.001 -16.906 -13.540  15.771  1
